library,scheme,N,category,scenario,operation,metric,mean,std,ci_low,ci_high,median,iqr_low,iqr_high,flag
SEAL,CKKS,2048,1,ckks_error,after_add,max_abs_error,0.000149149,2.21264309417995e-05,0.00013332070482130075,0.00016497729517869926,0.0001491665,0.000140936,0.00016767275000000002,HIGH_VARIANCE
SEAL,CKKS,2048,1,ckks_error,after_add,mean_abs_error,2.056342e-05,3.8964589850558184e-07,2.0284684115620887e-05,2.084215588437911e-05,2.0517700000000002e-05,2.0238175e-05,2.0778599999999998e-05,
SEAL,CKKS,2048,1,ckks_error,fresh,max_abs_error,0.00010439661,1.5588313477905313e-05,9.324540230114484e-05,0.00011554781769885516,0.000105825,9.031457500000001e-05,0.00011852325000000001,HIGH_VARIANCE
SEAL,CKKS,2048,1,ckks_error,fresh,mean_abs_error,1.455393e-05,4.2122915919432205e-07,1.4252600811974125e-05,1.4855259188025876e-05,1.4579849999999999e-05,1.4372175e-05,1.4851925e-05,
SEAL,CKKS,2048,3,ckks_error,after_add,max_abs_error,0.0811013,0.014401065835401057,0.07079939810130766,0.09140320189869235,0.07598289999999999,0.0724075,0.08457695000000001,HIGH_VARIANCE
SEAL,CKKS,2048,3,ckks_error,after_add,mean_abs_error,0.01045142,0.0002345935198498791,0.010283601905479422,0.010619238094520577,0.0104873,0.010360525,0.0106047,
SEAL,CKKS,2048,3,ckks_error,fresh,max_abs_error,0.06261549,0.006407657860447572,0.05803172769843161,0.06719925230156838,0.06404855,0.058935549999999996,0.066503275,HIGH_VARIANCE
SEAL,CKKS,2048,3,ckks_error,fresh,mean_abs_error,0.007435419,0.000147813038625751,0.0073296799220265605,0.00754115807797344,0.007395885,0.0073550625000000005,0.00746059,
SEAL,CKKS,2048,5,ckks_error,after_add,max_abs_error,157.1007,23.0673502839451,140.59931167193548,173.6020883280645,153.553,145.03975,174.95175,HIGH_VARIANCE
SEAL,CKKS,2048,5,ckks_error,after_add,mean_abs_error,21.90811,0.8163507122826831,21.324127880274514,22.492092119725488,22.0067,21.36075,22.36065,
SEAL,CKKS,2048,5,ckks_error,fresh,max_abs_error,101.94072,14.617857730020193,91.48373452233339,112.3977054776666,100.35125,95.0667,113.033,HIGH_VARIANCE
SEAL,CKKS,2048,5,ckks_error,fresh,mean_abs_error,15.48579,0.44397535079226086,15.168189166730007,15.803390833269992,15.4021,15.24985,15.699925,
SEAL,CKKS,4096,1,ckks_error,after_add,max_abs_error,2.157215e-05,1.954236255050949e-06,2.0174173599051055e-05,2.2970126400948944e-05,2.15807e-05,2.0260075e-05,2.293185e-05,HIGH_VARIANCE
SEAL,CKKS,4096,1,ckks_error,after_add,mean_abs_error,2.5476979999999997e-06,3.7140279063153175e-08,2.5211294448824952e-06,2.574266555117504e-06,2.53795e-06,2.5213399999999997e-06,2.57989e-06,
SEAL,CKKS,4096,1,ckks_error,after_multiply_1,max_abs_error,2.04809e-05,3.1587468559541133e-06,1.82212686223801e-05,2.2740531377619897e-05,2.0205e-05,1.8405299999999998e-05,2.183865e-05,HIGH_VARIANCE
SEAL,CKKS,4096,1,ckks_error,after_multiply_1,mean_abs_error,1.915728e-06,3.8109497154034024e-08,1.8884661080277925e-06,1.9429898919722076e-06,1.9168e-06,1.9007300000000003e-06,1.94621e-06,
SEAL,CKKS,4096,1,ckks_error,after_relinearize_1,max_abs_error,2.04809e-05,3.1587468559541133e-06,1.82212686223801e-05,2.2740531377619897e-05,2.0205e-05,1.8405299999999998e-05,2.183865e-05,HIGH_VARIANCE
SEAL,CKKS,4096,1,ckks_error,after_relinearize_1,mean_abs_error,1.915728e-06,3.8109497154034024e-08,1.8884661080277925e-06,1.9429898919722076e-06,1.9168e-06,1.9007300000000003e-06,1.94621e-06,
SEAL,CKKS,4096,1,ckks_error,after_rescale_1,max_abs_error,0.0004875456,8.019768399703878e-05,0.0004301756329098653,0.0005449155670901348,0.000469923,0.00044033125,0.0005418205000000001,HIGH_VARIANCE
SEAL,CKKS,4096,1,ckks_error,after_rescale_1,mean_abs_error,5.773873e-05,1.0769601045432369e-06,5.696831915176011e-05,5.850914084823989e-05,5.76147e-05,5.6974024999999995e-05,5.8317225e-05,
SEAL,CKKS,4096,1,ckks_error,fresh,max_abs_error,1.482749e-05,1.936545869698016e-06,1.3442168538382556e-05,1.621281146161744e-05,1.418305e-05,1.37372e-05,1.5292375e-05,HIGH_VARIANCE
SEAL,CKKS,4096,1,ckks_error,fresh,mean_abs_error,1.799239e-06,2.2226815861326908e-08,1.7833388937758615e-06,1.8151391062241387e-06,1.796225e-06,1.7814325000000002e-06,1.8174375e-06,
SEAL,CKKS,4096,3,ckks_error,after_add,max_abs_error,1.497712e-06,3.0937682890323603e-07,1.2763971488967654e-06,1.7190268511032345e-06,1.4836550000000001e-06,1.2508425e-06,1.6357825000000001e-06,HIGH_VARIANCE
SEAL,CKKS,4096,3,ckks_error,after_add,mean_abs_error,1.614247e-07,2.7265918510518312e-09,1.5947421368958675e-07,1.6337518631041325e-07,1.60676e-07,1.5975125000000002e-07,1.6354175e-07,
SEAL,CKKS,4096,3,ckks_error,fresh,max_abs_error,9.643442e-07,1.7320536245663216e-07,8.404405478154962e-07,1.088247852184504e-06,9.68582e-07,8.587875e-07,1.0531850000000001e-06,HIGH_VARIANCE
SEAL,CKKS,4096,3,ckks_error,fresh,mean_abs_error,1.141081e-07,1.7516638090683956e-09,1.1285503519724404e-07,1.1536116480275595e-07,1.13668e-07,1.1298125e-07,1.1542300000000001e-07,
SEAL,CKKS,4096,5,ckks_error,after_add,max_abs_error,0.0003181573,3.1224449224036684e-05,0.000295820674612455,0.000340493925387545,0.000313174,0.000294572,0.0003342385,HIGH_VARIANCE
SEAL,CKKS,4096,5,ckks_error,after_add,mean_abs_error,4.038641e-05,8.851824362494128e-07,3.9753188631185044e-05,4.101963136881495e-05,4.051615e-05,3.977555e-05,4.10495e-05,
SEAL,CKKS,4096,5,ckks_error,fresh,max_abs_error,0.0002230585,3.492730426105692e-05,0.0001980730116899143,0.00024804398831008566,0.0002109295,0.0002005145,0.00023650749999999998,HIGH_VARIANCE
SEAL,CKKS,4096,5,ckks_error,fresh,mean_abs_error,2.850274e-05,4.899490091382526e-07,2.8152251592739468e-05,2.8853228407260532e-05,2.836615e-05,2.8231175e-05,2.86482e-05,
SEAL,CKKS,8192,1,ckks_error,after_add,max_abs_error,1.0570869e-08,1.6980296560585875e-09,9.356171758995497e-09,1.1785566241004504e-08,1.0256095e-08,9.223105e-09,1.1326425000000001e-08,HIGH_VARIANCE
SEAL,CKKS,8192,1,ckks_error,after_add,mean_abs_error,1.25574e-09,1.603757393678285e-11,1.2442674107293073e-09,1.2672125892706928e-09,1.261675e-09,1.2505375000000001e-09,1.26515e-09,
SEAL,CKKS,8192,1,ckks_error,after_multiply_1,max_abs_error,1.101601e-08,1.0048988443951294e-09,1.0297148671860004e-08,1.1734871328139997e-08,1.08293e-08,1.06712e-08,1.1565150000000001e-08,HIGH_VARIANCE
SEAL,CKKS,8192,1,ckks_error,after_multiply_1,mean_abs_error,9.444042999999999e-10,1.3078339038697201e-11,9.350486198500421e-10,9.537599801499576e-10,9.374725e-10,9.3396e-10,9.5643875e-10,
SEAL,CKKS,8192,1,ckks_error,after_multiply_2,max_abs_error,1.1571005e-08,2.1016927838464453e-09,1.0067544552846735e-08,1.3074465447153265e-08,1.123125e-08,9.939585e-09,1.2755775e-08,HIGH_VARIANCE
SEAL,CKKS,8192,1,ckks_error,after_multiply_2,mean_abs_error,7.77349e-10,1.3558743230845547e-11,7.676496593935316e-10,7.870483406064684e-10,7.75981e-10,7.70393e-10,7.840984999999999e-10,
SEAL,CKKS,8192,1,ckks_error,after_relinearize_1,max_abs_error,1.101601e-08,1.0048988443951294e-09,1.0297148671860004e-08,1.1734871328139997e-08,1.08293e-08,1.06712e-08,1.1565150000000001e-08,HIGH_VARIANCE
SEAL,CKKS,8192,1,ckks_error,after_relinearize_1,mean_abs_error,9.444042999999999e-10,1.3078339038697201e-11,9.350486198500421e-10,9.537599801499576e-10,9.374725e-10,9.3396e-10,9.5643875e-10,
SEAL,CKKS,8192,1,ckks_error,after_relinearize_2,max_abs_error,1.1571005e-08,2.1016927838464453e-09,1.0067544552846735e-08,1.3074465447153265e-08,1.123125e-08,9.939585e-09,1.2755775e-08,HIGH_VARIANCE
SEAL,CKKS,8192,1,ckks_error,after_relinearize_2,mean_abs_error,7.77349e-10,1.3558743230845547e-11,7.676496593935316e-10,7.870483406064684e-10,7.75981e-10,7.70393e-10,7.840984999999999e-10,
SEAL,CKKS,8192,1,ckks_error,after_rescale_1,max_abs_error,1.2244627e-08,1.5361760599911717e-09,1.1145712846698508e-08,1.3343541153301492e-08,1.28796e-08,1.0831700000000001e-08,1.3184675e-08,HIGH_VARIANCE
SEAL,CKKS,8192,1,ckks_error,after_rescale_1,mean_abs_error,1.324178e-09,1.915061345115493e-11,1.3104784764141417e-09,1.3378775235858584e-09,1.316055e-09,1.3102725e-09,1.3333675000000002e-09,
SEAL,CKKS,8192,1,ckks_error,after_rescale_2,max_abs_error,1.265293e-08,1.5547284757939064e-09,1.1540744247931585e-08,1.3765115752068416e-08,1.210485e-08,1.1800649999999999e-08,1.2405075e-08,HIGH_VARIANCE
SEAL,CKKS,8192,1,ckks_error,after_rescale_2,mean_abs_error,1.2176929999999999e-09,1.8750434098678584e-11,1.2042797474775624e-09,1.2311062525224374e-09,1.213425e-09,1.2021075e-09,1.2271149999999999e-09,
SEAL,CKKS,8192,1,ckks_error,fresh,max_abs_error,7.036168e-09,1.0566523197217396e-09,6.280284465877131e-09,7.792051534122869e-09,6.85529e-09,6.4528525e-09,7.42851e-09,HIGH_VARIANCE
SEAL,CKKS,8192,1,ckks_error,fresh,mean_abs_error,8.894479e-10,7.152640312033964e-12,8.843312093568623e-10,8.945645906431377e-10,8.913715000000001e-10,8.871557500000001e-10,8.931665e-10,
SEAL,CKKS,8192,3,ckks_error,after_add,max_abs_error,1.0335139000000001e-08,6.755183171535765e-10,9.851902306714508e-09,1.0818375693285494e-08,1.03935e-08,9.780485e-09,1.0746424999999999e-08,HIGH_VARIANCE
SEAL,CKKS,8192,3,ckks_error,after_add,mean_abs_error,1.225469e-09,1.7631571714147093e-11,1.2128561334111677e-09,1.2380818665888323e-09,1.2224299999999999e-09,1.2149975e-09,1.2341825e-09,
SEAL,CKKS,8192,3,ckks_error,after_multiply_1,max_abs_error,1.0681159000000001e-08,1.5411937920575293e-09,9.578655377412532e-09,1.178366262258747e-08,1.020125e-08,9.840510000000001e-09,1.1186074999999999e-08,HIGH_VARIANCE
