library,scheme,N,category,scenario,operation,vec_len,slot_count,metric,mean,std,ci_low,ci_high,median,iqr_low,iqr_high,flag
SEAL,BFV,8192,1,composite,rotate,,,latency_ms,1.9362254,0.16078959066903292,1.9043212568555865,1.9681295431444137,1.8966850000000002,1.8852474999999997,1.9155975,HIGH_VARIANCE
SEAL,BFV,8192,1,composite,rotate,,,galois_keygen_ms,121.381,,,,,,,n=1_invocation_not_repeated
SEAL,BFV,8192,1,composite,rotate,,,galois_keys_size_bytes,37822464,,,,,,,n=1_invocation_not_repeated
SEAL,BFV,8192,1,composite,rotate,,,energy_pkg_j_per_op,0.2852836285714286,,,,,,,n=1_invocation_not_repeated
SEAL,BFV,8192,1,composite,rotate,,,peak_memory_mb,117.61328125,,,,,,,n=1_invocation_not_repeated
SEAL,BGV,8192,1,composite,rotate,,,latency_ms,2.2830615,0.18388922968101412,2.2465738873252765,2.3195491126747236,2.23635,2.2182125,2.2646425000000003,HIGH_VARIANCE
SEAL,BGV,8192,1,composite,rotate,,,galois_keygen_ms,122.97,,,,,,,n=1_invocation_not_repeated
SEAL,BGV,8192,1,composite,rotate,,,galois_keys_size_bytes,37822464,,,,,,,n=1_invocation_not_repeated
SEAL,BGV,8192,1,composite,rotate,,,energy_pkg_j_per_op,0.30226025714285715,,,,,,,n=1_invocation_not_repeated
SEAL,BGV,8192,1,composite,rotate,,,peak_memory_mb,117.35546875,,,,,,,n=1_invocation_not_repeated
SEAL,CKKS,8192,1,composite,rotate,,,latency_ms,1.9209172,0.16426221113890566,1.8883240136153117,1.9535103863846885,1.87885,1.8673625,1.897935,HIGH_VARIANCE
SEAL,CKKS,8192,1,composite,rotate,,,galois_keygen_ms,122.31,,,,,,,n=1_invocation_not_repeated
SEAL,CKKS,8192,1,composite,rotate,,,galois_keys_size_bytes,37822464,,,,,,,n=1_invocation_not_repeated
SEAL,CKKS,8192,1,composite,rotate,,,energy_pkg_j_per_op,0.2953386476190476,,,,,,,n=1_invocation_not_repeated
SEAL,CKKS,8192,1,composite,rotate,,,peak_memory_mb,116.8125,,,,,,,n=1_invocation_not_repeated
SEAL,BFV,8192,1,composite,poly_eval,,,latency_ms,10.3684426,0.6428530452687874,10.240886609019872,10.495998590980127,10.120049999999999,10.060075,10.300175,HIGH_VARIANCE
SEAL,BFV,8192,1,composite,poly_eval,,,energy_pkg_j_per_op,0.46485661904761905,,,,,,,n=1_invocation_not_repeated
SEAL,BFV,8192,1,composite,poly_eval,,,peak_memory_mb,21.9921875,,,,,,,n=1_invocation_not_repeated
SEAL,BGV,8192,1,composite,poly_eval,,,latency_ms,3.6850041,0.23173036329518662,3.639023768495241,3.730984431504759,3.628875,3.5923299999999996,3.66468,HIGH_VARIANCE
SEAL,BGV,8192,1,composite,poly_eval,,,energy_pkg_j_per_op,0.30463380952380953,,,,,,,n=1_invocation_not_repeated
SEAL,BGV,8192,1,composite,poly_eval,,,peak_memory_mb,18.875,,,,,,,n=1_invocation_not_repeated
SEAL,CKKS,8192,1,composite,poly_eval,,,latency_ms,2.6006019,0.2055062330431509,2.559825004873911,2.641378795126089,2.54854,2.52012,2.5861600000000005,HIGH_VARIANCE
SEAL,CKKS,8192,1,composite,poly_eval,,,energy_pkg_j_per_op,0.2719149904761905,,,,,,,n=1_invocation_not_repeated
SEAL,CKKS,8192,1,composite,poly_eval,,,peak_memory_mb,18.84375,,,,,,,n=1_invocation_not_repeated
SEAL,BFV,8192,1,composite,dot_product,512,8192,latency_ms,28.191595,1.161736361839119,27.961081301756447,28.42210869824355,27.742,27.4981,28.8704,
SEAL,BFV,8192,1,composite,dot_product,512,8192,noise_budget_bits,73.44,0.8204458014587637,73.27720575328875,73.60279424671124,73.0,73.0,74.0,
SEAL,BFV,8192,1,composite,dot_product,512,8192,energy_pkg_j_per_op,0.9539255047619047,,,,,,,n=1_invocation_not_repeated
SEAL,BFV,8192,1,composite,dot_product,512,8192,peak_memory_mb,59.6953125,,,,,,,n=1_invocation_not_repeated
SEAL,BFV,8192,1,composite,dot_product,64,8192,latency_ms,22.118528,0.7499922941126014,21.96971325764626,22.267342742353744,21.789,21.590775,22.794825,
SEAL,BFV,8192,1,composite,dot_product,64,8192,noise_budget_bits,76.38,0.7491409221315581,76.23135418831794,76.52864581168205,76.0,76.0,77.0,
SEAL,BFV,8192,1,composite,dot_product,64,8192,energy_pkg_j_per_op,0.8177374,,,,,,,n=1_invocation_not_repeated
SEAL,BFV,8192,1,composite,dot_product,64,8192,peak_memory_mb,59.51953125,,,,,,,n=1_invocation_not_repeated
SEAL,BFV,8192,1,composite,dot_product,8,8192,latency_ms,16.06057,0.5772983278106124,15.946021487183568,16.17511851281643,15.7716,15.693175,16.0806,
SEAL,BFV,8192,1,composite,dot_product,8,8192,noise_budget_bits,78.89,0.31446603773522014,78.82760311572275,78.95239688427725,79.0,79.0,79.0,
SEAL,BFV,8192,1,composite,dot_product,8,8192,energy_pkg_j_per_op,0.6750691428571429,,,,,,,n=1_invocation_not_repeated
SEAL,BFV,8192,1,composite,dot_product,8,8192,peak_memory_mb,59.60546875,,,,,,,n=1_invocation_not_repeated
SEAL,BFV,8192,1,composite,dot_product,8192,8192,latency_ms,36.279871,0.9355603939707295,36.09423552070504,36.46550647929496,36.1553,35.543350000000004,36.9062,
SEAL,BFV,8192,1,composite,dot_product,8192,8192,noise_budget_bits,69.89,1.58206488265472,69.5760840041327,70.2039159958673,69.0,69.0,71.0,
SEAL,BFV,8192,1,composite,dot_product,8192,8192,energy_pkg_j_per_op,1.1416935142857143,,,,,,,n=1_invocation_not_repeated
SEAL,BFV,8192,1,composite,dot_product,8192,8192,peak_memory_mb,59.57421875,,,,,,,n=1_invocation_not_repeated
SEAL,BGV,8192,1,composite,dot_product,512,8192,latency_ms,23.811675,0.9322280897875203,23.62670072214986,23.996649277850143,23.43745,23.20115,24.469225,
SEAL,BGV,8192,1,composite,dot_product,512,8192,noise_budget_bits,67.98,0.14070529413628968,67.95208101701968,68.00791898298033,68.0,68.0,68.0,
SEAL,BGV,8192,1,composite,dot_product,512,8192,energy_pkg_j_per_op,0.896483638095238,,,,,,,n=1_invocation_not_repeated
SEAL,BGV,8192,1,composite,dot_product,512,8192,peak_memory_mb,56.84375,,,,,,,n=1_invocation_not_repeated
SEAL,BGV,8192,1,composite,dot_product,64,8192,latency_ms,16.720705,0.5789715687747499,16.605824479875054,16.835585520124944,16.43575,16.325025,16.8968,
SEAL,BGV,8192,1,composite,dot_product,64,8192,noise_budget_bits,71,0.0,71.0,71.0,71.0,71.0,71.0,
SEAL,BGV,8192,1,composite,dot_product,64,8192,energy_pkg_j_per_op,0.7122380571428573,,,,,,,n=1_invocation_not_repeated
SEAL,BGV,8192,1,composite,dot_product,64,8192,peak_memory_mb,56.8203125,,,,,,,n=1_invocation_not_repeated
SEAL,BGV,8192,1,composite,dot_product,8,8192,latency_ms,9.884898,1.0647913670325613,9.673620291963111,10.096175708036888,9.53069,9.4702925,9.744822499999998,HIGH_VARIANCE
SEAL,BGV,8192,1,composite,dot_product,8,8192,noise_budget_bits,75.92,0.2726599243442907,75.86589835560979,75.97410164439022,76.0,76.0,76.0,
SEAL,BGV,8192,1,composite,dot_product,8,8192,energy_pkg_j_per_op,0.5839114476190476,,,,,,,n=1_invocation_not_repeated
SEAL,BGV,8192,1,composite,dot_product,8,8192,peak_memory_mb,56.8515625,,,,,,,n=1_invocation_not_repeated
SEAL,BGV,8192,1,composite,dot_product,8192,8192,latency_ms,33.149076,0.798809416104095,32.99057488154794,33.30757711845206,32.8949,32.433525,33.800975,
SEAL,BGV,8192,1,composite,dot_product,8192,8192,noise_budget_bits,63.02,0.14070529413628968,62.992081017019686,63.04791898298032,63.0,63.0,63.0,
SEAL,BGV,8192,1,composite,dot_product,8192,8192,energy_pkg_j_per_op,1.120746742857143,,,,,,,n=1_invocation_not_repeated
SEAL,BGV,8192,1,composite,dot_product,8192,8192,peak_memory_mb,56.8359375,,,,,,,n=1_invocation_not_repeated
SEAL,CKKS,8192,1,composite,dot_product,4096,4096,latency_ms,26.789558,2.109356642459228,26.3710158793091,27.2081001206909,26.12175,25.717274999999997,27.38225,HIGH_VARIANCE
SEAL,CKKS,8192,1,composite,dot_product,4096,4096,energy_pkg_j_per_op,0.951087961904762,,,,,,,n=1_invocation_not_repeated
SEAL,CKKS,8192,1,composite,dot_product,4096,4096,peak_memory_mb,55.92578125,,,,,,,n=1_invocation_not_repeated
SEAL,CKKS,8192,1,composite,dot_product,512,4096,latency_ms,20.488632,1.813724739223879,20.12874966269203,20.848514337307968,19.9321,19.723925,20.883725,HIGH_VARIANCE
SEAL,CKKS,8192,1,composite,dot_product,512,4096,energy_pkg_j_per_op,0.7897716666666666,,,,,,,n=1_invocation_not_repeated
SEAL,CKKS,8192,1,composite,dot_product,512,4096,peak_memory_mb,55.76171875,,,,,,,n=1_invocation_not_repeated
SEAL,CKKS,8192,1,composite,dot_product,64,4096,latency_ms,14.218594,0.5452537084975242,14.110403834868384,14.326784165131615,13.96875,13.878025000000001,14.184025,
SEAL,CKKS,8192,1,composite,dot_product,64,4096,energy_pkg_j_per_op,0.6463771238095237,,,,,,,n=1_invocation_not_repeated
SEAL,CKKS,8192,1,composite,dot_product,64,4096,peak_memory_mb,55.98828125,,,,,,,n=1_invocation_not_repeated
SEAL,CKKS,8192,1,composite,dot_product,8,4096,latency_ms,8.3466761,0.5528575134805613,8.236977174993996,8.456375025006004,8.142695,8.09252,8.235310000000002,HIGH_VARIANCE
SEAL,CKKS,8192,1,composite,dot_product,8,4096,energy_pkg_j_per_op,0.5152667333333333,,,,,,,n=1_invocation_not_repeated
SEAL,CKKS,8192,1,composite,dot_product,8,4096,peak_memory_mb,56.02734375,,,,,,,n=1_invocation_not_repeated
