library,scheme,N,category,scenario,operation,metric,mean,std,ci_low,ci_high,median,iqr_low,iqr_high,flag
SEAL,BFV,2048,1,constrained,add,latency_ms,0.0049223406,0.0004603629735587765,0.00483210945718248,0.0050125717428175206,0.00477391,0.0046637825,0.0050372375,HIGH_VARIANCE
SEAL,BFV,2048,1,constrained,add,energy_pkg_j_per_op,1.6471725904761905,,,,,,,n=1_invocation_not_repeated
SEAL,BFV,2048,1,constrained,add,peak_memory_mb,11.69921875,,,,,,,n=1_invocation_not_repeated
SEAL,BFV,2048,1,constrained,decrypt,latency_ms,0.073564104,0.0019121628679903849,0.07318932007787389,0.07393888792212612,0.07272015,0.07215527499999999,0.074941275,
SEAL,BFV,2048,1,constrained,decrypt,energy_pkg_j_per_op,1.0490614666666667,,,,,,,n=1_invocation_not_repeated
SEAL,BFV,2048,1,constrained,decrypt,peak_memory_mb,8.640625,,,,,,,n=1_invocation_not_repeated
SEAL,BFV,2048,1,constrained,encrypt,latency_ms,0.33729708,0.003952909304971886,0.33652230977622555,0.3380718502237745,0.3367915,0.334596,0.33889874999999997,
SEAL,BFV,2048,1,constrained,encrypt,energy_pkg_j_per_op,0.8643723904761905,,,,,,,n=1_invocation_not_repeated
SEAL,BFV,2048,1,constrained,encrypt,peak_memory_mb,6.96875,,,,,,,n=1_invocation_not_repeated
SEAL,BFV,2048,1,constrained,keygen,latency_ms,22.059536,0.6695770873190229,21.928298890885472,22.19077310911453,22.2229,21.956249999999997,22.507424999999998,
SEAL,BFV,2048,1,constrained,keygen,energy_pkg_j_per_op,0.41881902857142855,,,,,,,n=1_invocation_not_repeated
SEAL,BFV,2048,1,constrained,keygen,peak_memory_mb,5.15625,,,,,,,n=1_invocation_not_repeated
SEAL,BFV,2048,1,constrained,multiply,latency_ms,,,,,,,,skipped_depth0_undefined_at_this_config
SEAL,BFV,2048,1,constrained,relinearize,latency_ms,,,,,,,,skipped_depth0_undefined_at_this_config
SEAL,BFV,2048,3,constrained,add,latency_ms,0.0094891689,0.0009546085958128536,0.009302065615220682,0.00967627218477932,0.00921076,0.0090839775,0.0093558575,HIGH_VARIANCE
SEAL,BFV,2048,3,constrained,add,energy_pkg_j_per_op,1.5938342571428572,,,,,,,n=1_invocation_not_repeated
SEAL,BFV,2048,3,constrained,add,peak_memory_mb,17.65625,,,,,,,n=1_invocation_not_repeated
SEAL,BFV,2048,3,constrained,decrypt,latency_ms,0.12252319,0.0038903758554757516,0.12176067633232676,0.12328570366767325,0.122403,0.12032324999999999,0.1235715,
SEAL,BFV,2048,3,constrained,decrypt,energy_pkg_j_per_op,1.0981989142857143,,,,,,,n=1_invocation_not_repeated
SEAL,BFV,2048,3,constrained,decrypt,peak_memory_mb,11.4609375,,,,,,,n=1_invocation_not_repeated
SEAL,BFV,2048,3,constrained,encrypt,latency_ms,0.32726031,0.001897516743488231,0.3268883967182763,0.3276322232817237,0.3274665,0.3256225,0.328641,
SEAL,BFV,2048,3,constrained,encrypt,energy_pkg_j_per_op,0.8217913714285714,,,,,,,n=1_invocation_not_repeated
SEAL,BFV,2048,3,constrained,encrypt,peak_memory_mb,6.59375,,,,,,,n=1_invocation_not_repeated
SEAL,BFV,2048,3,constrained,keygen,latency_ms,14.625404,0.5348917379217683,14.520565219367333,14.730242780632667,14.70935,14.5305,14.891874999999999,
SEAL,BFV,2048,3,constrained,keygen,energy_pkg_j_per_op,0.33559549523809523,,,,,,,n=1_invocation_not_repeated
SEAL,BFV,2048,3,constrained,keygen,peak_memory_mb,4.9140625,,,,,,,n=1_invocation_not_repeated
SEAL,BFV,2048,3,constrained,multiply,latency_ms,,,,,,,,skipped_depth0_undefined_at_this_config
SEAL,BFV,2048,3,constrained,relinearize,latency_ms,,,,,,,,skipped_depth0_undefined_at_this_config
SEAL,BFV,2048,5,constrained,multiply,latency_ms,,,,,,,,skipped_depth0_undefined_at_this_config
SEAL,BFV,2048,5,constrained,relinearize,latency_ms,,,,,,,,skipped_depth0_undefined_at_this_config
SEAL,BFV,4096,1,constrained,add,latency_ms,0.019905211,0.0010191815121587825,0.019705451423616877,0.02010497057638312,0.019645700000000002,0.01942755,0.019938525,HIGH_VARIANCE
SEAL,BFV,4096,1,constrained,add,energy_pkg_j_per_op,3.984527742857143,,,,,,,n=1_invocation_not_repeated
SEAL,BFV,4096,1,constrained,add,peak_memory_mb,33.80859375,,,,,,,n=1_invocation_not_repeated
SEAL,BFV,4096,1,constrained,decrypt,latency_ms,0.25384331,0.002905416984259616,0.2532738482710851,0.25441277172891485,0.253158,0.2525575,0.2540965,
SEAL,BFV,4096,1,constrained,decrypt,energy_pkg_j_per_op,2.5511418095238096,,,,,,,n=1_invocation_not_repeated
SEAL,BFV,4096,1,constrained,decrypt,peak_memory_mb,21.42578125,,,,,,,n=1_invocation_not_repeated
SEAL,BFV,4096,1,constrained,encrypt,latency_ms,0.86052822,0.004554344223337367,0.8596355685322258,0.8614208714677741,0.859003,0.85761575,0.8620034999999999,
SEAL,BFV,4096,1,constrained,encrypt,energy_pkg_j_per_op,1.9770434380952382,,,,,,,n=1_invocation_not_repeated
SEAL,BFV,4096,1,constrained,encrypt,peak_memory_mb,11.703125,,,,,,,n=1_invocation_not_repeated
SEAL,BFV,4096,1,constrained,keygen,latency_ms,41.824108,0.8391257305389492,41.65963935681437,41.98857664318564,42.010999999999996,41.20005,42.434875,
SEAL,BFV,4096,1,constrained,keygen,energy_pkg_j_per_op,0.7976070095238095,,,,,,,n=1_invocation_not_repeated
SEAL,BFV,4096,1,constrained,keygen,peak_memory_mb,8.29296875,,,,,,,n=1_invocation_not_repeated
SEAL,BFV,4096,1,constrained,multiply,latency_ms,2.6893786,0.013307222085633187,2.686770384471216,2.691986815528784,2.685675,2.6822725000000003,2.6942425,
SEAL,BFV,4096,1,constrained,multiply,energy_pkg_j_per_op,9.512223733333334,,,,,,,n=1_invocation_not_repeated
SEAL,BFV,4096,1,constrained,multiply,peak_memory_mb,35.44921875,,,,,,,n=1_invocation_not_repeated
SEAL,BFV,4096,1,constrained,relinearize,latency_ms,0.53569909,0.005767501864715335,0.5345686596345158,0.5368295203654843,0.5346390000000001,0.5329682499999999,0.5358732500000001,
SEAL,BFV,4096,1,constrained,relinearize,energy_pkg_j_per_op,10.823278142857143,,,,,,,n=1_invocation_not_repeated
SEAL,BFV,4096,1,constrained,relinearize,peak_memory_mb,29.17578125,,,,,,,n=1_invocation_not_repeated
SEAL,BFV,4096,3,constrained,add,latency_ms,0.0102251268,0.0009636969394036277,0.010036242199876888,0.01041401140012311,0.009927015,0.0098394475,0.01012765,HIGH_VARIANCE
SEAL,BFV,4096,3,constrained,add,energy_pkg_j_per_op,3.1733110285714283,,,,,,,n=1_invocation_not_repeated
SEAL,BFV,4096,3,constrained,add,peak_memory_mb,19.203125,,,,,,,n=1_invocation_not_repeated
SEAL,BFV,4096,3,constrained,decrypt,latency_ms,0.15185686,0.0018608237017216042,0.15149213855446259,0.15222158144553743,0.152047,0.1501645,0.15297625,
SEAL,BFV,4096,3,constrained,decrypt,energy_pkg_j_per_op,1.9545949999999999,,,,,,,n=1_invocation_not_repeated
SEAL,BFV,4096,3,constrained,decrypt,peak_memory_mb,13.2109375,,,,,,,n=1_invocation_not_repeated
SEAL,BFV,4096,3,constrained,encrypt,latency_ms,0.66378389,0.006245232468350347,0.6625598244362034,0.6650079555637967,0.6618729999999999,0.65993975,0.6650625,
SEAL,BFV,4096,3,constrained,encrypt,energy_pkg_j_per_op,1.6449452095238095,,,,,,,n=1_invocation_not_repeated
SEAL,BFV,4096,3,constrained,encrypt,peak_memory_mb,9.74609375,,,,,,,n=1_invocation_not_repeated
SEAL,BFV,4096,3,constrained,keygen,latency_ms,24.963275,0.840004253521578,24.79863416630977,25.127915833690228,25.082349999999998,24.7869,25.389475,
SEAL,BFV,4096,3,constrained,keygen,energy_pkg_j_per_op,0.6441737238095238,,,,,,,n=1_invocation_not_repeated
SEAL,BFV,4096,3,constrained,keygen,peak_memory_mb,6.2578125,,,,,,,n=1_invocation_not_repeated
SEAL,BFV,4096,3,constrained,multiply,latency_ms,,,,,,,,skipped_depth0_undefined_at_this_config
SEAL,BFV,4096,3,constrained,relinearize,latency_ms,,,,,,,,skipped_depth0_undefined_at_this_config
SEAL,BFV,4096,5,constrained,add,latency_ms,0.0105614363,0.0008207981153738861,0.010400559869386717,0.010722312730613281,0.01035745,0.010239274999999999,0.010510799999999999,HIGH_VARIANCE
SEAL,BFV,4096,5,constrained,add,energy_pkg_j_per_op,3.156473323809524,,,,,,,n=1_invocation_not_repeated
