library,scheme,N,category,scenario,operation,batch_size,metric,mean,std,ci_low,ci_high,median,iqr_low,iqr_high,flag
SEAL,BFV,2048,1,edge_batch,keygen,1,latency_ms,22.136883,0.6864206249483952,22.000682256005888,22.273083743994114,22.3208,22.021125,22.499875,
SEAL,BFV,2048,1,edge_batch,keygen,1,energy_pkg_j_per_op,0.5044692952380952,,,,,,,n=1_invocation_not_repeated
SEAL,BFV,2048,1,edge_batch,keygen,1,peak_memory_mb,5.1796875,,,,,,,n=1_invocation_not_repeated
SEAL,BFV,2048,1,edge_batch,keygen,1,keygen_amortized_ms,22.136883,,,,,,,derived_not_measured
SEAL,BFV,2048,1,edge_batch,keygen,10,keygen_amortized_ms,2.2136883000000003,,,,,,,derived_not_measured
SEAL,BFV,2048,1,edge_batch,keygen,100,keygen_amortized_ms,0.22136883000000002,,,,,,,derived_not_measured
SEAL,BFV,2048,3,edge_batch,keygen,1,latency_ms,14.566944,0.6823001219612106,14.431560853193508,14.70232714680649,14.7584,14.542525,14.925799999999999,
SEAL,BFV,2048,3,edge_batch,keygen,1,energy_pkg_j_per_op,0.3651964476190476,,,,,,,n=1_invocation_not_repeated
SEAL,BFV,2048,3,edge_batch,keygen,1,peak_memory_mb,4.921875,,,,,,,n=1_invocation_not_repeated
SEAL,BFV,2048,3,edge_batch,keygen,1,keygen_amortized_ms,14.566944,,,,,,,derived_not_measured
SEAL,BFV,2048,3,edge_batch,keygen,10,keygen_amortized_ms,1.4566944,,,,,,,derived_not_measured
SEAL,BFV,2048,3,edge_batch,keygen,100,keygen_amortized_ms,0.14566943999999998,,,,,,,derived_not_measured
SEAL,BFV,4096,1,edge_batch,keygen,1,latency_ms,41.722064,0.8742012244976161,41.54860351112543,41.89552448887458,41.9253,41.089675,42.386575,
SEAL,BFV,4096,1,edge_batch,keygen,1,energy_pkg_j_per_op,0.8530082285714287,,,,,,,n=1_invocation_not_repeated
SEAL,BFV,4096,1,edge_batch,keygen,1,peak_memory_mb,8.16796875,,,,,,,n=1_invocation_not_repeated
SEAL,BFV,4096,1,edge_batch,keygen,1,keygen_amortized_ms,41.722064,,,,,,,derived_not_measured
SEAL,BFV,4096,1,edge_batch,keygen,10,keygen_amortized_ms,4.1722064,,,,,,,derived_not_measured
SEAL,BFV,4096,1,edge_batch,keygen,100,keygen_amortized_ms,0.41722064000000003,,,,,,,derived_not_measured
SEAL,BFV,4096,3,edge_batch,keygen,1,latency_ms,24.847928,0.7949312963236178,24.69019638464881,25.00565961535119,25.0651,24.783750000000005,25.368524999999998,
SEAL,BFV,4096,3,edge_batch,keygen,1,energy_pkg_j_per_op,0.5775866476190475,,,,,,,n=1_invocation_not_repeated
SEAL,BFV,4096,3,edge_batch,keygen,1,peak_memory_mb,6.234375,,,,,,,n=1_invocation_not_repeated
SEAL,BFV,4096,3,edge_batch,keygen,1,keygen_amortized_ms,24.847928,,,,,,,derived_not_measured
SEAL,BFV,4096,3,edge_batch,keygen,10,keygen_amortized_ms,2.4847928,,,,,,,derived_not_measured
SEAL,BFV,4096,3,edge_batch,keygen,100,keygen_amortized_ms,0.24847928,,,,,,,derived_not_measured
SEAL,BFV,4096,5,edge_batch,keygen,1,latency_ms,22.38411,0.6856768920585193,22.248056828746638,22.520163171253362,22.58875,22.344625,22.771975,
SEAL,BFV,4096,5,edge_batch,keygen,1,energy_pkg_j_per_op,0.47765342857142856,,,,,,,n=1_invocation_not_repeated
SEAL,BFV,4096,5,edge_batch,keygen,1,peak_memory_mb,6.2109375,,,,,,,n=1_invocation_not_repeated
SEAL,BFV,4096,5,edge_batch,keygen,1,keygen_amortized_ms,22.38411,,,,,,,derived_not_measured
SEAL,BFV,4096,5,edge_batch,keygen,10,keygen_amortized_ms,2.238411,,,,,,,derived_not_measured
SEAL,BFV,4096,5,edge_batch,keygen,100,keygen_amortized_ms,0.2238411,,,,,,,derived_not_measured
SEAL,BFV,8192,1,edge_batch,keygen,1,latency_ms,66.215939,1.056247750331237,66.00635653087178,66.42552146912823,66.1455,65.57325,66.858125,
SEAL,BFV,8192,1,edge_batch,keygen,1,energy_pkg_j_per_op,1.3260222095238097,,,,,,,n=1_invocation_not_repeated
SEAL,BFV,8192,1,edge_batch,keygen,1,peak_memory_mb,16.5625,,,,,,,n=1_invocation_not_repeated
SEAL,BFV,8192,1,edge_batch,keygen,1,keygen_amortized_ms,66.215939,,,,,,,derived_not_measured
