library,scheme,N,category,scenario,operation,metric,mean,std,ci_low,ci_high,median,iqr_low,iqr_high,flag
SEAL,BFV,2048,1,noise_trace,after_add,noise_budget_bits,5,0.0,5.0,5.0,5.0,5.0,5.0,
SEAL,BFV,2048,1,noise_trace,fresh,noise_budget_bits,5.9,0.31622776601683794,5.67378428372018,6.1262157162798205,6.0,6.0,6.0,HIGH_VARIANCE
SEAL,BFV,2048,3,noise_trace,after_add,noise_budget_bits,3,0.0,3.0,3.0,3.0,3.0,3.0,
SEAL,BFV,2048,3,noise_trace,fresh,noise_budget_bits,3.1,0.31622776601683794,2.8737842837201795,3.3262157162798207,3.0,3.0,3.0,HIGH_VARIANCE
SEAL,BFV,2048,5,noise_trace,after_add,noise_budget_bits,1,0.0,1.0,1.0,1.0,1.0,1.0,
SEAL,BFV,2048,5,noise_trace,fresh,noise_budget_bits,1.8,0.4216370213557839,1.4983790449602394,2.1016209550397607,2.0,2.0,2.0,HIGH_VARIANCE
SEAL,BFV,4096,1,noise_trace,after_add,noise_budget_bits,38,0.0,38.0,38.0,38.0,38.0,38.0,
SEAL,BFV,4096,1,noise_trace,after_multiply_1,noise_budget_bits,7.7,0.48304589153964794,7.354449785586357,8.045550214413645,8.0,7.25,8.0,HIGH_VARIANCE
SEAL,BFV,4096,1,noise_trace,after_relinearize_1,noise_budget_bits,7.7,0.48304589153964794,7.354449785586357,8.045550214413645,8.0,7.25,8.0,HIGH_VARIANCE
SEAL,BFV,4096,1,noise_trace,fresh,noise_budget_bits,39,0.0,39.0,39.0,39.0,39.0,39.0,
SEAL,BFV,4096,3,noise_trace,after_add,noise_budget_bits,6,0.0,6.0,6.0,6.0,6.0,6.0,
SEAL,BFV,4096,3,noise_trace,fresh,noise_budget_bits,6.7,0.48304589153964794,6.354449785586357,7.045550214413644,7.0,6.25,7.0,HIGH_VARIANCE
SEAL,BFV,4096,5,noise_trace,after_add,noise_budget_bits,4,0.0,4.0,4.0,4.0,4.0,4.0,
SEAL,BFV,4096,5,noise_trace,fresh,noise_budget_bits,4,0.0,4.0,4.0,4.0,4.0,4.0,
SEAL,BFV,8192,1,noise_trace,after_add,noise_budget_bits,111.9,0.31622776601683794,111.67378428372018,112.12621571627983,112.0,112.0,112.0,
SEAL,BFV,8192,1,noise_trace,after_multiply_1,noise_budget_bits,80,0.0,80.0,80.0,80.0,80.0,80.0,
SEAL,BFV,8192,1,noise_trace,after_multiply_2,noise_budget_bits,48,0.0,48.0,48.0,48.0,48.0,48.0,
SEAL,BFV,8192,1,noise_trace,after_multiply_3,noise_budget_bits,16.1,0.31622776601683794,15.87378428372018,16.326215716279822,16.0,16.0,16.0,
SEAL,BFV,8192,1,noise_trace,after_relinearize_1,noise_budget_bits,80,0.0,80.0,80.0,80.0,80.0,80.0,
SEAL,BFV,8192,1,noise_trace,after_relinearize_2,noise_budget_bits,48,0.0,48.0,48.0,48.0,48.0,48.0,
SEAL,BFV,8192,1,noise_trace,after_relinearize_3,noise_budget_bits,16.1,0.31622776601683794,15.87378428372018,16.326215716279822,16.0,16.0,16.0,
SEAL,BFV,8192,1,noise_trace,fresh,noise_budget_bits,112,0.0,112.0,112.0,112.0,112.0,112.0,
SEAL,BFV,8192,3,noise_trace,after_add,noise_budget_bits,65,0.0,65.0,65.0,65.0,65.0,65.0,
SEAL,BFV,8192,3,noise_trace,after_multiply_1,noise_budget_bits,33,0.0,33.0,33.0,33.0,33.0,33.0,
SEAL,BFV,8192,3,noise_trace,after_multiply_2,noise_budget_bits,1.1,0.31622776601683794,0.8737842837201796,1.3262157162798205,1.0,1.0,1.0,HIGH_VARIANCE
SEAL,BFV,8192,3,noise_trace,after_relinearize_1,noise_budget_bits,33,0.0,33.0,33.0,33.0,33.0,33.0,
