library,scheme,N,category,scenario,operation,fill_pct,n_real,slot_count,metric,mean,std,ci_low,ci_high,median,iqr_low,iqr_high,flag
SEAL,BFV,8192,1,packing,add,0.1,819,8192,latency_ms,0.06267206,0.013297661394471593,0.06003351548446332,0.06531060451553668,0.059174000000000004,0.053406499999999996,0.067675,HIGH_VARIANCE
SEAL,BFV,8192,1,packing,add,0.1,819,8192,latency_per_value_ms,7.652266178266179e-05,,,,,,,derived_not_measured
SEAL,BFV,8192,1,packing,add,0.1,819,8192,throughput_items_per_sec,13068024.251955336,,,,,,,derived_not_measured
SEAL,BFV,8192,1,packing,add,0.1,819,8192,energy_pkg_j_per_op,0.23337590476190478,,,,,,,n=1_invocation_not_repeated
SEAL,BFV,8192,1,packing,add,0.1,819,8192,peak_memory_mb,17.6953125,,,,,,,n=1_invocation_not_repeated
SEAL,BFV,8192,1,packing,add,0.5,4096,8192,latency_ms,0.06695114,0.030348890938090657,0.06092926161387932,0.07297301838612069,0.056704,0.05170075,0.07322525,HIGH_VARIANCE
SEAL,BFV,8192,1,packing,add,0.5,4096,8192,latency_per_value_ms,1.63454931640625e-05,,,,,,,derived_not_measured
SEAL,BFV,8192,1,packing,add,0.5,4096,8192,throughput_items_per_sec,61178943.33091266,,,,,,,derived_not_measured
SEAL,BFV,8192,1,packing,add,0.5,4096,8192,energy_pkg_j_per_op,0.26349505714285715,,,,,,,n=1_invocation_not_repeated
SEAL,BFV,8192,1,packing,add,0.5,4096,8192,peak_memory_mb,17.7265625,,,,,,,n=1_invocation_not_repeated
SEAL,BFV,8192,1,packing,add,1.0,8192,8192,latency_ms,0.05935508,0.011629338972746057,0.05704756684745327,0.06166259315254673,0.056394,0.05157775,0.06430075,HIGH_VARIANCE
SEAL,BFV,8192,1,packing,add,1.0,8192,8192,latency_per_value_ms,7.2454931640625e-06,,,,,,,derived_not_measured
SEAL,BFV,8192,1,packing,add,1.0,8192,8192,throughput_items_per_sec,138016830.23592925,,,,,,,derived_not_measured
SEAL,BFV,8192,1,packing,add,1.0,8192,8192,energy_pkg_j_per_op,0.2269706,,,,,,,n=1_invocation_not_repeated
SEAL,BFV,8192,1,packing,add,1.0,8192,8192,peak_memory_mb,17.71875,,,,,,,n=1_invocation_not_repeated
SEAL,BFV,8192,1,packing,add,0.0,1,8192,latency_ms,0.05668008,0.011471384338430998,0.054403908473752226,0.058956251526247776,0.0528225,0.04886075,0.05964025,HIGH_VARIANCE
SEAL,BFV,8192,1,packing,add,0.0,1,8192,latency_per_value_ms,0.05668008,,,,,,,derived_not_measured
SEAL,BFV,8192,1,packing,add,0.0,1,8192,throughput_items_per_sec,17642.88264942463,,,,,,,derived_not_measured
SEAL,BFV,8192,1,packing,add,0.0,1,8192,energy_pkg_j_per_op,0.22201378095238097,,,,,,,n=1_invocation_not_repeated
SEAL,BFV,8192,1,packing,add,0.0,1,8192,peak_memory_mb,17.69921875,,,,,,,n=1_invocation_not_repeated
SEAL,BFV,8192,1,packing,encrypt,0.1,819,8192,latency_ms,2.3337275,0.050608027877067654,2.323685769319997,2.3437692306800035,2.3213850000000003,2.303845,2.3480749999999997,
SEAL,BFV,8192,1,packing,encrypt,0.1,819,8192,latency_per_value_ms,0.002849484126984127,,,,,,,derived_not_measured
SEAL,BFV,8192,1,packing,encrypt,0.1,819,8192,throughput_items_per_sec,350940.71608617547,,,,,,,derived_not_measured
SEAL,BFV,8192,1,packing,encrypt,0.1,819,8192,energy_pkg_j_per_op,0.17304504761904763,,,,,,,n=1_invocation_not_repeated
SEAL,BFV,8192,1,packing,encrypt,0.1,819,8192,peak_memory_mb,16.88671875,,,,,,,n=1_invocation_not_repeated
SEAL,BFV,8192,1,packing,encrypt,0.5,4096,8192,latency_ms,2.2282945,0.04074007087002855,2.220210786077086,2.2363782139229142,2.217595,2.2072325,2.23864,
SEAL,BFV,8192,1,packing,encrypt,0.5,4096,8192,latency_per_value_ms,0.0005440172119140625,,,,,,,derived_not_measured
SEAL,BFV,8192,1,packing,encrypt,0.5,4096,8192,throughput_items_per_sec,1838177.1350241182,,,,,,,derived_not_measured
SEAL,BFV,8192,1,packing,encrypt,0.5,4096,8192,energy_pkg_j_per_op,0.16219442857142857,,,,,,,n=1_invocation_not_repeated
SEAL,BFV,8192,1,packing,encrypt,0.5,4096,8192,peak_memory_mb,16.9375,,,,,,,n=1_invocation_not_repeated
SEAL,BFV,8192,1,packing,encrypt,1.0,8192,8192,latency_ms,2.2292568999999998,0.056943199781923415,2.2179581337715133,2.2405556662284862,2.214565,2.197725,2.2413275,
SEAL,BFV,8192,1,packing,encrypt,1.0,8192,8192,latency_per_value_ms,0.0002721260864257812,,,,,,,derived_not_measured
SEAL,BFV,8192,1,packing,encrypt,1.0,8192,8192,throughput_items_per_sec,3674767.138771669,,,,,,,derived_not_measured
SEAL,BFV,8192,1,packing,encrypt,1.0,8192,8192,energy_pkg_j_per_op,0.1626209238095238,,,,,,,n=1_invocation_not_repeated
SEAL,BFV,8192,1,packing,encrypt,1.0,8192,8192,peak_memory_mb,16.890625,,,,,,,n=1_invocation_not_repeated
SEAL,BFV,8192,1,packing,encrypt,0.0,1,8192,latency_ms,2.2349377,0.03630560790516577,2.227733879735692,2.2421415202643082,2.229425,2.2135774999999995,2.25144,
SEAL,BFV,8192,1,packing,encrypt,0.0,1,8192,latency_per_value_ms,2.2349377,,,,,,,derived_not_measured
SEAL,BFV,8192,1,packing,encrypt,0.0,1,8192,throughput_items_per_sec,447.4397653232123,,,,,,,derived_not_measured
SEAL,BFV,8192,1,packing,encrypt,0.0,1,8192,energy_pkg_j_per_op,0.1784086,,,,,,,n=1_invocation_not_repeated
SEAL,BFV,8192,1,packing,encrypt,0.0,1,8192,peak_memory_mb,16.85546875,,,,,,,n=1_invocation_not_repeated
SEAL,BFV,8192,1,packing,multiply,0.1,819,8192,latency_ms,8.177904700000001,0.18331574555557403,8.141530879017594,8.214278520982408,8.14052,8.06145,8.2208625,
SEAL,BFV,8192,1,packing,multiply,0.1,819,8192,latency_per_value_ms,0.009985231623931626,,,,,,,derived_not_measured
SEAL,BFV,8192,1,packing,multiply,0.1,819,8192,throughput_items_per_sec,100147.9021881974,,,,,,,derived_not_measured
SEAL,BFV,8192,1,packing,multiply,0.1,819,8192,energy_pkg_j_per_op,0.4246799809523809,,,,,,,n=1_invocation_not_repeated
SEAL,BFV,8192,1,packing,multiply,0.1,819,8192,peak_memory_mb,22.1953125,,,,,,,n=1_invocation_not_repeated
SEAL,BFV,8192,1,packing,multiply,0.5,4096,8192,latency_ms,8.2862666,0.12446410960691609,8.261570220385384,8.310962979614615,8.312255,8.1886325,8.364865,
SEAL,BFV,8192,1,packing,multiply,0.5,4096,8192,latency_per_value_ms,0.002023014306640625,,,,,,,derived_not_measured
SEAL,BFV,8192,1,packing,multiply,0.5,4096,8192,throughput_items_per_sec,494311.8774382664,,,,,,,derived_not_measured
SEAL,BFV,8192,1,packing,multiply,0.5,4096,8192,energy_pkg_j_per_op,0.42517753333333336,,,,,,,n=1_invocation_not_repeated
SEAL,BFV,8192,1,packing,multiply,0.5,4096,8192,peak_memory_mb,22.25390625,,,,,,,n=1_invocation_not_repeated
SEAL,BFV,8192,1,packing,multiply,1.0,8192,8192,latency_ms,8.211588,0.1219584033905649,8.187388806860403,8.235787193139599,8.184339999999999,8.14256,8.256877500000002,
SEAL,BFV,8192,1,packing,multiply,1.0,8192,8192,latency_per_value_ms,0.00100239111328125,,,,,,,derived_not_measured
SEAL,BFV,8192,1,packing,multiply,1.0,8192,8192,throughput_items_per_sec,997614.5905030792,,,,,,,derived_not_measured
SEAL,BFV,8192,1,packing,multiply,1.0,8192,8192,energy_pkg_j_per_op,0.4024551809523809,,,,,,,n=1_invocation_not_repeated
SEAL,BFV,8192,1,packing,multiply,1.0,8192,8192,peak_memory_mb,22.18359375,,,,,,,n=1_invocation_not_repeated
SEAL,BFV,8192,1,packing,multiply,0.0,1,8192,latency_ms,8.2946369,0.1535341359450528,8.264172396481065,8.325101403518936,8.273814999999999,8.2192525,8.35859,
SEAL,BFV,8192,1,packing,multiply,0.0,1,8192,latency_per_value_ms,8.2946369,,,,,,,derived_not_measured
SEAL,BFV,8192,1,packing,multiply,0.0,1,8192,throughput_items_per_sec,120.55982824275284,,,,,,,derived_not_measured
SEAL,BFV,8192,1,packing,multiply,0.0,1,8192,energy_pkg_j_per_op,0.4394264761904762,,,,,,,n=1_invocation_not_repeated
SEAL,BFV,8192,1,packing,multiply,0.0,1,8192,peak_memory_mb,22.27734375,,,,,,,n=1_invocation_not_repeated
SEAL,BGV,8192,1,packing,add,0.1,819,8192,latency_ms,0.06719678,0.014109666050340143,0.06439711614416917,0.06999644385583083,0.0636375,0.057922,0.0707305,HIGH_VARIANCE
