library,scheme,N,category,scenario,operation,metric,mean,std,ci_low,ci_high,median,iqr_low,iqr_high,flag
SEAL,BFV,2048,1,size,ciphertext,size_bytes,32881,,,,,,,deterministic_single_measurement
SEAL,BFV,2048,1,size,public_key,size_bytes,65649,,,,,,,deterministic_single_measurement
SEAL,BFV,2048,1,size,secret_key,size_bytes,32856,,,,,,,deterministic_single_measurement
SEAL,BFV,2048,1,size,relin_keys,size_bytes,,,,,,,,skipped_depth0_undefined_at_this_config
SEAL,BFV,2048,3,size,ciphertext,size_bytes,65649,,,,,,,deterministic_single_measurement
SEAL,BFV,2048,3,size,public_key,size_bytes,65649,,,,,,,deterministic_single_measurement
SEAL,BFV,2048,3,size,secret_key,size_bytes,32856,,,,,,,deterministic_single_measurement
SEAL,BFV,2048,3,size,relin_keys,size_bytes,,,,,,,,skipped_depth0_undefined_at_this_config
SEAL,BFV,4096,1,size,ciphertext,size_bytes,131185,,,,,,,deterministic_single_measurement
SEAL,BFV,4096,1,size,public_key,size_bytes,196721,,,,,,,deterministic_single_measurement
SEAL,BFV,4096,1,size,secret_key,size_bytes,98392,,,,,,,deterministic_single_measurement
SEAL,BFV,4096,1,size,relin_keys,size_bytes,393506,,,,,,,deterministic_single_measurement
SEAL,BFV,4096,3,size,ciphertext,size_bytes,65649,,,,,,,deterministic_single_measurement
SEAL,BFV,4096,3,size,public_key,size_bytes,131185,,,,,,,deterministic_single_measurement
SEAL,BFV,4096,3,size,secret_key,size_bytes,65624,,,,,,,deterministic_single_measurement
SEAL,BFV,4096,3,size,relin_keys,size_bytes,,,,,,,,skipped_depth0_undefined_at_this_config
SEAL,BFV,4096,5,size,ciphertext,size_bytes,65649,,,,,,,deterministic_single_measurement
SEAL,BFV,4096,5,size,public_key,size_bytes,131185,,,,,,,deterministic_single_measurement
SEAL,BFV,4096,5,size,secret_key,size_bytes,65624,,,,,,,deterministic_single_measurement
SEAL,BFV,4096,5,size,relin_keys,size_bytes,,,,,,,,skipped_depth0_undefined_at_this_config
SEAL,BFV,8192,1,size,ciphertext,size_bytes,393329,,,,,,,deterministic_single_measurement
SEAL,BFV,8192,1,size,public_key,size_bytes,524401,,,,,,,deterministic_single_measurement
SEAL,BFV,8192,1,size,secret_key,size_bytes,262232,,,,,,,deterministic_single_measurement
SEAL,BFV,8192,1,size,relin_keys,size_bytes,1573267,,,,,,,deterministic_single_measurement
SEAL,BFV,8192,3,size,ciphertext,size_bytes,262257,,,,,,,deterministic_single_measurement
SEAL,BFV,8192,3,size,public_key,size_bytes,393329,,,,,,,deterministic_single_measurement
SEAL,BFV,8192,3,size,secret_key,size_bytes,196696,,,,,,,deterministic_single_measurement
SEAL,BFV,8192,3,size,relin_keys,size_bytes,786722,,,,,,,deterministic_single_measurement
SEAL,BFV,8192,5,size,ciphertext,size_bytes,131185,,,,,,,deterministic_single_measurement
SEAL,BFV,8192,5,size,public_key,size_bytes,262257,,,,,,,deterministic_single_measurement
SEAL,BFV,8192,5,size,secret_key,size_bytes,131160,,,,,,,deterministic_single_measurement
SEAL,BFV,8192,5,size,relin_keys,size_bytes,,,,,,,,skipped_depth0_undefined_at_this_config
SEAL,BGV,2048,1,size,ciphertext,size_bytes,32881,,,,,,,deterministic_single_measurement
SEAL,BGV,2048,1,size,public_key,size_bytes,65649,,,,,,,deterministic_single_measurement
SEAL,BGV,2048,1,size,secret_key,size_bytes,32856,,,,,,,deterministic_single_measurement
SEAL,BGV,2048,1,size,relin_keys,size_bytes,,,,,,,,skipped_depth0_undefined_at_this_config
SEAL,BGV,2048,3,size,ciphertext,size_bytes,65649,,,,,,,deterministic_single_measurement
SEAL,BGV,2048,3,size,public_key,size_bytes,65649,,,,,,,deterministic_single_measurement
SEAL,BGV,2048,3,size,secret_key,size_bytes,32856,,,,,,,deterministic_single_measurement
SEAL,BGV,2048,3,size,relin_keys,size_bytes,,,,,,,,skipped_depth0_undefined_at_this_config
SEAL,BGV,4096,1,size,ciphertext,size_bytes,131185,,,,,,,deterministic_single_measurement
SEAL,BGV,4096,1,size,public_key,size_bytes,196721,,,,,,,deterministic_single_measurement
SEAL,BGV,4096,1,size,secret_key,size_bytes,98392,,,,,,,deterministic_single_measurement
SEAL,BGV,4096,1,size,relin_keys,size_bytes,393506,,,,,,,deterministic_single_measurement
SEAL,BGV,4096,3,size,ciphertext,size_bytes,65649,,,,,,,deterministic_single_measurement
SEAL,BGV,4096,3,size,public_key,size_bytes,131185,,,,,,,deterministic_single_measurement
SEAL,BGV,4096,3,size,secret_key,size_bytes,65624,,,,,,,deterministic_single_measurement
SEAL,BGV,4096,3,size,relin_keys,size_bytes,,,,,,,,skipped_depth0_undefined_at_this_config
SEAL,BGV,4096,5,size,ciphertext,size_bytes,65649,,,,,,,deterministic_single_measurement
SEAL,BGV,4096,5,size,public_key,size_bytes,131185,,,,,,,deterministic_single_measurement
