library,scheme,N,category,scenario,operation,metric,mean,std,ci_low,ci_high,median,iqr_low,iqr_high,flag
SEAL,BFV,16384,1,standard,add,latency_ms,0.39639646,0.407692518194145,0.3155014194364224,0.4772915005635776,0.30153050000000003,0.29899899999999996,0.33140025,HIGH_VARIANCE
SEAL,BFV,16384,1,standard,add,energy_pkg_j_per_op,0.3677118839714286,,,,,,,n=1_invocation_not_repeated
SEAL,BFV,16384,1,standard,add,peak_memory_mb,4017.38671875,,,,,,,n=1_invocation_not_repeated
SEAL,BFV,16384,1,standard,decrypt,latency_ms,3.9049177999999998,0.0360399646178595,3.897766689127067,3.9120689108729327,3.8949249999999997,3.88772,3.906115,
SEAL,BFV,16384,1,standard,decrypt,energy_pkg_j_per_op,0.24256377497142856,,,,,,,n=1_invocation_not_repeated
SEAL,BFV,16384,1,standard,decrypt,peak_memory_mb,2095.10546875,,,,,,,n=1_invocation_not_repeated
SEAL,BFV,16384,1,standard,encrypt,latency_ms,9.0963023,0.21168105731970907,9.054300185773648,9.13830441422635,9.041045,8.9997875,9.0942575,
SEAL,BFV,16384,1,standard,encrypt,energy_pkg_j_per_op,0.17157051585714286,,,,,,,n=1_invocation_not_repeated
SEAL,BFV,16384,1,standard,encrypt,peak_memory_mb,218.921875,,,,,,,n=1_invocation_not_repeated
SEAL,BFV,16384,1,standard,keygen,latency_ms,275.3494,7.551779554809877,273.85096309927025,276.84783690072976,273.20050000000003,271.69874999999996,274.87175,
SEAL,BFV,16384,1,standard,keygen,energy_pkg_j_per_op,0.005896069161904762,,,,,,,n=1_invocation_not_repeated
SEAL,BFV,16384,1,standard,keygen,peak_memory_mb,92.328125,,,,,,,n=1_invocation_not_repeated
SEAL,BFV,16384,1,standard,multiply,latency_ms,49.65499,4.239527745033531,48.813775718158354,50.49620428184164,47.092600000000004,45.95425,53.9377,HIGH_VARIANCE
SEAL,BFV,16384,1,standard,multiply,energy_pkg_j_per_op,0.2769361252,,,,,,,n=1_invocation_not_repeated
SEAL,BFV,16384,1,standard,multiply,peak_memory_mb,4045.9375,,,,,,,n=1_invocation_not_repeated
SEAL,BFV,16384,1,standard,relinearize,latency_ms,17.514332,0.5259507345058781,17.40997196368941,17.618692036310588,17.33695,17.27655,17.484925,
SEAL,BFV,16384,1,standard,relinearize,energy_pkg_j_per_op,0.44192054105714285,,,,,,,n=1_invocation_not_repeated
SEAL,BFV,16384,1,standard,relinearize,peak_memory_mb,3117.73046875,,,,,,,n=1_invocation_not_repeated
SEAL,BFV,2048,1,standard,add,latency_ms,0.0055463644,0.0003845848378993387,0.005470054424531702,0.005622674375468298,0.00548036,0.005411925000000001,0.0055630925,HIGH_VARIANCE
SEAL,BFV,2048,1,standard,add,energy_pkg_j_per_op,0.016735063476190477,,,,,,,n=1_invocation_not_repeated
SEAL,BFV,2048,1,standard,add,peak_memory_mb,68.3984375,,,,,,,n=1_invocation_not_repeated
SEAL,BFV,2048,1,standard,decrypt,latency_ms,0.081082662,0.0014269849208025924,0.08079951723304853,0.08136580676695147,0.08069875,0.08047765,0.081060925,
SEAL,BFV,2048,1,standard,decrypt,energy_pkg_j_per_op,0.01041705336190476,,,,,,,n=1_invocation_not_repeated
SEAL,BFV,2048,1,standard,decrypt,peak_memory_mb,37.08203125,,,,,,,n=1_invocation_not_repeated
SEAL,BFV,2048,1,standard,encrypt,latency_ms,0.37955341,0.006979321350028934,0.37816856122667036,0.3809382587733296,0.3771875,0.37546925,0.3818005,
SEAL,BFV,2048,1,standard,encrypt,energy_pkg_j_per_op,0.009398511095238095,,,,,,,n=1_invocation_not_repeated
SEAL,BFV,2048,1,standard,encrypt,peak_memory_mb,21.234375,,,,,,,n=1_invocation_not_repeated
SEAL,BFV,2048,1,standard,keygen,latency_ms,21.880278,0.6697834971440133,21.747378423107403,22.0131775768926,22.02805,21.614199999999997,22.335625,
SEAL,BFV,2048,1,standard,keygen,energy_pkg_j_per_op,0.0006993008857142857,,,,,,,n=1_invocation_not_repeated
SEAL,BFV,2048,1,standard,keygen,peak_memory_mb,5.20703125,,,,,,,n=1_invocation_not_repeated
SEAL,BFV,2048,1,standard,multiply,latency_ms,,,,,,,,skipped_depth0_undefined_at_this_config
SEAL,BFV,2048,1,standard,relinearize,latency_ms,,,,,,,,skipped_depth0_undefined_at_this_config
SEAL,BFV,2048,3,standard,add,latency_ms,0.0113557855,0.0009803850759709759,0.011161255831317605,0.011550315168682395,0.01105825,0.010655000000000001,0.011754025000000001,HIGH_VARIANCE
SEAL,BFV,2048,3,standard,add,energy_pkg_j_per_op,0.019747341142857144,,,,,,,n=1_invocation_not_repeated
SEAL,BFV,2048,3,standard,add,peak_memory_mb,130.52734375,,,,,,,n=1_invocation_not_repeated
SEAL,BFV,2048,3,standard,decrypt,latency_ms,0.13244307,0.0010299459950047192,0.1322387063697493,0.1326474336302507,0.132596,0.1320135,0.13292225000000002,
SEAL,BFV,2048,3,standard,decrypt,energy_pkg_j_per_op,0.011126240257142858,,,,,,,n=1_invocation_not_repeated
SEAL,BFV,2048,3,standard,decrypt,peak_memory_mb,67.98828125,,,,,,,n=1_invocation_not_repeated
SEAL,BFV,2048,3,standard,encrypt,latency_ms,0.36234539,0.009610071739917637,0.3604385432747694,0.3642522367252306,0.359514,0.3587455,0.36186775000000004,
SEAL,BFV,2048,3,standard,encrypt,energy_pkg_j_per_op,0.008139295961904762,,,,,,,n=1_invocation_not_repeated
SEAL,BFV,2048,3,standard,encrypt,peak_memory_mb,20.8984375,,,,,,,n=1_invocation_not_repeated
SEAL,BFV,2048,3,standard,keygen,latency_ms,14.572677,0.5470775351498693,14.464124948092351,14.68122905190765,14.653500000000001,14.4795,14.864049999999999,
SEAL,BFV,2048,3,standard,keygen,energy_pkg_j_per_op,0.0005199457047619047,,,,,,,n=1_invocation_not_repeated
SEAL,BFV,2048,3,standard,keygen,peak_memory_mb,4.953125,,,,,,,n=1_invocation_not_repeated
SEAL,BFV,2048,3,standard,multiply,latency_ms,,,,,,,,skipped_depth0_undefined_at_this_config
SEAL,BFV,2048,3,standard,relinearize,latency_ms,,,,,,,,skipped_depth0_undefined_at_this_config
SEAL,BFV,2048,5,standard,add,latency_ms,0.0054492652,0.0004625721319770331,0.00535748085343997,0.00554104954656003,0.005287119999999999,0.005233802500000001,0.0054145124999999995,HIGH_VARIANCE
SEAL,BFV,2048,5,standard,add,energy_pkg_j_per_op,0.012793292285714285,,,,,,,n=1_invocation_not_repeated
SEAL,BFV,2048,5,standard,add,peak_memory_mb,67.8125,,,,,,,n=1_invocation_not_repeated
SEAL,BFV,2048,5,standard,decrypt,latency_ms,0.080730842,0.0015390548731155128,0.08042546012313424,0.08103622387686575,0.0804207,0.08015875,0.0808702,
SEAL,BFV,2048,5,standard,decrypt,energy_pkg_j_per_op,0.008120808933333333,,,,,,,n=1_invocation_not_repeated
SEAL,BFV,2048,5,standard,decrypt,peak_memory_mb,36.30859375,,,,,,,n=1_invocation_not_repeated
SEAL,BFV,2048,5,standard,encrypt,latency_ms,0.26851336,0.0014617979417916357,0.26822330757441026,0.2688034124255897,0.268404,0.26771025,0.2689845,
SEAL,BFV,2048,5,standard,encrypt,energy_pkg_j_per_op,0.006253609152380953,,,,,,,n=1_invocation_not_repeated
SEAL,BFV,2048,5,standard,encrypt,peak_memory_mb,20.625,,,,,,,n=1_invocation_not_repeated
SEAL,BFV,2048,5,standard,keygen,latency_ms,10.4106135,0.529646892091106,10.305520065835777,10.515706934164223,10.533750000000001,10.379125,10.6683,HIGH_VARIANCE
SEAL,BFV,2048,5,standard,keygen,energy_pkg_j_per_op,0.00041153034285714286,,,,,,,n=1_invocation_not_repeated
SEAL,BFV,2048,5,standard,keygen,peak_memory_mb,4.7109375,,,,,,,n=1_invocation_not_repeated
SEAL,BFV,2048,5,standard,multiply,latency_ms,,,,,,,,skipped_depth0_undefined_at_this_config
SEAL,BFV,2048,5,standard,relinearize,latency_ms,,,,,,,,skipped_depth0_undefined_at_this_config
SEAL,BFV,4096,1,standard,add,latency_ms,0.020312488,0.0019057057477549525,0.019934354635056894,0.020690621364943106,0.0199336,0.018949775000000002,0.02088875,HIGH_VARIANCE
SEAL,BFV,4096,1,standard,add,energy_pkg_j_per_op,0.046822368752380945,,,,,,,n=1_invocation_not_repeated
SEAL,BFV,4096,1,standard,add,peak_memory_mb,259.1171875,,,,,,,n=1_invocation_not_repeated
SEAL,BFV,4096,1,standard,decrypt,latency_ms,0.27563893,0.001964780283061459,0.2752490749656207,0.27602878503437933,0.275305,0.27453500000000003,0.27593675,
SEAL,BFV,4096,1,standard,decrypt,energy_pkg_j_per_op,0.027052847704761903,,,,,,,n=1_invocation_not_repeated
SEAL,BFV,4096,1,standard,decrypt,peak_memory_mb,134.0234375,,,,,,,n=1_invocation_not_repeated
