library,scheme,N,category,operation,vec_len,slot_count,iteration,latency_ms,noise_budget_bits,correctness,status
SEAL,BFV,8192,1,dot_product,512,8192,0,29.9701,75,correct,warmup
SEAL,BFV,8192,1,dot_product,512,8192,1,28.8768,72,correct,warmup
SEAL,BFV,8192,1,dot_product,512,8192,2,27.965,72,correct,warmup
SEAL,BFV,8192,1,dot_product,512,8192,3,27.8404,73,correct,warmup
SEAL,BFV,8192,1,dot_product,512,8192,4,27.674,75,correct,warmup
SEAL,BFV,8192,1,dot_product,512,8192,5,27.6901,73,correct,measured
SEAL,BFV,8192,1,dot_product,512,8192,6,27.6576,74,correct,measured
SEAL,BFV,8192,1,dot_product,512,8192,7,27.6864,73,correct,measured
SEAL,BFV,8192,1,dot_product,512,8192,8,28.0793,75,correct,measured
SEAL,BFV,8192,1,dot_product,512,8192,9,28.0934,73,correct,measured
SEAL,BFV,8192,1,dot_product,512,8192,10,28.2715,73,correct,measured
SEAL,BFV,8192,1,dot_product,512,8192,11,28.2457,75,correct,measured
SEAL,BFV,8192,1,dot_product,512,8192,12,28.1467,75,correct,measured
SEAL,BFV,8192,1,dot_product,512,8192,13,27.9646,73,correct,measured
SEAL,BFV,8192,1,dot_product,512,8192,14,27.7739,75,correct,measured
SEAL,BFV,8192,1,dot_product,512,8192,15,27.6401,73,correct,measured
SEAL,BFV,8192,1,dot_product,512,8192,16,28.0358,73,correct,measured
SEAL,BFV,8192,1,dot_product,512,8192,17,27.8098,75,correct,measured
SEAL,BFV,8192,1,dot_product,512,8192,18,27.6814,73,correct,measured
SEAL,BFV,8192,1,dot_product,512,8192,19,27.8348,73,correct,measured
SEAL,BFV,8192,1,dot_product,512,8192,20,27.6407,74,correct,measured
SEAL,BFV,8192,1,dot_product,512,8192,21,27.6432,74,correct,measured
SEAL,BFV,8192,1,dot_product,512,8192,22,27.813,75,correct,measured
SEAL,BFV,8192,1,dot_product,512,8192,23,27.5413,75,correct,measured
SEAL,BFV,8192,1,dot_product,512,8192,24,28.0226,73,correct,measured
SEAL,BFV,8192,1,dot_product,512,8192,25,27.7477,73,correct,measured
SEAL,BFV,8192,1,dot_product,512,8192,26,27.5,75,correct,measured
SEAL,BFV,8192,1,dot_product,512,8192,27,27.8993,73,correct,measured
SEAL,BFV,8192,1,dot_product,512,8192,28,27.8711,73,correct,measured
SEAL,BFV,8192,1,dot_product,512,8192,29,27.5781,73,correct,measured
SEAL,BFV,8192,1,dot_product,512,8192,30,27.5446,73,correct,measured
SEAL,BFV,8192,1,dot_product,512,8192,31,27.5518,74,correct,measured
SEAL,BFV,8192,1,dot_product,512,8192,32,27.4364,74,correct,measured
SEAL,BFV,8192,1,dot_product,512,8192,33,27.3603,74,correct,measured
SEAL,BFV,8192,1,dot_product,512,8192,34,27.4627,73,correct,measured
SEAL,BFV,8192,1,dot_product,512,8192,35,27.8371,72,correct,measured
SEAL,BFV,8192,1,dot_product,512,8192,36,27.6388,74,correct,measured
SEAL,BFV,8192,1,dot_product,512,8192,37,27.6113,73,correct,measured
SEAL,BFV,8192,1,dot_product,512,8192,38,27.4715,73,correct,measured
SEAL,BFV,8192,1,dot_product,512,8192,39,27.4598,73,correct,measured
SEAL,BFV,8192,1,dot_product,512,8192,40,27.4215,73,correct,measured
SEAL,BFV,8192,1,dot_product,512,8192,41,27.6777,74,correct,measured
SEAL,BFV,8192,1,dot_product,512,8192,42,27.9246,74,correct,measured
SEAL,BFV,8192,1,dot_product,512,8192,43,27.6319,76,correct,measured
SEAL,BFV,8192,1,dot_product,512,8192,44,27.4559,72,correct,measured
SEAL,BFV,8192,1,dot_product,512,8192,45,27.8286,73,correct,measured
SEAL,BFV,8192,1,dot_product,512,8192,46,27.5667,72,correct,measured
SEAL,BFV,8192,1,dot_product,512,8192,47,27.4044,74,correct,measured
SEAL,BFV,8192,1,dot_product,512,8192,48,27.3934,73,correct,measured
SEAL,BFV,8192,1,dot_product,512,8192,49,28.207,75,correct,measured
SEAL,BFV,8192,1,dot_product,512,8192,50,27.7002,74,correct,measured
SEAL,BFV,8192,1,dot_product,512,8192,51,27.7256,73,correct,measured
SEAL,BFV,8192,1,dot_product,512,8192,52,28.3191,75,correct,measured
SEAL,BFV,8192,1,dot_product,512,8192,53,27.6943,74,correct,measured
SEAL,BFV,8192,1,dot_product,512,8192,54,27.7591,74,correct,measured
SEAL,BFV,8192,1,dot_product,512,8192,55,28.5219,74,correct,measured
SEAL,BFV,8192,1,dot_product,512,8192,56,27.7968,75,correct,measured
SEAL,BFV,8192,1,dot_product,512,8192,57,27.639,72,correct,measured
SEAL,BFV,8192,1,dot_product,512,8192,58,27.47,75,correct,measured
SEAL,BFV,8192,1,dot_product,512,8192,59,27.9693,72,correct,measured
SEAL,BFV,8192,1,dot_product,512,8192,60,27.6724,72,correct,measured
SEAL,BFV,8192,1,dot_product,512,8192,61,27.4949,73,correct,measured
SEAL,BFV,8192,1,dot_product,512,8192,62,27.4682,73,correct,measured
SEAL,BFV,8192,1,dot_product,512,8192,63,27.6899,74,correct,measured
SEAL,BFV,8192,1,dot_product,512,8192,64,28.1643,73,correct,measured
SEAL,BFV,8192,1,dot_product,512,8192,65,28.3782,73,correct,measured
SEAL,BFV,8192,1,dot_product,512,8192,66,28.2734,74,correct,measured
SEAL,BFV,8192,1,dot_product,512,8192,67,27.6678,74,correct,measured
SEAL,BFV,8192,1,dot_product,512,8192,68,27.6021,73,correct,measured
SEAL,BFV,8192,1,dot_product,512,8192,69,27.5369,73,correct,measured
SEAL,BFV,8192,1,dot_product,512,8192,70,27.6786,75,correct,measured
SEAL,BFV,8192,1,dot_product,512,8192,71,28.1669,73,correct,measured
SEAL,BFV,8192,1,dot_product,512,8192,72,27.766,73,correct,measured
SEAL,BFV,8192,1,dot_product,512,8192,73,27.5682,74,correct,measured
SEAL,BFV,8192,1,dot_product,512,8192,74,28.2971,72,correct,measured
SEAL,BFV,8192,1,dot_product,512,8192,75,27.5733,73,correct,measured
SEAL,BFV,8192,1,dot_product,512,8192,76,27.5753,75,correct,measured
SEAL,BFV,8192,1,dot_product,512,8192,77,28.1969,74,correct,measured
SEAL,BFV,8192,1,dot_product,512,8192,78,27.9076,73,correct,measured
SEAL,BFV,8192,1,dot_product,512,8192,79,27.6178,73,correct,measured
SEAL,BFV,8192,1,dot_product,512,8192,80,27.8786,74,correct,measured
SEAL,BFV,8192,1,dot_product,512,8192,81,28.0921,74,correct,measured
SEAL,BFV,8192,1,dot_product,512,8192,82,27.6784,74,correct,measured
SEAL,BFV,8192,1,dot_product,512,8192,83,27.5283,72,correct,measured
SEAL,BFV,8192,1,dot_product,512,8192,84,27.4564,74,correct,measured
SEAL,BFV,8192,1,dot_product,512,8192,85,27.8974,73,correct,measured
SEAL,BFV,8192,1,dot_product,512,8192,86,27.6892,74,correct,measured
SEAL,BFV,8192,1,dot_product,512,8192,87,27.4718,73,correct,measured
SEAL,BFV,8192,1,dot_product,512,8192,88,27.647,72,correct,measured
SEAL,BFV,8192,1,dot_product,512,8192,89,27.6112,76,correct,measured
