library,scheme,N,category,operation,vec_len,slot_count,iteration,latency_ms,noise_budget_bits,status
SEAL,BFV,8192,1,dot_product,64,8192,0,25.5521,77,warmup
SEAL,BFV,8192,1,dot_product,64,8192,1,22.0252,77,warmup
SEAL,BFV,8192,1,dot_product,64,8192,2,21.9615,76,warmup
SEAL,BFV,8192,1,dot_product,64,8192,3,22.1731,76,warmup
SEAL,BFV,8192,1,dot_product,64,8192,4,21.935,76,warmup
SEAL,BFV,8192,1,dot_product,64,8192,5,23.046,76,measured
SEAL,BFV,8192,1,dot_product,64,8192,6,21.7942,76,measured
SEAL,BFV,8192,1,dot_product,64,8192,7,21.5976,75,measured
SEAL,BFV,8192,1,dot_product,64,8192,8,23.2555,76,measured
SEAL,BFV,8192,1,dot_product,64,8192,9,21.8674,76,measured
SEAL,BFV,8192,1,dot_product,64,8192,10,21.5399,77,measured
SEAL,BFV,8192,1,dot_product,64,8192,11,22.5247,76,measured
SEAL,BFV,8192,1,dot_product,64,8192,12,21.6095,77,measured
SEAL,BFV,8192,1,dot_product,64,8192,13,22.7316,77,measured
SEAL,BFV,8192,1,dot_product,64,8192,14,21.7262,76,measured
SEAL,BFV,8192,1,dot_product,64,8192,15,21.5936,75,measured
SEAL,BFV,8192,1,dot_product,64,8192,16,22.952,77,measured
SEAL,BFV,8192,1,dot_product,64,8192,17,21.7112,77,measured
SEAL,BFV,8192,1,dot_product,64,8192,18,21.5127,77,measured
SEAL,BFV,8192,1,dot_product,64,8192,19,23.2185,75,measured
SEAL,BFV,8192,1,dot_product,64,8192,20,21.5635,77,measured
SEAL,BFV,8192,1,dot_product,64,8192,21,21.4488,76,measured
SEAL,BFV,8192,1,dot_product,64,8192,22,22.0099,76,measured
SEAL,BFV,8192,1,dot_product,64,8192,23,21.6898,76,measured
SEAL,BFV,8192,1,dot_product,64,8192,24,22.8651,77,measured
SEAL,BFV,8192,1,dot_product,64,8192,25,21.7857,76,measured
SEAL,BFV,8192,1,dot_product,64,8192,26,21.5578,77,measured
SEAL,BFV,8192,1,dot_product,64,8192,27,23.1147,77,measured
SEAL,BFV,8192,1,dot_product,64,8192,28,21.7845,75,measured
SEAL,BFV,8192,1,dot_product,64,8192,29,21.5212,77,measured
SEAL,BFV,8192,1,dot_product,64,8192,30,23.1315,75,measured
SEAL,BFV,8192,1,dot_product,64,8192,31,21.5911,76,measured
SEAL,BFV,8192,1,dot_product,64,8192,32,21.8737,77,measured
SEAL,BFV,8192,1,dot_product,64,8192,33,21.9128,75,measured
SEAL,BFV,8192,1,dot_product,64,8192,34,21.5373,77,measured
SEAL,BFV,8192,1,dot_product,64,8192,35,22.849,76,measured
SEAL,BFV,8192,1,dot_product,64,8192,36,21.7096,76,measured
SEAL,BFV,8192,1,dot_product,64,8192,37,21.4812,78,measured
SEAL,BFV,8192,1,dot_product,64,8192,38,23.2397,75,measured
SEAL,BFV,8192,1,dot_product,64,8192,39,21.5898,75,measured
SEAL,BFV,8192,1,dot_product,64,8192,40,21.4177,77,measured
SEAL,BFV,8192,1,dot_product,64,8192,41,22.3991,77,measured
SEAL,BFV,8192,1,dot_product,64,8192,42,21.5968,77,measured
SEAL,BFV,8192,1,dot_product,64,8192,43,22.7227,77,measured
SEAL,BFV,8192,1,dot_product,64,8192,44,21.7923,77,measured
SEAL,BFV,8192,1,dot_product,64,8192,45,21.5402,76,measured
SEAL,BFV,8192,1,dot_product,64,8192,46,23.1416,76,measured
SEAL,BFV,8192,1,dot_product,64,8192,47,21.7784,77,measured
SEAL,BFV,8192,1,dot_product,64,8192,48,21.866,77,measured
SEAL,BFV,8192,1,dot_product,64,8192,49,23.1466,75,measured
SEAL,BFV,8192,1,dot_product,64,8192,50,21.6704,77,measured
SEAL,BFV,8192,1,dot_product,64,8192,51,21.7411,76,measured
SEAL,BFV,8192,1,dot_product,64,8192,52,22.3253,76,measured
SEAL,BFV,8192,1,dot_product,64,8192,53,21.9912,77,measured
SEAL,BFV,8192,1,dot_product,64,8192,54,23.0167,76,measured
SEAL,BFV,8192,1,dot_product,64,8192,55,21.7968,76,measured
SEAL,BFV,8192,1,dot_product,64,8192,56,21.6014,76,measured
SEAL,BFV,8192,1,dot_product,64,8192,57,23.2818,75,measured
SEAL,BFV,8192,1,dot_product,64,8192,58,21.9437,76,measured
SEAL,BFV,8192,1,dot_product,64,8192,59,21.547,77,measured
SEAL,BFV,8192,1,dot_product,64,8192,60,22.1641,77,measured
SEAL,BFV,8192,1,dot_product,64,8192,61,21.7156,76,measured
SEAL,BFV,8192,1,dot_product,64,8192,62,22.7938,76,measured
SEAL,BFV,8192,1,dot_product,64,8192,63,21.8389,76,measured
SEAL,BFV,8192,1,dot_product,64,8192,64,21.6785,75,measured
SEAL,BFV,8192,1,dot_product,64,8192,65,23.0802,76,measured
SEAL,BFV,8192,1,dot_product,64,8192,66,21.5997,76,measured
SEAL,BFV,8192,1,dot_product,64,8192,67,21.5614,76,measured
SEAL,BFV,8192,1,dot_product,64,8192,68,23.0834,77,measured
SEAL,BFV,8192,1,dot_product,64,8192,69,21.7383,77,measured
SEAL,BFV,8192,1,dot_product,64,8192,70,21.5794,78,measured
SEAL,BFV,8192,1,dot_product,64,8192,71,21.8136,76,measured
SEAL,BFV,8192,1,dot_product,64,8192,72,21.8101,77,measured
SEAL,BFV,8192,1,dot_product,64,8192,73,22.8971,77,measured
SEAL,BFV,8192,1,dot_product,64,8192,74,21.7465,77,measured
SEAL,BFV,8192,1,dot_product,64,8192,75,21.5211,77,measured
SEAL,BFV,8192,1,dot_product,64,8192,76,23.0425,77,measured
SEAL,BFV,8192,1,dot_product,64,8192,77,21.6304,77,measured
SEAL,BFV,8192,1,dot_product,64,8192,78,21.4917,75,measured
SEAL,BFV,8192,1,dot_product,64,8192,79,23.215,77,measured
SEAL,BFV,8192,1,dot_product,64,8192,80,21.7235,76,measured
SEAL,BFV,8192,1,dot_product,64,8192,81,22.7979,76,measured
SEAL,BFV,8192,1,dot_product,64,8192,82,21.8971,76,measured
SEAL,BFV,8192,1,dot_product,64,8192,83,21.6172,78,measured
SEAL,BFV,8192,1,dot_product,64,8192,84,22.9061,77,measured
SEAL,BFV,8192,1,dot_product,64,8192,85,21.5807,76,measured
SEAL,BFV,8192,1,dot_product,64,8192,86,21.4729,76,measured
SEAL,BFV,8192,1,dot_product,64,8192,87,23.1388,77,measured
SEAL,BFV,8192,1,dot_product,64,8192,88,21.6709,77,measured
SEAL,BFV,8192,1,dot_product,64,8192,89,21.5291,76,measured
SEAL,BFV,8192,1,dot_product,64,8192,90,22.0534,76,measured
SEAL,BFV,8192,1,dot_product,64,8192,91,21.6003,76,measured
