library,scheme,N,category,operation,galois_keygen_ms,galois_keys_size_bytes,iteration,latency_ms,status
SEAL,BFV,8192,1,rotate,5.16939,1638795,0,2.2643,warmup
SEAL,BFV,8192,1,rotate,5.16939,1638795,1,1.85338,warmup
SEAL,BFV,8192,1,rotate,5.16939,1638795,2,1.85756,warmup
SEAL,BFV,8192,1,rotate,5.16939,1638795,3,1.87796,warmup
SEAL,BFV,8192,1,rotate,5.16939,1638795,4,1.90434,warmup
SEAL,BFV,8192,1,rotate,5.16939,1638795,5,1.89558,measured
SEAL,BFV,8192,1,rotate,5.16939,1638795,6,1.91528,measured
SEAL,BFV,8192,1,rotate,5.16939,1638795,7,1.94401,measured
SEAL,BFV,8192,1,rotate,5.16939,1638795,8,1.90727,measured
SEAL,BFV,8192,1,rotate,5.16939,1638795,9,1.93854,measured
SEAL,BFV,8192,1,rotate,5.16939,1638795,10,1.90212,measured
SEAL,BFV,8192,1,rotate,5.16939,1638795,11,1.93533,measured
SEAL,BFV,8192,1,rotate,5.16939,1638795,12,1.8941,measured
SEAL,BFV,8192,1,rotate,5.16939,1638795,13,1.91463,measured
SEAL,BFV,8192,1,rotate,5.16939,1638795,14,1.90532,measured
SEAL,BFV,8192,1,rotate,5.16939,1638795,15,1.89566,measured
SEAL,BFV,8192,1,rotate,5.16939,1638795,16,1.91986,measured
SEAL,BFV,8192,1,rotate,5.16939,1638795,17,1.89233,measured
SEAL,BFV,8192,1,rotate,5.16939,1638795,18,1.97456,measured
SEAL,BFV,8192,1,rotate,5.16939,1638795,19,1.97266,measured
SEAL,BFV,8192,1,rotate,5.16939,1638795,20,1.93988,measured
SEAL,BFV,8192,1,rotate,5.16939,1638795,21,1.9399,measured
SEAL,BFV,8192,1,rotate,5.16939,1638795,22,1.93852,measured
SEAL,BFV,8192,1,rotate,5.16939,1638795,23,1.91996,measured
SEAL,BFV,8192,1,rotate,5.16939,1638795,24,1.94222,measured
SEAL,BFV,8192,1,rotate,5.16939,1638795,25,1.91432,measured
SEAL,BFV,8192,1,rotate,5.16939,1638795,26,1.9353,measured
SEAL,BFV,8192,1,rotate,5.16939,1638795,27,1.88392,measured
SEAL,BFV,8192,1,rotate,5.16939,1638795,28,1.92486,measured
SEAL,BFV,8192,1,rotate,5.16939,1638795,29,1.94666,measured
SEAL,BFV,8192,1,rotate,5.16939,1638795,30,1.9062,measured
SEAL,BFV,8192,1,rotate,5.16939,1638795,31,1.91007,measured
SEAL,BFV,8192,1,rotate,5.16939,1638795,32,1.90919,measured
SEAL,BFV,8192,1,rotate,5.16939,1638795,33,1.93679,measured
SEAL,BFV,8192,1,rotate,5.16939,1638795,34,1.88131,measured
SEAL,BFV,8192,1,rotate,5.16939,1638795,35,1.87521,measured
SEAL,BFV,8192,1,rotate,5.16939,1638795,36,1.89163,measured
SEAL,BFV,8192,1,rotate,5.16939,1638795,37,1.88198,measured
SEAL,BFV,8192,1,rotate,5.16939,1638795,38,1.88405,measured
SEAL,BFV,8192,1,rotate,5.16939,1638795,39,1.84896,measured
SEAL,BFV,8192,1,rotate,5.16939,1638795,40,1.89494,measured
SEAL,BFV,8192,1,rotate,5.16939,1638795,41,1.91471,measured
SEAL,BFV,8192,1,rotate,5.16939,1638795,42,1.89209,measured
SEAL,BFV,8192,1,rotate,5.16939,1638795,43,1.88019,measured
SEAL,BFV,8192,1,rotate,5.16939,1638795,44,1.89607,measured
SEAL,BFV,8192,1,rotate,5.16939,1638795,45,1.95471,measured
SEAL,BFV,8192,1,rotate,5.16939,1638795,46,1.90932,measured
SEAL,BFV,8192,1,rotate,5.16939,1638795,47,1.90471,measured
SEAL,BFV,8192,1,rotate,5.16939,1638795,48,1.89372,measured
SEAL,BFV,8192,1,rotate,5.16939,1638795,49,1.94478,measured
