library,scheme,N,category,operation,vec_len,slot_count,iteration,latency_ms,noise_budget_bits,status
SEAL,BGV,8192,1,dot_product,512,8192,0,24.2599,68,warmup
SEAL,BGV,8192,1,dot_product,512,8192,1,25.2274,68,warmup
SEAL,BGV,8192,1,dot_product,512,8192,2,23.3337,68,warmup
SEAL,BGV,8192,1,dot_product,512,8192,3,24.6695,68,warmup
SEAL,BGV,8192,1,dot_product,512,8192,4,23.408,68,warmup
SEAL,BGV,8192,1,dot_product,512,8192,5,23.1225,68,measured
SEAL,BGV,8192,1,dot_product,512,8192,6,23.5075,68,measured
SEAL,BGV,8192,1,dot_product,512,8192,7,23.1259,68,measured
SEAL,BGV,8192,1,dot_product,512,8192,8,24.7029,68,measured
SEAL,BGV,8192,1,dot_product,512,8192,9,23.2225,68,measured
SEAL,BGV,8192,1,dot_product,512,8192,10,24.2782,68,measured
SEAL,BGV,8192,1,dot_product,512,8192,11,23.4896,68,measured
SEAL,BGV,8192,1,dot_product,512,8192,12,23.1832,68,measured
SEAL,BGV,8192,1,dot_product,512,8192,13,24.8859,68,measured
SEAL,BGV,8192,1,dot_product,512,8192,14,23.406,68,measured
SEAL,BGV,8192,1,dot_product,512,8192,15,25.0173,68,measured
SEAL,BGV,8192,1,dot_product,512,8192,16,23.339,68,measured
SEAL,BGV,8192,1,dot_product,512,8192,17,23.2016,68,measured
SEAL,BGV,8192,1,dot_product,512,8192,18,23.6588,68,measured
SEAL,BGV,8192,1,dot_product,512,8192,19,23.2963,68,measured
SEAL,BGV,8192,1,dot_product,512,8192,20,24.7061,68,measured
SEAL,BGV,8192,1,dot_product,512,8192,21,23.2259,68,measured
SEAL,BGV,8192,1,dot_product,512,8192,22,24.2801,68,measured
SEAL,BGV,8192,1,dot_product,512,8192,23,24.6604,68,measured
SEAL,BGV,8192,1,dot_product,512,8192,24,23.2021,68,measured
SEAL,BGV,8192,1,dot_product,512,8192,25,24.7998,67,measured
SEAL,BGV,8192,1,dot_product,512,8192,26,23.5721,68,measured
SEAL,BGV,8192,1,dot_product,512,8192,27,25.1644,68,measured
SEAL,BGV,8192,1,dot_product,512,8192,28,23.7758,68,measured
SEAL,BGV,8192,1,dot_product,512,8192,29,23.2555,68,measured
SEAL,BGV,8192,1,dot_product,512,8192,30,24.0237,68,measured
SEAL,BGV,8192,1,dot_product,512,8192,31,30.1571,68,measured
SEAL,BGV,8192,1,dot_product,512,8192,32,25.6573,68,measured
SEAL,BGV,8192,1,dot_product,512,8192,33,23.3386,68,measured
SEAL,BGV,8192,1,dot_product,512,8192,34,24.6689,68,measured
