library,scheme,N,category,operation,vec_len,slot_count,iteration,latency_ms,noise_budget_bits,correctness,status
SEAL,BGV,8192,1,dot_product,8,8192,0,10.046,72,correct,warmup
SEAL,BGV,8192,1,dot_product,8,8192,1,9.52489,72,correct,warmup
SEAL,BGV,8192,1,dot_product,8,8192,2,9.588,72,correct,warmup
SEAL,BGV,8192,1,dot_product,8,8192,3,9.54976,72,correct,warmup
SEAL,BGV,8192,1,dot_product,8,8192,4,9.54853,72,correct,warmup
SEAL,BGV,8192,1,dot_product,8,8192,5,10.0757,72,correct,measured
SEAL,BGV,8192,1,dot_product,8,8192,6,9.66744,72,correct,measured
SEAL,BGV,8192,1,dot_product,8,8192,7,9.72178,72,correct,measured
SEAL,BGV,8192,1,dot_product,8,8192,8,9.61496,72,correct,measured
SEAL,BGV,8192,1,dot_product,8,8192,9,9.59492,72,correct,measured
SEAL,BGV,8192,1,dot_product,8,8192,10,9.51006,72,correct,measured
SEAL,BGV,8192,1,dot_product,8,8192,11,9.48269,72,correct,measured
SEAL,BGV,8192,1,dot_product,8,8192,12,9.59803,72,correct,measured
SEAL,BGV,8192,1,dot_product,8,8192,13,9.52554,72,correct,measured
SEAL,BGV,8192,1,dot_product,8,8192,14,9.62624,72,correct,measured
SEAL,BGV,8192,1,dot_product,8,8192,15,9.53986,72,correct,measured
SEAL,BGV,8192,1,dot_product,8,8192,16,10.2773,72,correct,measured
SEAL,BGV,8192,1,dot_product,8,8192,17,9.65417,72,correct,measured
SEAL,BGV,8192,1,dot_product,8,8192,18,9.60398,72,correct,measured
SEAL,BGV,8192,1,dot_product,8,8192,19,9.4709,72,correct,measured
SEAL,BGV,8192,1,dot_product,8,8192,20,9.42403,72,correct,measured
SEAL,BGV,8192,1,dot_product,8,8192,21,9.52559,72,correct,measured
SEAL,BGV,8192,1,dot_product,8,8192,22,9.60293,72,correct,measured
SEAL,BGV,8192,1,dot_product,8,8192,23,9.57097,72,correct,measured
SEAL,BGV,8192,1,dot_product,8,8192,24,9.50631,72,correct,measured
