library,scheme,N,category,operation,galois_keygen_ms,galois_keys_size_bytes,iteration,latency_ms,status
SEAL,BGV,8192,1,rotate,5.36582,1638795,0,2.52464,warmup
SEAL,BGV,8192,1,rotate,5.36582,1638795,1,2.23441,warmup
SEAL,BGV,8192,1,rotate,5.36582,1638795,2,2.27032,warmup
SEAL,BGV,8192,1,rotate,5.36582,1638795,3,2.27737,warmup
SEAL,BGV,8192,1,rotate,5.36582,1638795,4,2.24341,warmup
SEAL,BGV,8192,1,rotate,5.36582,1638795,5,2.27462,measured
SEAL,BGV,8192,1,rotate,5.36582,1638795,6,2.2723,measured
SEAL,BGV,8192,1,rotate,5.36582,1638795,7,2.22895,measured
SEAL,BGV,8192,1,rotate,5.36582,1638795,8,2.28071,measured
SEAL,BGV,8192,1,rotate,5.36582,1638795,9,2.27452,measured
SEAL,BGV,8192,1,rotate,5.36582,1638795,10,2.27382,measured
SEAL,BGV,8192,1,rotate,5.36582,1638795,11,2.27895,measured
SEAL,BGV,8192,1,rotate,5.36582,1638795,12,2.3223,measured
SEAL,BGV,8192,1,rotate,5.36582,1638795,13,2.32833,measured
SEAL,BGV,8192,1,rotate,5.36582,1638795,14,2.30118,measured
SEAL,BGV,8192,1,rotate,5.36582,1638795,15,2.29417,measured
SEAL,BGV,8192,1,rotate,5.36582,1638795,16,2.28097,measured
SEAL,BGV,8192,1,rotate,5.36582,1638795,17,2.28117,measured
SEAL,BGV,8192,1,rotate,5.36582,1638795,18,2.27633,measured
SEAL,BGV,8192,1,rotate,5.36582,1638795,19,2.27759,measured
SEAL,BGV,8192,1,rotate,5.36582,1638795,20,2.26413,measured
SEAL,BGV,8192,1,rotate,5.36582,1638795,21,2.91152,measured
SEAL,BGV,8192,1,rotate,5.36582,1638795,22,2.34642,measured
SEAL,BGV,8192,1,rotate,5.36582,1638795,23,2.98146,measured
SEAL,BGV,8192,1,rotate,5.36582,1638795,24,2.48829,measured
SEAL,BGV,8192,1,rotate,5.36582,1638795,25,2.34252,measured
SEAL,BGV,8192,1,rotate,5.36582,1638795,26,2.29736,measured
SEAL,BGV,8192,1,rotate,5.36582,1638795,27,2.2782,measured
SEAL,BGV,8192,1,rotate,5.36582,1638795,28,2.26333,measured
SEAL,BGV,8192,1,rotate,5.36582,1638795,29,2.30535,measured
SEAL,BGV,8192,1,rotate,5.36582,1638795,30,2.26336,measured
SEAL,BGV,8192,1,rotate,5.36582,1638795,31,2.26438,measured
SEAL,BGV,8192,1,rotate,5.36582,1638795,32,2.2598,measured
SEAL,BGV,8192,1,rotate,5.36582,1638795,33,2.26643,measured
SEAL,BGV,8192,1,rotate,5.36582,1638795,34,2.25811,measured
SEAL,BGV,8192,1,rotate,5.36582,1638795,35,2.20808,measured
