library,scheme,N,category,operation,galois_keygen_ms,galois_keys_size_bytes,iteration,latency_ms,status
SEAL,CKKS,8192,1,rotate,5.18041,1638795,0,2.09982,warmup
SEAL,CKKS,8192,1,rotate,5.18041,1638795,1,1.86743,warmup
SEAL,CKKS,8192,1,rotate,5.18041,1638795,2,1.8528,warmup
SEAL,CKKS,8192,1,rotate,5.18041,1638795,3,1.87086,warmup
SEAL,CKKS,8192,1,rotate,5.18041,1638795,4,2.00063,warmup
SEAL,CKKS,8192,1,rotate,5.18041,1638795,5,1.97711,measured
SEAL,CKKS,8192,1,rotate,5.18041,1638795,6,1.91129,measured
SEAL,CKKS,8192,1,rotate,5.18041,1638795,7,1.92448,measured
SEAL,CKKS,8192,1,rotate,5.18041,1638795,8,1.93442,measured
SEAL,CKKS,8192,1,rotate,5.18041,1638795,9,1.9273,measured
SEAL,CKKS,8192,1,rotate,5.18041,1638795,10,1.90191,measured
SEAL,CKKS,8192,1,rotate,5.18041,1638795,11,1.90156,measured
SEAL,CKKS,8192,1,rotate,5.18041,1638795,12,1.93596,measured
SEAL,CKKS,8192,1,rotate,5.18041,1638795,13,1.91525,measured
SEAL,CKKS,8192,1,rotate,5.18041,1638795,14,1.88702,measured
SEAL,CKKS,8192,1,rotate,5.18041,1638795,15,1.89563,measured
SEAL,CKKS,8192,1,rotate,5.18041,1638795,16,1.88923,measured
SEAL,CKKS,8192,1,rotate,5.18041,1638795,17,1.89822,measured
SEAL,CKKS,8192,1,rotate,5.18041,1638795,18,2.0736,measured
SEAL,CKKS,8192,1,rotate,5.18041,1638795,19,1.96143,measured
SEAL,CKKS,8192,1,rotate,5.18041,1638795,20,1.92872,measured
SEAL,CKKS,8192,1,rotate,5.18041,1638795,21,1.93088,measured
SEAL,CKKS,8192,1,rotate,5.18041,1638795,22,1.88381,measured
SEAL,CKKS,8192,1,rotate,5.18041,1638795,23,1.91278,measured
SEAL,CKKS,8192,1,rotate,5.18041,1638795,24,1.87794,measured
SEAL,CKKS,8192,1,rotate,5.18041,1638795,25,1.86816,measured
SEAL,CKKS,8192,1,rotate,5.18041,1638795,26,1.86677,measured
SEAL,CKKS,8192,1,rotate,5.18041,1638795,27,1.90202,measured
SEAL,CKKS,8192,1,rotate,5.18041,1638795,28,1.84796,measured
SEAL,CKKS,8192,1,rotate,5.18041,1638795,29,1.89058,measured
SEAL,CKKS,8192,1,rotate,5.18041,1638795,30,1.90168,measured
SEAL,CKKS,8192,1,rotate,5.18041,1638795,31,1.88878,measured
SEAL,CKKS,8192,1,rotate,5.18041,1638795,32,1.89733,measured
SEAL,CKKS,8192,1,rotate,5.18041,1638795,33,1.8734,measured
SEAL,CKKS,8192,1,rotate,5.18041,1638795,34,1.94711,measured
SEAL,CKKS,8192,1,rotate,5.18041,1638795,35,1.92368,measured
SEAL,CKKS,8192,1,rotate,5.18041,1638795,36,1.94587,measured
SEAL,CKKS,8192,1,rotate,5.18041,1638795,37,1.98292,measured
SEAL,CKKS,8192,1,rotate,5.18041,1638795,38,1.99544,measured
SEAL,CKKS,8192,1,rotate,5.18041,1638795,39,1.90387,measured
SEAL,CKKS,8192,1,rotate,5.18041,1638795,40,1.9521,measured
SEAL,CKKS,8192,1,rotate,5.18041,1638795,41,1.92095,measured
SEAL,CKKS,8192,1,rotate,5.18041,1638795,42,1.9233,measured
