library,scheme,N,category,operation,batch_size,iteration,latency_ms,status
SEAL,BFV,2048,1,keygen,1,0,22.7469,warmup
SEAL,BFV,2048,1,keygen,1,1,20.8262,warmup
SEAL,BFV,2048,1,keygen,1,2,22.2204,warmup
SEAL,BFV,2048,1,keygen,1,3,22.6816,warmup
SEAL,BFV,2048,1,keygen,1,4,22.3538,warmup
SEAL,BFV,2048,1,keygen,1,5,22.2604,measured
SEAL,BFV,2048,1,keygen,1,6,20.6679,measured
SEAL,BFV,2048,1,keygen,1,7,22.8068,measured
SEAL,BFV,2048,1,keygen,1,8,23.1049,measured
SEAL,BFV,2048,1,keygen,1,9,22.1156,measured
SEAL,BFV,2048,1,keygen,1,10,20.8255,measured
SEAL,BFV,2048,1,keygen,1,11,22.7411,measured
SEAL,BFV,2048,1,keygen,1,12,22.4936,measured
SEAL,BFV,2048,1,keygen,1,13,23.085,measured
SEAL,BFV,2048,1,keygen,1,14,22.3141,measured
SEAL,BFV,2048,1,keygen,1,15,22.4057,measured
SEAL,BFV,2048,1,keygen,1,16,22.2455,measured
SEAL,BFV,2048,1,keygen,1,17,22.374,measured
SEAL,BFV,2048,1,keygen,1,18,22.2205,measured
SEAL,BFV,2048,1,keygen,1,19,22.5575,measured
SEAL,BFV,2048,1,keygen,1,20,21.1995,measured
SEAL,BFV,2048,1,keygen,1,21,22.5082,measured
SEAL,BFV,2048,1,keygen,1,22,22.3122,measured
SEAL,BFV,2048,1,keygen,1,23,22.4354,measured
SEAL,BFV,2048,1,keygen,1,24,21.5622,measured
SEAL,BFV,2048,1,keygen,1,25,22.6056,measured
SEAL,BFV,2048,1,keygen,1,26,22.0875,measured
SEAL,BFV,2048,1,keygen,1,27,22.988,measured
SEAL,BFV,2048,1,keygen,1,28,22.3549,measured
SEAL,BFV,2048,1,keygen,1,29,22.0858,measured
SEAL,BFV,2048,1,keygen,1,30,22.0985,measured
SEAL,BFV,2048,1,keygen,1,31,22.521,measured
SEAL,BFV,2048,1,keygen,1,32,22.439,measured
SEAL,BFV,2048,1,keygen,1,33,22.7232,measured
SEAL,BFV,2048,1,keygen,1,34,20.5995,measured
SEAL,BFV,2048,1,keygen,1,35,22.4863,measured
SEAL,BFV,2048,1,keygen,1,36,22.4769,measured
SEAL,BFV,2048,1,keygen,1,37,22.5152,measured
SEAL,BFV,2048,1,keygen,1,38,22.4971,measured
SEAL,BFV,2048,1,keygen,1,39,22.2314,measured
SEAL,BFV,2048,1,keygen,1,40,22.1654,measured
SEAL,BFV,2048,1,keygen,1,41,22.3275,measured
SEAL,BFV,2048,1,keygen,1,42,22.4136,measured
SEAL,BFV,2048,1,keygen,1,43,20.1539,measured
SEAL,BFV,2048,1,keygen,1,44,22.1945,measured
SEAL,BFV,2048,1,keygen,1,45,22.3423,measured
SEAL,BFV,2048,1,keygen,1,46,22.2671,measured
SEAL,BFV,2048,1,keygen,1,47,22.1665,measured
SEAL,BFV,2048,1,keygen,1,48,21.1107,measured
SEAL,BFV,2048,1,keygen,1,49,21.9436,measured
SEAL,BFV,2048,1,keygen,1,50,22.392,measured
SEAL,BFV,2048,1,keygen,1,51,23.2531,measured
SEAL,BFV,2048,1,keygen,1,52,22.7469,measured
SEAL,BFV,2048,1,keygen,1,53,21.1135,measured
SEAL,BFV,2048,1,keygen,1,54,22.5825,measured
SEAL,BFV,2048,1,keygen,1,55,22.4565,measured
SEAL,BFV,2048,1,keygen,1,56,22.9525,measured
SEAL,BFV,2048,1,keygen,1,57,20.8686,measured
SEAL,BFV,2048,1,keygen,1,58,22.4283,measured
SEAL,BFV,2048,1,keygen,1,59,22.461,measured
SEAL,BFV,2048,1,keygen,1,60,22.2588,measured
SEAL,BFV,2048,1,keygen,1,61,22.9561,measured
SEAL,BFV,2048,1,keygen,1,62,21.0082,measured
SEAL,BFV,2048,1,keygen,1,63,22.5888,measured
SEAL,BFV,2048,1,keygen,1,64,22.0167,measured
SEAL,BFV,2048,1,keygen,1,65,22.0226,measured
SEAL,BFV,2048,1,keygen,1,66,21.9651,measured
SEAL,BFV,2048,1,keygen,1,67,20.6704,measured
SEAL,BFV,2048,1,keygen,1,68,22.0742,measured
SEAL,BFV,2048,1,keygen,1,69,22.4272,measured
SEAL,BFV,2048,1,keygen,1,70,22.5983,measured
SEAL,BFV,2048,1,keygen,1,71,22.023,measured
SEAL,BFV,2048,1,keygen,1,72,22.3279,measured
SEAL,BFV,2048,1,keygen,1,73,21.9983,measured
SEAL,BFV,2048,1,keygen,1,74,21.9312,measured
SEAL,BFV,2048,1,keygen,1,75,22.5936,measured
SEAL,BFV,2048,1,keygen,1,76,20.319,measured
SEAL,BFV,2048,1,keygen,1,77,22.075,measured
SEAL,BFV,2048,1,keygen,1,78,21.1614,measured
SEAL,BFV,2048,1,keygen,1,79,22.4373,measured
SEAL,BFV,2048,1,keygen,1,80,22.589,measured
SEAL,BFV,2048,1,keygen,1,81,20.6591,measured
SEAL,BFV,2048,1,keygen,1,82,22.0765,measured
SEAL,BFV,2048,1,keygen,1,83,22.4567,measured
SEAL,BFV,2048,1,keygen,1,84,22.5726,measured
SEAL,BFV,2048,1,keygen,1,85,22.3463,measured
SEAL,BFV,2048,1,keygen,1,86,20.3278,measured
SEAL,BFV,2048,1,keygen,1,87,22.4346,measured
SEAL,BFV,2048,1,keygen,1,88,22.4068,measured
SEAL,BFV,2048,1,keygen,1,89,23.3934,measured
SEAL,BFV,2048,1,keygen,1,90,20.9363,measured
SEAL,BFV,2048,1,keygen,1,91,22.2188,measured
SEAL,BFV,2048,1,keygen,1,92,22.2681,measured
SEAL,BFV,2048,1,keygen,1,93,21.9563,measured
SEAL,BFV,2048,1,keygen,1,94,23.097,measured
SEAL,BFV,2048,1,keygen,1,95,22.1065,measured
SEAL,BFV,2048,1,keygen,1,96,22.0115,measured
SEAL,BFV,2048,1,keygen,1,97,22.691,measured
SEAL,BFV,2048,1,keygen,1,98,22.0818,measured
SEAL,BFV,2048,1,keygen,1,99,22.044,measured
SEAL,BFV,2048,1,keygen,1,100,20.6003,measured
SEAL,BFV,2048,1,keygen,1,101,22.3704,measured
SEAL,BFV,2048,1,keygen,1,102,22.9661,measured
SEAL,BFV,2048,1,keygen,1,103,22.01,measured
SEAL,BFV,2048,1,keygen,1,104,22.3288,measured
