library,scheme,N,category,operation,batch_size,iteration,latency_ms,status
SEAL,BFV,4096,3,encrypt,1,0,0.760514,warmup
SEAL,BFV,4096,3,encrypt,1,1,0.679049,warmup
SEAL,BFV,4096,3,encrypt,1,2,0.642139,warmup
SEAL,BFV,4096,3,encrypt,1,3,0.653481,warmup
SEAL,BFV,4096,3,encrypt,1,4,0.651277,warmup
SEAL,BFV,4096,3,encrypt,1,5,0.675934,measured
SEAL,BFV,4096,3,encrypt,1,6,0.828212,measured
SEAL,BFV,4096,3,encrypt,1,7,0.650094,measured
SEAL,BFV,4096,3,encrypt,1,8,0.654022,measured
SEAL,BFV,4096,3,encrypt,1,9,0.659392,measured
SEAL,BFV,4096,3,encrypt,1,10,0.648221,measured
SEAL,BFV,4096,3,encrypt,1,11,0.657339,measured
SEAL,BFV,4096,3,encrypt,1,12,0.655054,measured
SEAL,BFV,4096,3,encrypt,1,13,0.652258,measured
SEAL,BFV,4096,3,encrypt,1,14,0.664542,measured
SEAL,BFV,4096,3,encrypt,1,15,0.659823,measured
SEAL,BFV,4096,3,encrypt,1,16,0.651998,measured
SEAL,BFV,4096,3,encrypt,1,17,0.664592,measured
SEAL,BFV,4096,3,encrypt,1,18,0.672817,measured
SEAL,BFV,4096,3,encrypt,1,19,0.655554,measured
SEAL,BFV,4096,3,encrypt,1,20,0.664061,measured
SEAL,BFV,4096,3,encrypt,1,21,0.655375,measured
SEAL,BFV,4096,3,encrypt,1,22,0.66338,measured
SEAL,BFV,4096,3,encrypt,1,23,0.6531,measured
SEAL,BFV,4096,3,encrypt,1,24,0.664441,measured
SEAL,BFV,4096,3,encrypt,1,25,0.664332,measured
SEAL,BFV,4096,3,encrypt,1,26,0.655895,measured
SEAL,BFV,4096,3,encrypt,1,27,0.727091,measured
SEAL,BFV,4096,3,encrypt,1,28,0.739164,measured
SEAL,BFV,4096,3,encrypt,1,29,0.674531,measured
SEAL,BFV,4096,3,encrypt,1,30,0.663681,measured
SEAL,BFV,4096,3,encrypt,1,31,0.677858,measured
SEAL,BFV,4096,3,encrypt,1,32,0.677166,measured
SEAL,BFV,4096,3,encrypt,1,33,0.667257,measured
SEAL,BFV,4096,3,encrypt,1,34,0.676284,measured
SEAL,BFV,4096,3,encrypt,1,35,0.678528,measured
SEAL,BFV,4096,3,encrypt,1,36,0.689419,measured
SEAL,BFV,4096,3,encrypt,1,37,0.669682,measured
SEAL,BFV,4096,3,encrypt,1,38,0.680953,measured
SEAL,BFV,4096,3,encrypt,1,39,0.687676,measured
SEAL,BFV,4096,3,encrypt,1,40,0.672006,measured
SEAL,BFV,4096,3,encrypt,1,41,0.734695,measured
SEAL,BFV,4096,3,encrypt,1,42,0.736889,measured
SEAL,BFV,4096,3,encrypt,1,43,0.695741,measured
SEAL,BFV,4096,3,encrypt,1,44,0.66899,measured
SEAL,BFV,4096,3,encrypt,1,45,0.679239,measured
SEAL,BFV,4096,3,encrypt,1,46,0.67897,measured
SEAL,BFV,4096,3,encrypt,1,47,0.696523,measured
SEAL,BFV,4096,3,encrypt,1,48,0.667888,measured
SEAL,BFV,4096,3,encrypt,1,49,0.683829,measured
SEAL,BFV,4096,3,encrypt,1,50,0.720769,measured
SEAL,BFV,4096,3,encrypt,1,51,0.751206,measured
SEAL,BFV,4096,3,encrypt,1,52,0.676485,measured
SEAL,BFV,4096,3,encrypt,1,53,0.685923,measured
SEAL,BFV,4096,3,encrypt,1,54,0.687194,measured
SEAL,BFV,4096,3,encrypt,1,55,0.681805,measured
SEAL,BFV,4096,3,encrypt,1,56,0.679631,measured
SEAL,BFV,4096,3,encrypt,1,57,0.698166,measured
SEAL,BFV,4096,3,encrypt,1,58,0.686934,measured
SEAL,BFV,4096,3,encrypt,1,59,0.671085,measured
SEAL,BFV,4096,3,encrypt,1,60,0.692896,measured
SEAL,BFV,4096,3,encrypt,1,61,0.684791,measured
SEAL,BFV,4096,3,encrypt,1,62,0.689199,measured
SEAL,BFV,4096,3,encrypt,1,63,0.673189,measured
SEAL,BFV,4096,3,encrypt,1,64,0.758841,measured
SEAL,BFV,4096,3,encrypt,1,65,0.686353,measured
SEAL,BFV,4096,3,encrypt,1,66,0.666877,measured
SEAL,BFV,4096,3,encrypt,1,67,0.669121,measured
SEAL,BFV,4096,3,encrypt,1,68,0.686233,measured
SEAL,BFV,4096,3,encrypt,1,69,0.686313,measured
SEAL,BFV,4096,3,encrypt,1,70,0.670313,measured
SEAL,BFV,4096,3,encrypt,1,71,0.674902,measured
SEAL,BFV,4096,3,encrypt,1,72,0.68452,measured
SEAL,BFV,4096,3,encrypt,1,73,0.723684,measured
SEAL,BFV,4096,3,encrypt,1,74,0.728152,measured
SEAL,BFV,4096,3,encrypt,1,75,0.690521,measured
SEAL,BFV,4096,3,encrypt,1,76,0.675633,measured
SEAL,BFV,4096,3,encrypt,1,77,0.670843,measured
SEAL,BFV,4096,3,encrypt,1,78,0.67978,measured
SEAL,BFV,4096,3,encrypt,1,79,0.685953,measured
SEAL,BFV,4096,3,encrypt,1,80,0.684479,measured
SEAL,BFV,4096,3,encrypt,1,81,0.663099,measured
SEAL,BFV,4096,3,encrypt,1,82,0.668229,measured
SEAL,BFV,4096,3,encrypt,1,83,0.697665,measured
SEAL,BFV,4096,3,encrypt,1,84,0.665093,measured
SEAL,BFV,4096,3,encrypt,1,85,0.671616,measured
SEAL,BFV,4096,3,encrypt,1,86,0.682516,measured
SEAL,BFV,4096,3,encrypt,1,87,0.756507,measured
SEAL,BFV,4096,3,encrypt,1,88,0.670914,measured
SEAL,BFV,4096,3,encrypt,1,89,0.681244,measured
SEAL,BFV,4096,3,encrypt,1,90,0.680151,measured
SEAL,BFV,4096,3,encrypt,1,91,1.37675,measured
SEAL,BFV,4096,3,encrypt,1,92,0.681094,measured
SEAL,BFV,4096,3,encrypt,1,93,0.674761,measured
SEAL,BFV,4096,3,encrypt,1,94,0.652319,measured
SEAL,BFV,4096,3,encrypt,1,95,0.6903,measured
SEAL,BFV,4096,3,encrypt,1,96,0.704819,measured
SEAL,BFV,4096,3,encrypt,1,97,0.670994,measured
SEAL,BFV,4096,3,encrypt,1,98,0.660544,measured
SEAL,BFV,4096,3,encrypt,1,99,0.682736,measured
SEAL,BFV,4096,3,encrypt,1,100,0.68991,measured
SEAL,BFV,4096,3,encrypt,1,101,0.668279,measured
SEAL,BFV,4096,3,encrypt,1,102,0.68971,measured
SEAL,BFV,4096,3,encrypt,1,103,0.686694,measured
SEAL,BFV,4096,3,encrypt,1,104,0.70041,measured
