library,scheme,N,category,operation,batch_size,iteration,latency_ms,status
SEAL,BFV,8192,1,multiply,100,0,817.307,warmup
SEAL,BFV,8192,1,multiply,100,1,807.341,warmup
SEAL,BFV,8192,1,multiply,100,2,811.675,measured
SEAL,BFV,8192,1,multiply,100,3,809.77,measured
SEAL,BFV,8192,1,multiply,100,4,808.856,measured
SEAL,BFV,8192,1,multiply,100,5,805.334,measured
SEAL,BFV,8192,1,multiply,100,6,807.819,measured
SEAL,BFV,8192,1,multiply,100,7,811.838,measured
SEAL,BFV,8192,1,multiply,100,8,807.893,measured
SEAL,BFV,8192,1,multiply,100,9,814.903,measured
SEAL,BFV,8192,1,multiply,100,10,810.882,measured
SEAL,BFV,8192,1,multiply,100,11,813.843,measured
