library,scheme,N,category,operation,batch_size,iteration,latency_ms,status
SEAL,BFV,8192,3,relinearize,1,0,1.17357,warmup
SEAL,BFV,8192,3,relinearize,1,1,1.18596,warmup
SEAL,BFV,8192,3,relinearize,1,2,1.26645,warmup
SEAL,BFV,8192,3,relinearize,1,3,1.2515,warmup
SEAL,BFV,8192,3,relinearize,1,4,1.19714,warmup
SEAL,BFV,8192,3,relinearize,1,5,1.18475,measured
SEAL,BFV,8192,3,relinearize,1,6,1.26609,measured
SEAL,BFV,8192,3,relinearize,1,7,1.18174,measured
SEAL,BFV,8192,3,relinearize,1,8,1.34282,measured
SEAL,BFV,8192,3,relinearize,1,9,1.2558,measured
SEAL,BFV,8192,3,relinearize,1,10,1.16487,measured
SEAL,BFV,8192,3,relinearize,1,11,1.21105,measured
SEAL,BFV,8192,3,relinearize,1,12,1.23504,measured
SEAL,BFV,8192,3,relinearize,1,13,1.19042,measured
SEAL,BFV,8192,3,relinearize,1,14,1.16422,measured
SEAL,BFV,8192,3,relinearize,1,15,1.20883,measured
SEAL,BFV,8192,3,relinearize,1,16,1.17151,measured
SEAL,BFV,8192,3,relinearize,1,17,1.16274,measured
SEAL,BFV,8192,3,relinearize,1,18,1.14585,measured
SEAL,BFV,8192,3,relinearize,1,19,1.1869,measured
SEAL,BFV,8192,3,relinearize,1,20,1.31716,measured
SEAL,BFV,8192,3,relinearize,1,21,1.19904,measured
SEAL,BFV,8192,3,relinearize,1,22,1.16985,measured
SEAL,BFV,8192,3,relinearize,1,23,1.32047,measured
SEAL,BFV,8192,3,relinearize,1,24,1.20017,measured
SEAL,BFV,8192,3,relinearize,1,25,1.21138,measured
SEAL,BFV,8192,3,relinearize,1,26,1.30034,measured
SEAL,BFV,8192,3,relinearize,1,27,1.20047,measured
SEAL,BFV,8192,3,relinearize,1,28,1.1819,measured
SEAL,BFV,8192,3,relinearize,1,29,1.28079,measured
SEAL,BFV,8192,3,relinearize,1,30,1.20364,measured
SEAL,BFV,8192,3,relinearize,1,31,1.18329,measured
SEAL,BFV,8192,3,relinearize,1,32,1.32862,measured
SEAL,BFV,8192,3,relinearize,1,33,1.20285,measured
SEAL,BFV,8192,3,relinearize,1,34,1.17058,measured
SEAL,BFV,8192,3,relinearize,1,35,1.16401,measured
SEAL,BFV,8192,3,relinearize,1,36,1.16624,measured
SEAL,BFV,8192,3,relinearize,1,37,1.14845,measured
SEAL,BFV,8192,3,relinearize,1,38,1.16454,measured
SEAL,BFV,8192,3,relinearize,1,39,1.21419,measured
SEAL,BFV,8192,3,relinearize,1,40,1.16303,measured
SEAL,BFV,8192,3,relinearize,1,41,1.16629,measured
SEAL,BFV,8192,3,relinearize,1,42,1.21514,measured
SEAL,BFV,8192,3,relinearize,1,43,1.17632,measured
SEAL,BFV,8192,3,relinearize,1,44,1.16976,measured
SEAL,BFV,8192,3,relinearize,1,45,1.13947,measured
SEAL,BFV,8192,3,relinearize,1,46,1.18174,measured
SEAL,BFV,8192,3,relinearize,1,47,1.2322,measured
SEAL,BFV,8192,3,relinearize,1,48,1.17344,measured
SEAL,BFV,8192,3,relinearize,1,49,1.22611,measured
SEAL,BFV,8192,3,relinearize,1,50,1.20511,measured
SEAL,BFV,8192,3,relinearize,1,51,1.1552,measured
SEAL,BFV,8192,3,relinearize,1,52,1.19795,measured
SEAL,BFV,8192,3,relinearize,1,53,1.1914,measured
SEAL,BFV,8192,3,relinearize,1,54,1.17214,measured
SEAL,BFV,8192,3,relinearize,1,55,1.20469,measured
SEAL,BFV,8192,3,relinearize,1,56,1.1712,measured
SEAL,BFV,8192,3,relinearize,1,57,1.18978,measured
SEAL,BFV,8192,3,relinearize,1,58,1.20646,measured
SEAL,BFV,8192,3,relinearize,1,59,1.30051,measured
SEAL,BFV,8192,3,relinearize,1,60,1.19759,measured
SEAL,BFV,8192,3,relinearize,1,61,1.24905,measured
SEAL,BFV,8192,3,relinearize,1,62,1.297,measured
SEAL,BFV,8192,3,relinearize,1,63,1.17295,measured
SEAL,BFV,8192,3,relinearize,1,64,1.22988,measured
SEAL,BFV,8192,3,relinearize,1,65,1.17764,measured
SEAL,BFV,8192,3,relinearize,1,66,1.18294,measured
SEAL,BFV,8192,3,relinearize,1,67,1.18706,measured
SEAL,BFV,8192,3,relinearize,1,68,1.21913,measured
SEAL,BFV,8192,3,relinearize,1,69,1.17227,measured
SEAL,BFV,8192,3,relinearize,1,70,1.21669,measured
SEAL,BFV,8192,3,relinearize,1,71,1.1578,measured
SEAL,BFV,8192,3,relinearize,1,72,1.18389,measured
SEAL,BFV,8192,3,relinearize,1,73,1.19347,measured
SEAL,BFV,8192,3,relinearize,1,74,1.2153,measured
SEAL,BFV,8192,3,relinearize,1,75,1.18918,measured
SEAL,BFV,8192,3,relinearize,1,76,1.20111,measured
SEAL,BFV,8192,3,relinearize,1,77,1.19663,measured
SEAL,BFV,8192,3,relinearize,1,78,1.21216,measured
SEAL,BFV,8192,3,relinearize,1,79,1.21841,measured
SEAL,BFV,8192,3,relinearize,1,80,1.20747,measured
SEAL,BFV,8192,3,relinearize,1,81,1.1827,measured
SEAL,BFV,8192,3,relinearize,1,82,1.54216,measured
SEAL,BFV,8192,3,relinearize,1,83,1.19068,measured
SEAL,BFV,8192,3,relinearize,1,84,1.17286,measured
SEAL,BFV,8192,3,relinearize,1,85,1.15658,measured
SEAL,BFV,8192,3,relinearize,1,86,1.17115,measured
SEAL,BFV,8192,3,relinearize,1,87,1.16215,measured
SEAL,BFV,8192,3,relinearize,1,88,1.15904,measured
SEAL,BFV,8192,3,relinearize,1,89,1.24958,measured
SEAL,BFV,8192,3,relinearize,1,90,1.19449,measured
SEAL,BFV,8192,3,relinearize,1,91,1.19646,measured
SEAL,BFV,8192,3,relinearize,1,92,1.22868,measured
SEAL,BFV,8192,3,relinearize,1,93,1.18087,measured
SEAL,BFV,8192,3,relinearize,1,94,1.17575,measured
SEAL,BFV,8192,3,relinearize,1,95,1.16537,measured
SEAL,BFV,8192,3,relinearize,1,96,1.20937,measured
SEAL,BFV,8192,3,relinearize,1,97,1.15328,measured
SEAL,BFV,8192,3,relinearize,1,98,1.1605,measured
SEAL,BFV,8192,3,relinearize,1,99,1.1547,measured
SEAL,BFV,8192,3,relinearize,1,100,1.25175,measured
SEAL,BFV,8192,3,relinearize,1,101,1.15962,measured
SEAL,BFV,8192,3,relinearize,1,102,1.221,measured
SEAL,BFV,8192,3,relinearize,1,103,1.15378,measured
SEAL,BFV,8192,3,relinearize,1,104,1.16381,measured
