library,scheme,N,category,operation,batch_size,iteration,latency_ms,status
SEAL,BFV,8192,5,add,10,0,0.234736,warmup
SEAL,BFV,8192,5,add,10,1,0.1841,warmup
SEAL,BFV,8192,5,add,10,2,0.198827,warmup
SEAL,BFV,8192,5,add,10,3,0.180713,measured
SEAL,BFV,8192,5,add,10,4,0.189018,measured
SEAL,BFV,8192,5,add,10,5,0.196624,measured
SEAL,BFV,8192,5,add,10,6,0.185903,measured
SEAL,BFV,8192,5,add,10,7,0.199198,measured
SEAL,BFV,8192,5,add,10,8,0.184199,measured
SEAL,BFV,8192,5,add,10,9,0.181715,measured
SEAL,BFV,8192,5,add,10,10,0.188908,measured
SEAL,BFV,8192,5,add,10,11,0.221461,measured
SEAL,BFV,8192,5,add,10,12,0.234986,measured
SEAL,BFV,8192,5,add,10,13,0.177176,measured
SEAL,BFV,8192,5,add,10,14,0.197916,measured
SEAL,BFV,8192,5,add,10,15,0.185272,measured
SEAL,BFV,8192,5,add,10,16,0.208596,measured
SEAL,BFV,8192,5,add,10,17,0.189891,measured
SEAL,BFV,8192,5,add,10,18,0.186223,measured
SEAL,BFV,8192,5,add,10,19,0.176395,measured
SEAL,BFV,8192,5,add,10,20,0.179561,measured
SEAL,BFV,8192,5,add,10,21,0.193798,measured
SEAL,BFV,8192,5,add,10,22,0.207504,measured
SEAL,BFV,8192,5,add,10,23,0.217653,measured
SEAL,BFV,8192,5,add,10,24,0.183448,measured
SEAL,BFV,8192,5,add,10,25,0.186965,measured
SEAL,BFV,8192,5,add,10,26,0.183929,measured
SEAL,BFV,8192,5,add,10,27,0.213856,measured
SEAL,BFV,8192,5,add,10,28,0.265464,measured
SEAL,BFV,8192,5,add,10,29,0.201473,measured
SEAL,BFV,8192,5,add,10,30,0.200089,measured
SEAL,BFV,8192,5,add,10,31,0.185623,measured
SEAL,BFV,8192,5,add,10,32,0.188017,measured
