library,scheme,N,category,operation,batch_size,iteration,latency_ms,status
SEAL,BFV,8192,5,decrypt,10,0,3.0879,warmup
SEAL,BFV,8192,5,decrypt,10,1,3.09782,warmup
SEAL,BFV,8192,5,decrypt,10,2,3.1216,warmup
SEAL,BFV,8192,5,decrypt,10,3,3.12139,measured
SEAL,BFV,8192,5,decrypt,10,4,3.11777,measured
SEAL,BFV,8192,5,decrypt,10,5,3.10139,measured
SEAL,BFV,8192,5,decrypt,10,6,3.14026,measured
SEAL,BFV,8192,5,decrypt,10,7,3.13249,measured
SEAL,BFV,8192,5,decrypt,10,8,3.10449,measured
SEAL,BFV,8192,5,decrypt,10,9,3.06701,measured
SEAL,BFV,8192,5,decrypt,10,10,3.07137,measured
SEAL,BFV,8192,5,decrypt,10,11,3.07473,measured
SEAL,BFV,8192,5,decrypt,10,12,3.09625,measured
SEAL,BFV,8192,5,decrypt,10,13,3.08878,measured
SEAL,BFV,8192,5,decrypt,10,14,3.08115,measured
SEAL,BFV,8192,5,decrypt,10,15,3.06726,measured
SEAL,BFV,8192,5,decrypt,10,16,3.06021,measured
SEAL,BFV,8192,5,decrypt,10,17,3.09208,measured
SEAL,BFV,8192,5,decrypt,10,18,3.07822,measured
SEAL,BFV,8192,5,decrypt,10,19,3.08464,measured
SEAL,BFV,8192,5,decrypt,10,20,3.08731,measured
SEAL,BFV,8192,5,decrypt,10,21,3.09642,measured
SEAL,BFV,8192,5,decrypt,10,22,3.13128,measured
SEAL,BFV,8192,5,decrypt,10,23,3.11123,measured
SEAL,BFV,8192,5,decrypt,10,24,3.15915,measured
SEAL,BFV,8192,5,decrypt,10,25,3.13794,measured
SEAL,BFV,8192,5,decrypt,10,26,3.13294,measured
SEAL,BFV,8192,5,decrypt,10,27,3.09336,measured
SEAL,BFV,8192,5,decrypt,10,28,3.10965,measured
SEAL,BFV,8192,5,decrypt,10,29,3.08568,measured
SEAL,BFV,8192,5,decrypt,10,30,3.08499,measured
SEAL,BFV,8192,5,decrypt,10,31,3.09572,measured
SEAL,BFV,8192,5,decrypt,10,32,3.08608,measured
