library,scheme,N,category,operation,batch_size,iteration,latency_ms,status
SEAL,BGV,4096,3,decrypt,10,0,0.95812,warmup
SEAL,BGV,4096,3,decrypt,10,1,0.989829,warmup
SEAL,BGV,4096,3,decrypt,10,2,0.997023,warmup
SEAL,BGV,4096,3,decrypt,10,3,0.992625,measured
SEAL,BGV,4096,3,decrypt,10,4,0.986433,measured
SEAL,BGV,4096,3,decrypt,10,5,0.996362,measured
SEAL,BGV,4096,3,decrypt,10,6,1.02802,measured
SEAL,BGV,4096,3,decrypt,10,7,1.04148,measured
SEAL,BGV,4096,3,decrypt,10,8,1.07404,measured
SEAL,BGV,4096,3,decrypt,10,9,1.00928,measured
SEAL,BGV,4096,3,decrypt,10,10,1.03301,measured
SEAL,BGV,4096,3,decrypt,10,11,1.07511,measured
SEAL,BGV,4096,3,decrypt,10,12,1.05905,measured
SEAL,BGV,4096,3,decrypt,10,13,1.08795,measured
SEAL,BGV,4096,3,decrypt,10,14,1.02912,measured
SEAL,BGV,4096,3,decrypt,10,15,1.0688,measured
SEAL,BGV,4096,3,decrypt,10,16,1.02061,measured
SEAL,BGV,4096,3,decrypt,10,17,1.05678,measured
SEAL,BGV,4096,3,decrypt,10,18,1.02646,measured
SEAL,BGV,4096,3,decrypt,10,19,0.998847,measured
SEAL,BGV,4096,3,decrypt,10,20,0.996833,measured
SEAL,BGV,4096,3,decrypt,10,21,0.986684,measured
SEAL,BGV,4096,3,decrypt,10,22,0.986734,measured
SEAL,BGV,4096,3,decrypt,10,23,0.993346,measured
SEAL,BGV,4096,3,decrypt,10,24,0.985682,measured
SEAL,BGV,4096,3,decrypt,10,25,0.988817,measured
SEAL,BGV,4096,3,decrypt,10,26,0.973488,measured
SEAL,BGV,4096,3,decrypt,10,27,0.985661,measured
SEAL,BGV,4096,3,decrypt,10,28,1.0247,measured
SEAL,BGV,4096,3,decrypt,10,29,0.991763,measured
SEAL,BGV,4096,3,decrypt,10,30,0.988247,measured
SEAL,BGV,4096,3,decrypt,10,31,0.974801,measured
SEAL,BGV,4096,3,decrypt,10,32,0.973278,measured
