library,scheme,N,category,operation,batch_size,iteration,latency_ms,status
SEAL,BGV,4096,5,encrypt,10,0,8.56577,warmup
SEAL,BGV,4096,5,encrypt,10,1,8.46758,warmup
SEAL,BGV,4096,5,encrypt,10,2,8.53333,warmup
SEAL,BGV,4096,5,encrypt,10,3,8.69676,measured
SEAL,BGV,4096,5,encrypt,10,4,8.70702,measured
SEAL,BGV,4096,5,encrypt,10,5,8.64563,measured
SEAL,BGV,4096,5,encrypt,10,6,8.70522,measured
SEAL,BGV,4096,5,encrypt,10,7,8.73821,measured
SEAL,BGV,4096,5,encrypt,10,8,8.68684,measured
SEAL,BGV,4096,5,encrypt,10,9,8.69464,measured
SEAL,BGV,4096,5,encrypt,10,10,8.67141,measured
SEAL,BGV,4096,5,encrypt,10,11,8.81498,measured
SEAL,BGV,4096,5,encrypt,10,12,8.64116,measured
SEAL,BGV,4096,5,encrypt,10,13,8.60395,measured
SEAL,BGV,4096,5,encrypt,10,14,8.58472,measured
SEAL,BGV,4096,5,encrypt,10,15,8.6093,measured
SEAL,BGV,4096,5,encrypt,10,16,8.61496,measured
SEAL,BGV,4096,5,encrypt,10,17,8.74266,measured
SEAL,BGV,4096,5,encrypt,10,18,8.67817,measured
SEAL,BGV,4096,5,encrypt,10,19,8.61937,measured
SEAL,BGV,4096,5,encrypt,10,20,8.70545,measured
SEAL,BGV,4096,5,encrypt,10,21,8.70856,measured
SEAL,BGV,4096,5,encrypt,10,22,8.63443,measured
SEAL,BGV,4096,5,encrypt,10,23,8.62863,measured
SEAL,BGV,4096,5,encrypt,10,24,8.59916,measured
SEAL,BGV,4096,5,encrypt,10,25,8.88129,measured
SEAL,BGV,4096,5,encrypt,10,26,8.6323,measured
SEAL,BGV,4096,5,encrypt,10,27,8.61208,measured
SEAL,BGV,4096,5,encrypt,10,28,8.58426,measured
SEAL,BGV,4096,5,encrypt,10,29,8.57807,measured
SEAL,BGV,4096,5,encrypt,10,30,8.58084,measured
SEAL,BGV,4096,5,encrypt,10,31,8.95392,measured
SEAL,BGV,4096,5,encrypt,10,32,8.53031,measured
