library,scheme,N,category,operation,batch_size,iteration,latency_ms,status
SEAL,BGV,8192,1,relinearize,10,0,22.6279,warmup
SEAL,BGV,8192,1,relinearize,10,1,22.7443,warmup
SEAL,BGV,8192,1,relinearize,10,2,23.1577,warmup
SEAL,BGV,8192,1,relinearize,10,3,22.8737,measured
SEAL,BGV,8192,1,relinearize,10,4,22.6759,measured
SEAL,BGV,8192,1,relinearize,10,5,22.7711,measured
SEAL,BGV,8192,1,relinearize,10,6,22.4722,measured
SEAL,BGV,8192,1,relinearize,10,7,22.6617,measured
SEAL,BGV,8192,1,relinearize,10,8,23.7402,measured
SEAL,BGV,8192,1,relinearize,10,9,22.7053,measured
SEAL,BGV,8192,1,relinearize,10,10,23.7048,measured
SEAL,BGV,8192,1,relinearize,10,11,22.5482,measured
SEAL,BGV,8192,1,relinearize,10,12,22.4672,measured
SEAL,BGV,8192,1,relinearize,10,13,22.5247,measured
SEAL,BGV,8192,1,relinearize,10,14,22.2909,measured
SEAL,BGV,8192,1,relinearize,10,15,22.3563,measured
SEAL,BGV,8192,1,relinearize,10,16,22.369,measured
SEAL,BGV,8192,1,relinearize,10,17,22.3652,measured
SEAL,BGV,8192,1,relinearize,10,18,22.6778,measured
SEAL,BGV,8192,1,relinearize,10,19,22.1906,measured
SEAL,BGV,8192,1,relinearize,10,20,22.2724,measured
SEAL,BGV,8192,1,relinearize,10,21,22.3543,measured
SEAL,BGV,8192,1,relinearize,10,22,22.4798,measured
SEAL,BGV,8192,1,relinearize,10,23,22.6887,measured
SEAL,BGV,8192,1,relinearize,10,24,22.3386,measured
SEAL,BGV,8192,1,relinearize,10,25,22.2844,measured
SEAL,BGV,8192,1,relinearize,10,26,22.5778,measured
SEAL,BGV,8192,1,relinearize,10,27,22.2613,measured
SEAL,BGV,8192,1,relinearize,10,28,22.6583,measured
SEAL,BGV,8192,1,relinearize,10,29,22.6241,measured
SEAL,BGV,8192,1,relinearize,10,30,22.4979,measured
SEAL,BGV,8192,1,relinearize,10,31,22.6573,measured
SEAL,BGV,8192,1,relinearize,10,32,22.7823,measured
