library,scheme,N,category,operation,batch_size,iteration,latency_ms,status
SEAL,BGV,8192,5,add,1,0,0.066315,warmup
SEAL,BGV,8192,5,add,1,1,0.016171,warmup
SEAL,BGV,8192,5,add,1,2,0.015028,warmup
SEAL,BGV,8192,5,add,1,3,0.015509,warmup
SEAL,BGV,8192,5,add,1,4,0.022412,warmup
SEAL,BGV,8192,5,add,1,5,0.017923,measured
SEAL,BGV,8192,5,add,1,6,0.015729,measured
SEAL,BGV,8192,5,add,1,7,0.01622,measured
SEAL,BGV,8192,5,add,1,8,0.0158,measured
SEAL,BGV,8192,5,add,1,9,0.01596,measured
SEAL,BGV,8192,5,add,1,10,0.016511,measured
SEAL,BGV,8192,5,add,1,11,0.01557,measured
SEAL,BGV,8192,5,add,1,12,0.015619,measured
SEAL,BGV,8192,5,add,1,13,0.0157,measured
SEAL,BGV,8192,5,add,1,14,0.015579,measured
SEAL,BGV,8192,5,add,1,15,0.01624,measured
SEAL,BGV,8192,5,add,1,16,0.01594,measured
SEAL,BGV,8192,5,add,1,17,0.01603,measured
SEAL,BGV,8192,5,add,1,18,0.0159,measured
SEAL,BGV,8192,5,add,1,19,0.015268,measured
SEAL,BGV,8192,5,add,1,20,0.015428,measured
SEAL,BGV,8192,5,add,1,21,0.015729,measured
SEAL,BGV,8192,5,add,1,22,0.015819,measured
SEAL,BGV,8192,5,add,1,23,0.015529,measured
SEAL,BGV,8192,5,add,1,24,0.015639,measured
SEAL,BGV,8192,5,add,1,25,0.032852,measured
SEAL,BGV,8192,5,add,1,26,0.016191,measured
SEAL,BGV,8192,5,add,1,27,0.016621,measured
SEAL,BGV,8192,5,add,1,28,0.016261,measured
SEAL,BGV,8192,5,add,1,29,0.0159,measured
SEAL,BGV,8192,5,add,1,30,0.015298,measured
SEAL,BGV,8192,5,add,1,31,0.015479,measured
SEAL,BGV,8192,5,add,1,32,0.015409,measured
SEAL,BGV,8192,5,add,1,33,0.016291,measured
SEAL,BGV,8192,5,add,1,34,0.01592,measured
SEAL,BGV,8192,5,add,1,35,0.01581,measured
SEAL,BGV,8192,5,add,1,36,0.015258,measured
SEAL,BGV,8192,5,add,1,37,0.015348,measured
SEAL,BGV,8192,5,add,1,38,0.015309,measured
SEAL,BGV,8192,5,add,1,39,0.01604,measured
SEAL,BGV,8192,5,add,1,40,0.01555,measured
SEAL,BGV,8192,5,add,1,41,0.01597,measured
SEAL,BGV,8192,5,add,1,42,0.015389,measured
SEAL,BGV,8192,5,add,1,43,0.017513,measured
SEAL,BGV,8192,5,add,1,44,0.015429,measured
SEAL,BGV,8192,5,add,1,45,0.015388,measured
SEAL,BGV,8192,5,add,1,46,0.015839,measured
SEAL,BGV,8192,5,add,1,47,0.015309,measured
SEAL,BGV,8192,5,add,1,48,0.015268,measured
SEAL,BGV,8192,5,add,1,49,0.015429,measured
SEAL,BGV,8192,5,add,1,50,0.015199,measured
SEAL,BGV,8192,5,add,1,51,0.015298,measured
SEAL,BGV,8192,5,add,1,52,0.01605,measured
SEAL,BGV,8192,5,add,1,53,0.015229,measured
SEAL,BGV,8192,5,add,1,54,0.015279,measured
SEAL,BGV,8192,5,add,1,55,0.015188,measured
SEAL,BGV,8192,5,add,1,56,0.015359,measured
SEAL,BGV,8192,5,add,1,57,0.015679,measured
SEAL,BGV,8192,5,add,1,58,0.018555,measured
SEAL,BGV,8192,5,add,1,59,0.01567,measured
SEAL,BGV,8192,5,add,1,60,0.015419,measured
SEAL,BGV,8192,5,add,1,61,0.015258,measured
SEAL,BGV,8192,5,add,1,62,0.015419,measured
SEAL,BGV,8192,5,add,1,63,0.0158,measured
SEAL,BGV,8192,5,add,1,64,0.01586,measured
SEAL,BGV,8192,5,add,1,65,0.015599,measured
SEAL,BGV,8192,5,add,1,66,0.01582,measured
SEAL,BGV,8192,5,add,1,67,0.015419,measured
SEAL,BGV,8192,5,add,1,68,0.015239,measured
SEAL,BGV,8192,5,add,1,69,0.015439,measured
SEAL,BGV,8192,5,add,1,70,0.01618,measured
SEAL,BGV,8192,5,add,1,71,0.015268,measured
SEAL,BGV,8192,5,add,1,72,0.015369,measured
SEAL,BGV,8192,5,add,1,73,0.015148,measured
SEAL,BGV,8192,5,add,1,74,0.01561,measured
SEAL,BGV,8192,5,add,1,75,0.015198,measured
SEAL,BGV,8192,5,add,1,76,0.028002,measured
SEAL,BGV,8192,5,add,1,77,0.015439,measured
SEAL,BGV,8192,5,add,1,78,0.015228,measured
SEAL,BGV,8192,5,add,1,79,0.015339,measured
SEAL,BGV,8192,5,add,1,80,0.015389,measured
SEAL,BGV,8192,5,add,1,81,0.01561,measured
SEAL,BGV,8192,5,add,1,82,0.01601,measured
SEAL,BGV,8192,5,add,1,83,0.015369,measured
SEAL,BGV,8192,5,add,1,84,0.015328,measured
SEAL,BGV,8192,5,add,1,85,0.015208,measured
SEAL,BGV,8192,5,add,1,86,0.015329,measured
SEAL,BGV,8192,5,add,1,87,0.015279,measured
SEAL,BGV,8192,5,add,1,88,0.01612,measured
SEAL,BGV,8192,5,add,1,89,0.020629,measured
SEAL,BGV,8192,5,add,1,90,0.016601,measured
SEAL,BGV,8192,5,add,1,91,0.01602,measured
SEAL,BGV,8192,5,add,1,92,0.015499,measured
SEAL,BGV,8192,5,add,1,93,0.015379,measured
SEAL,BGV,8192,5,add,1,94,0.015739,measured
SEAL,BGV,8192,5,add,1,95,0.015589,measured
SEAL,BGV,8192,5,add,1,96,0.015258,measured
SEAL,BGV,8192,5,add,1,97,0.015289,measured
SEAL,BGV,8192,5,add,1,98,0.015199,measured
SEAL,BGV,8192,5,add,1,99,0.015289,measured
SEAL,BGV,8192,5,add,1,100,0.01616,measured
SEAL,BGV,8192,5,add,1,101,0.015409,measured
SEAL,BGV,8192,5,add,1,102,0.015459,measured
SEAL,BGV,8192,5,add,1,103,0.029225,measured
SEAL,BGV,8192,5,add,1,104,0.015278,measured
