library,scheme,N,category,operation,batch_size,iteration,latency_ms,status
SEAL,BGV,8192,5,keygen,1,0,28.235,warmup
SEAL,BGV,8192,5,keygen,1,1,26.3635,warmup
SEAL,BGV,8192,5,keygen,1,2,24.3474,warmup
SEAL,BGV,8192,5,keygen,1,3,26.4275,warmup
SEAL,BGV,8192,5,keygen,1,4,25.9488,warmup
SEAL,BGV,8192,5,keygen,1,5,26.9874,measured
SEAL,BGV,8192,5,keygen,1,6,24.8405,measured
SEAL,BGV,8192,5,keygen,1,7,26.4976,measured
SEAL,BGV,8192,5,keygen,1,8,26.5367,measured
SEAL,BGV,8192,5,keygen,1,9,25.8717,measured
SEAL,BGV,8192,5,keygen,1,10,25.051,measured
SEAL,BGV,8192,5,keygen,1,11,26.5111,measured
SEAL,BGV,8192,5,keygen,1,12,26.2158,measured
SEAL,BGV,8192,5,keygen,1,13,26.6982,measured
SEAL,BGV,8192,5,keygen,1,14,24.6698,measured
SEAL,BGV,8192,5,keygen,1,15,25.9789,measured
SEAL,BGV,8192,5,keygen,1,16,26.3173,measured
SEAL,BGV,8192,5,keygen,1,17,26.7816,measured
SEAL,BGV,8192,5,keygen,1,18,25.4583,measured
SEAL,BGV,8192,5,keygen,1,19,26.5158,measured
SEAL,BGV,8192,5,keygen,1,20,26.6852,measured
SEAL,BGV,8192,5,keygen,1,21,26.3048,measured
SEAL,BGV,8192,5,keygen,1,22,24.5503,measured
SEAL,BGV,8192,5,keygen,1,23,26.127,measured
SEAL,BGV,8192,5,keygen,1,24,25.8786,measured
SEAL,BGV,8192,5,keygen,1,25,25.8391,measured
SEAL,BGV,8192,5,keygen,1,26,25.9726,measured
SEAL,BGV,8192,5,keygen,1,27,26.3949,measured
SEAL,BGV,8192,5,keygen,1,28,25.8149,measured
SEAL,BGV,8192,5,keygen,1,29,26.3697,measured
SEAL,BGV,8192,5,keygen,1,30,25.7373,measured
SEAL,BGV,8192,5,keygen,1,31,25.8369,measured
SEAL,BGV,8192,5,keygen,1,32,26.5626,measured
SEAL,BGV,8192,5,keygen,1,33,26.1062,measured
SEAL,BGV,8192,5,keygen,1,34,25.4885,measured
SEAL,BGV,8192,5,keygen,1,35,26.592,measured
SEAL,BGV,8192,5,keygen,1,36,26.2491,measured
SEAL,BGV,8192,5,keygen,1,37,26.1391,measured
SEAL,BGV,8192,5,keygen,1,38,25.2232,measured
SEAL,BGV,8192,5,keygen,1,39,25.9404,measured
SEAL,BGV,8192,5,keygen,1,40,26.0553,measured
SEAL,BGV,8192,5,keygen,1,41,25.9655,measured
SEAL,BGV,8192,5,keygen,1,42,26.0874,measured
SEAL,BGV,8192,5,keygen,1,43,26.295,measured
SEAL,BGV,8192,5,keygen,1,44,26.213,measured
SEAL,BGV,8192,5,keygen,1,45,26.1007,measured
SEAL,BGV,8192,5,keygen,1,46,25.6731,measured
SEAL,BGV,8192,5,keygen,1,47,26.4559,measured
SEAL,BGV,8192,5,keygen,1,48,27.143,measured
SEAL,BGV,8192,5,keygen,1,49,26.6155,measured
SEAL,BGV,8192,5,keygen,1,50,25.3444,measured
SEAL,BGV,8192,5,keygen,1,51,26.2346,measured
SEAL,BGV,8192,5,keygen,1,52,26.2424,measured
SEAL,BGV,8192,5,keygen,1,53,26.0401,measured
SEAL,BGV,8192,5,keygen,1,54,24.7042,measured
SEAL,BGV,8192,5,keygen,1,55,26.1689,measured
SEAL,BGV,8192,5,keygen,1,56,26.113,measured
SEAL,BGV,8192,5,keygen,1,57,26.0613,measured
SEAL,BGV,8192,5,keygen,1,58,25.3837,measured
SEAL,BGV,8192,5,keygen,1,59,26.4397,measured
SEAL,BGV,8192,5,keygen,1,60,25.7489,measured
SEAL,BGV,8192,5,keygen,1,61,26.8592,measured
SEAL,BGV,8192,5,keygen,1,62,25.1024,measured
SEAL,BGV,8192,5,keygen,1,63,25.8759,measured
SEAL,BGV,8192,5,keygen,1,64,26.3889,measured
SEAL,BGV,8192,5,keygen,1,65,26.4638,measured
SEAL,BGV,8192,5,keygen,1,66,25.5583,measured
SEAL,BGV,8192,5,keygen,1,67,26.3608,measured
SEAL,BGV,8192,5,keygen,1,68,26.1658,measured
SEAL,BGV,8192,5,keygen,1,69,26.224,measured
SEAL,BGV,8192,5,keygen,1,70,25.2232,measured
SEAL,BGV,8192,5,keygen,1,71,26.455,measured
SEAL,BGV,8192,5,keygen,1,72,26.2399,measured
SEAL,BGV,8192,5,keygen,1,73,25.7729,measured
SEAL,BGV,8192,5,keygen,1,74,25.6797,measured
SEAL,BGV,8192,5,keygen,1,75,26.3888,measured
SEAL,BGV,8192,5,keygen,1,76,26.1717,measured
SEAL,BGV,8192,5,keygen,1,77,26.0786,measured
SEAL,BGV,8192,5,keygen,1,78,25.517,measured
SEAL,BGV,8192,5,keygen,1,79,26.3839,measured
SEAL,BGV,8192,5,keygen,1,80,25.8217,measured
SEAL,BGV,8192,5,keygen,1,81,26.8907,measured
SEAL,BGV,8192,5,keygen,1,82,25.0671,measured
SEAL,BGV,8192,5,keygen,1,83,26.1038,measured
SEAL,BGV,8192,5,keygen,1,84,26.4138,measured
SEAL,BGV,8192,5,keygen,1,85,26.2103,measured
SEAL,BGV,8192,5,keygen,1,86,25.6017,measured
SEAL,BGV,8192,5,keygen,1,87,26.5552,measured
SEAL,BGV,8192,5,keygen,1,88,26.2346,measured
SEAL,BGV,8192,5,keygen,1,89,25.9264,measured
SEAL,BGV,8192,5,keygen,1,90,25.3807,measured
SEAL,BGV,8192,5,keygen,1,91,26.4378,measured
SEAL,BGV,8192,5,keygen,1,92,26.2488,measured
SEAL,BGV,8192,5,keygen,1,93,27.2243,measured
SEAL,BGV,8192,5,keygen,1,94,25.2574,measured
SEAL,BGV,8192,5,keygen,1,95,26.2544,measured
SEAL,BGV,8192,5,keygen,1,96,26.1227,measured
SEAL,BGV,8192,5,keygen,1,97,26.1855,measured
SEAL,BGV,8192,5,keygen,1,98,23.806,measured
SEAL,BGV,8192,5,keygen,1,99,26.1602,measured
SEAL,BGV,8192,5,keygen,1,100,26.4766,measured
SEAL,BGV,8192,5,keygen,1,101,26.3117,measured
SEAL,BGV,8192,5,keygen,1,102,24.8947,measured
SEAL,BGV,8192,5,keygen,1,103,26.5138,measured
SEAL,BGV,8192,5,keygen,1,104,26.5394,measured
