library,scheme,N,category,operation,batch_size,iteration,latency_ms,status
SEAL,CKKS,2048,1,keygen,1,0,20.5549,warmup
SEAL,CKKS,2048,1,keygen,1,1,20.1846,warmup
SEAL,CKKS,2048,1,keygen,1,2,19.5799,warmup
SEAL,CKKS,2048,1,keygen,1,3,20.7177,warmup
SEAL,CKKS,2048,1,keygen,1,4,20.4617,warmup
SEAL,CKKS,2048,1,keygen,1,5,20.5124,measured
SEAL,CKKS,2048,1,keygen,1,6,20.6748,measured
SEAL,CKKS,2048,1,keygen,1,7,19.4053,measured
SEAL,CKKS,2048,1,keygen,1,8,20.5625,measured
SEAL,CKKS,2048,1,keygen,1,9,20.6599,measured
SEAL,CKKS,2048,1,keygen,1,10,20.9365,measured
SEAL,CKKS,2048,1,keygen,1,11,20.7182,measured
SEAL,CKKS,2048,1,keygen,1,12,20.3186,measured
SEAL,CKKS,2048,1,keygen,1,13,21.1076,measured
SEAL,CKKS,2048,1,keygen,1,14,20.6051,measured
SEAL,CKKS,2048,1,keygen,1,15,21.13,measured
SEAL,CKKS,2048,1,keygen,1,16,20.6901,measured
SEAL,CKKS,2048,1,keygen,1,17,19.3897,measured
SEAL,CKKS,2048,1,keygen,1,18,21.2731,measured
SEAL,CKKS,2048,1,keygen,1,19,21.2515,measured
SEAL,CKKS,2048,1,keygen,1,20,20.8055,measured
SEAL,CKKS,2048,1,keygen,1,21,19.6105,measured
SEAL,CKKS,2048,1,keygen,1,22,18.5843,measured
SEAL,CKKS,2048,1,keygen,1,23,20.2575,measured
SEAL,CKKS,2048,1,keygen,1,24,20.3252,measured
SEAL,CKKS,2048,1,keygen,1,25,20.0585,measured
SEAL,CKKS,2048,1,keygen,1,26,20.2423,measured
SEAL,CKKS,2048,1,keygen,1,27,20.8385,measured
SEAL,CKKS,2048,1,keygen,1,28,18.7031,measured
SEAL,CKKS,2048,1,keygen,1,29,21.0014,measured
SEAL,CKKS,2048,1,keygen,1,30,20.343,measured
SEAL,CKKS,2048,1,keygen,1,31,20.8167,measured
SEAL,CKKS,2048,1,keygen,1,32,21.9657,measured
SEAL,CKKS,2048,1,keygen,1,33,20.1108,measured
SEAL,CKKS,2048,1,keygen,1,34,20.9948,measured
SEAL,CKKS,2048,1,keygen,1,35,20.9804,measured
SEAL,CKKS,2048,1,keygen,1,36,20.8322,measured
SEAL,CKKS,2048,1,keygen,1,37,20.2919,measured
SEAL,CKKS,2048,1,keygen,1,38,19.0581,measured
SEAL,CKKS,2048,1,keygen,1,39,20.333,measured
SEAL,CKKS,2048,1,keygen,1,40,21.5279,measured
SEAL,CKKS,2048,1,keygen,1,41,21.001,measured
SEAL,CKKS,2048,1,keygen,1,42,21.1713,measured
SEAL,CKKS,2048,1,keygen,1,43,18.8468,measured
SEAL,CKKS,2048,1,keygen,1,44,20.1953,measured
SEAL,CKKS,2048,1,keygen,1,45,20.2557,measured
SEAL,CKKS,2048,1,keygen,1,46,20.3439,measured
SEAL,CKKS,2048,1,keygen,1,47,20.5811,measured
SEAL,CKKS,2048,1,keygen,1,48,18.3009,measured
SEAL,CKKS,2048,1,keygen,1,49,20.4678,measured
SEAL,CKKS,2048,1,keygen,1,50,20.7313,measured
SEAL,CKKS,2048,1,keygen,1,51,20.0991,measured
SEAL,CKKS,2048,1,keygen,1,52,20.9593,measured
SEAL,CKKS,2048,1,keygen,1,53,19.6584,measured
SEAL,CKKS,2048,1,keygen,1,54,20.6461,measured
SEAL,CKKS,2048,1,keygen,1,55,20.0208,measured
SEAL,CKKS,2048,1,keygen,1,56,20.2743,measured
SEAL,CKKS,2048,1,keygen,1,57,21.0141,measured
SEAL,CKKS,2048,1,keygen,1,58,19.7025,measured
SEAL,CKKS,2048,1,keygen,1,59,20.8055,measured
SEAL,CKKS,2048,1,keygen,1,60,21.2238,measured
SEAL,CKKS,2048,1,keygen,1,61,20.7041,measured
SEAL,CKKS,2048,1,keygen,1,62,20.4791,measured
SEAL,CKKS,2048,1,keygen,1,63,19.6917,measured
SEAL,CKKS,2048,1,keygen,1,64,20.7469,measured
SEAL,CKKS,2048,1,keygen,1,65,20.7281,measured
SEAL,CKKS,2048,1,keygen,1,66,20.4701,measured
SEAL,CKKS,2048,1,keygen,1,67,19.8623,measured
SEAL,CKKS,2048,1,keygen,1,68,18.2227,measured
SEAL,CKKS,2048,1,keygen,1,69,20.4058,measured
SEAL,CKKS,2048,1,keygen,1,70,20.4935,measured
SEAL,CKKS,2048,1,keygen,1,71,20.2688,measured
SEAL,CKKS,2048,1,keygen,1,72,20.4718,measured
SEAL,CKKS,2048,1,keygen,1,73,20.9546,measured
SEAL,CKKS,2048,1,keygen,1,74,19.074,measured
SEAL,CKKS,2048,1,keygen,1,75,20.672,measured
SEAL,CKKS,2048,1,keygen,1,76,20.7405,measured
SEAL,CKKS,2048,1,keygen,1,77,19.9407,measured
SEAL,CKKS,2048,1,keygen,1,78,21.1259,measured
SEAL,CKKS,2048,1,keygen,1,79,19.0972,measured
SEAL,CKKS,2048,1,keygen,1,80,20.7379,measured
SEAL,CKKS,2048,1,keygen,1,81,21.5246,measured
SEAL,CKKS,2048,1,keygen,1,82,20.6477,measured
SEAL,CKKS,2048,1,keygen,1,83,20.7019,measured
SEAL,CKKS,2048,1,keygen,1,84,18.7645,measured
SEAL,CKKS,2048,1,keygen,1,85,20.7854,measured
SEAL,CKKS,2048,1,keygen,1,86,20.5804,measured
SEAL,CKKS,2048,1,keygen,1,87,20.8601,measured
SEAL,CKKS,2048,1,keygen,1,88,20.2281,measured
SEAL,CKKS,2048,1,keygen,1,89,18.8978,measured
SEAL,CKKS,2048,1,keygen,1,90,19.6056,measured
SEAL,CKKS,2048,1,keygen,1,91,20.2847,measured
SEAL,CKKS,2048,1,keygen,1,92,20.2216,measured
SEAL,CKKS,2048,1,keygen,1,93,20.2498,measured
SEAL,CKKS,2048,1,keygen,1,94,20.8458,measured
SEAL,CKKS,2048,1,keygen,1,95,20.1794,measured
SEAL,CKKS,2048,1,keygen,1,96,20.3256,measured
SEAL,CKKS,2048,1,keygen,1,97,20.1046,measured
SEAL,CKKS,2048,1,keygen,1,98,20.726,measured
SEAL,CKKS,2048,1,keygen,1,99,19.5982,measured
SEAL,CKKS,2048,1,keygen,1,100,19.9034,measured
SEAL,CKKS,2048,1,keygen,1,101,19.8834,measured
SEAL,CKKS,2048,1,keygen,1,102,19.9644,measured
SEAL,CKKS,2048,1,keygen,1,103,20.5013,measured
SEAL,CKKS,2048,1,keygen,1,104,19.5946,measured
