library,scheme,N,category,operation,batch_size,iteration,latency_ms,status
SEAL,CKKS,4096,1,multiply,1,0,0.197676,warmup
SEAL,CKKS,4096,1,multiply,1,1,0.142681,warmup
SEAL,CKKS,4096,1,multiply,1,2,0.139986,warmup
SEAL,CKKS,4096,1,multiply,1,3,0.141889,warmup
SEAL,CKKS,4096,1,multiply,1,4,0.140186,warmup
SEAL,CKKS,4096,1,multiply,1,5,0.139485,measured
SEAL,CKKS,4096,1,multiply,1,6,0.139965,measured
SEAL,CKKS,4096,1,multiply,1,7,0.140778,measured
SEAL,CKKS,4096,1,multiply,1,8,0.154202,measured
SEAL,CKKS,4096,1,multiply,1,9,0.144184,measured
SEAL,CKKS,4096,1,multiply,1,10,0.148192,measured
SEAL,CKKS,4096,1,multiply,1,11,0.171776,measured
SEAL,CKKS,4096,1,multiply,1,12,0.145777,measured
SEAL,CKKS,4096,1,multiply,1,13,0.146779,measured
SEAL,CKKS,4096,1,multiply,1,14,0.149804,measured
SEAL,CKKS,4096,1,multiply,1,15,0.148702,measured
SEAL,CKKS,4096,1,multiply,1,16,0.147219,measured
SEAL,CKKS,4096,1,multiply,1,17,0.144795,measured
SEAL,CKKS,4096,1,multiply,1,18,0.148462,measured
SEAL,CKKS,4096,1,multiply,1,19,0.14748,measured
SEAL,CKKS,4096,1,multiply,1,20,0.146598,measured
SEAL,CKKS,4096,1,multiply,1,21,0.144695,measured
SEAL,CKKS,4096,1,multiply,1,22,0.145496,measured
SEAL,CKKS,4096,1,multiply,1,23,0.145526,measured
SEAL,CKKS,4096,1,multiply,1,24,0.143603,measured
SEAL,CKKS,4096,1,multiply,1,25,0.143803,measured
SEAL,CKKS,4096,1,multiply,1,26,0.153632,measured
SEAL,CKKS,4096,1,multiply,1,27,0.146308,measured
SEAL,CKKS,4096,1,multiply,1,28,0.146488,measured
SEAL,CKKS,4096,1,multiply,1,29,0.166225,measured
SEAL,CKKS,4096,1,multiply,1,30,0.146789,measured
SEAL,CKKS,4096,1,multiply,1,31,0.146608,measured
SEAL,CKKS,4096,1,multiply,1,32,0.15259,measured
SEAL,CKKS,4096,1,multiply,1,33,0.155155,measured
SEAL,CKKS,4096,1,multiply,1,34,0.146428,measured
SEAL,CKKS,4096,1,multiply,1,35,0.150776,measured
SEAL,CKKS,4096,1,multiply,1,36,0.146999,measured
SEAL,CKKS,4096,1,multiply,1,37,0.147069,measured
