library,scheme,N,category,operation,batch_size,iteration,latency_ms,status
SEAL,CKKS,8192,1,encrypt,10,0,27.4066,warmup
SEAL,CKKS,8192,1,encrypt,10,1,27.2903,warmup
SEAL,CKKS,8192,1,encrypt,10,2,27.2804,warmup
SEAL,CKKS,8192,1,encrypt,10,3,27.271,measured
SEAL,CKKS,8192,1,encrypt,10,4,27.1794,measured
SEAL,CKKS,8192,1,encrypt,10,5,27.2493,measured
SEAL,CKKS,8192,1,encrypt,10,6,27.1994,measured
SEAL,CKKS,8192,1,encrypt,10,7,27.3996,measured
SEAL,CKKS,8192,1,encrypt,10,8,27.2772,measured
SEAL,CKKS,8192,1,encrypt,10,9,27.5494,measured
SEAL,CKKS,8192,1,encrypt,10,10,27.3183,measured
SEAL,CKKS,8192,1,encrypt,10,11,27.2805,measured
SEAL,CKKS,8192,1,encrypt,10,12,27.3865,measured
SEAL,CKKS,8192,1,encrypt,10,13,27.3642,measured
SEAL,CKKS,8192,1,encrypt,10,14,27.5939,measured
SEAL,CKKS,8192,1,encrypt,10,15,27.9875,measured
SEAL,CKKS,8192,1,encrypt,10,16,27.539,measured
SEAL,CKKS,8192,1,encrypt,10,17,27.381,measured
SEAL,CKKS,8192,1,encrypt,10,18,27.3946,measured
SEAL,CKKS,8192,1,encrypt,10,19,31.4715,measured
SEAL,CKKS,8192,1,encrypt,10,20,27.5926,measured
SEAL,CKKS,8192,1,encrypt,10,21,27.9011,measured
SEAL,CKKS,8192,1,encrypt,10,22,27.7222,measured
SEAL,CKKS,8192,1,encrypt,10,23,27.841,measured
SEAL,CKKS,8192,1,encrypt,10,24,27.6688,measured
SEAL,CKKS,8192,1,encrypt,10,25,27.4902,measured
SEAL,CKKS,8192,1,encrypt,10,26,27.3682,measured
SEAL,CKKS,8192,1,encrypt,10,27,27.6062,measured
SEAL,CKKS,8192,1,encrypt,10,28,27.5306,measured
SEAL,CKKS,8192,1,encrypt,10,29,27.4799,measured
SEAL,CKKS,8192,1,encrypt,10,30,27.403,measured
SEAL,CKKS,8192,1,encrypt,10,31,27.2948,measured
SEAL,CKKS,8192,1,encrypt,10,32,27.3244,measured
