library,scheme,N,category,operation,batch_size,iteration,latency_ms,status
SEAL,CKKS,8192,3,relinearize,10,0,11.7634,warmup
SEAL,CKKS,8192,3,relinearize,10,1,11.3184,warmup
SEAL,CKKS,8192,3,relinearize,10,2,11.309,warmup
SEAL,CKKS,8192,3,relinearize,10,3,11.6771,measured
SEAL,CKKS,8192,3,relinearize,10,4,11.6216,measured
SEAL,CKKS,8192,3,relinearize,10,5,11.4571,measured
SEAL,CKKS,8192,3,relinearize,10,6,11.8565,measured
SEAL,CKKS,8192,3,relinearize,10,7,11.5699,measured
SEAL,CKKS,8192,3,relinearize,10,8,11.3737,measured
SEAL,CKKS,8192,3,relinearize,10,9,11.3789,measured
SEAL,CKKS,8192,3,relinearize,10,10,11.5057,measured
SEAL,CKKS,8192,3,relinearize,10,11,11.6821,measured
SEAL,CKKS,8192,3,relinearize,10,12,11.6413,measured
SEAL,CKKS,8192,3,relinearize,10,13,11.4833,measured
SEAL,CKKS,8192,3,relinearize,10,14,11.5539,measured
SEAL,CKKS,8192,3,relinearize,10,15,11.6716,measured
SEAL,CKKS,8192,3,relinearize,10,16,11.8403,measured
SEAL,CKKS,8192,3,relinearize,10,17,11.9037,measured
SEAL,CKKS,8192,3,relinearize,10,18,11.5065,measured
SEAL,CKKS,8192,3,relinearize,10,19,11.4256,measured
SEAL,CKKS,8192,3,relinearize,10,20,11.3867,measured
SEAL,CKKS,8192,3,relinearize,10,21,11.8512,measured
SEAL,CKKS,8192,3,relinearize,10,22,11.4957,measured
SEAL,CKKS,8192,3,relinearize,10,23,11.7587,measured
SEAL,CKKS,8192,3,relinearize,10,24,11.5479,measured
SEAL,CKKS,8192,3,relinearize,10,25,11.7655,measured
SEAL,CKKS,8192,3,relinearize,10,26,11.3946,measured
SEAL,CKKS,8192,3,relinearize,10,27,11.8505,measured
SEAL,CKKS,8192,3,relinearize,10,28,11.9722,measured
SEAL,CKKS,8192,3,relinearize,10,29,11.6495,measured
SEAL,CKKS,8192,3,relinearize,10,30,11.5793,measured
SEAL,CKKS,8192,3,relinearize,10,31,11.7261,measured
SEAL,CKKS,8192,3,relinearize,10,32,11.9878,measured
