library,scheme,N,category,grid_depth,trial,step_index,step_name,max_abs_error,mean_abs_error,correctness,status
SEAL,CKKS,4096,1,1,0,0,fresh,1.46992e-05,1.82347e-06,correct,measured
SEAL,CKKS,4096,1,1,0,1,after_add,2.05273e-05,2.54291e-06,correct,measured
SEAL,CKKS,4096,1,1,0,2,after_multiply_1,2.54932e-05,1.92495e-06,correct,measured
SEAL,CKKS,4096,1,1,0,3,after_relinearize_1,2.54932e-05,1.92495e-06,correct,measured
SEAL,CKKS,4096,1,1,0,4,after_rescale_1,0.000578659,5.70809e-05,correct,measured
SEAL,CKKS,4096,1,1,1,0,fresh,1.30607e-05,1.78981e-06,correct,measured
SEAL,CKKS,4096,1,1,1,1,after_add,1.92448e-05,2.58803e-06,correct,measured
SEAL,CKKS,4096,1,1,1,2,after_multiply_1,1.67856e-05,1.90865e-06,correct,measured
SEAL,CKKS,4096,1,1,1,3,after_relinearize_1,1.67856e-05,1.90865e-06,correct,measured
SEAL,CKKS,4096,1,1,1,4,after_rescale_1,0.000451066,5.78937e-05,correct,measured
SEAL,CKKS,4096,1,1,2,0,fresh,1.44022e-05,1.83624e-06,correct,measured
SEAL,CKKS,4096,1,1,2,1,after_add,2.29471e-05,2.60124e-06,correct,measured
SEAL,CKKS,4096,1,1,2,2,after_multiply_1,1.8768e-05,1.9546e-06,correct,measured
SEAL,CKKS,4096,1,1,2,3,after_relinearize_1,1.8768e-05,1.9546e-06,correct,measured
SEAL,CKKS,4096,1,1,2,4,after_rescale_1,0.000482826,5.85012e-05,correct,measured
SEAL,CKKS,4096,1,1,3,0,fresh,1.39639e-05,1.82467e-06,correct,measured
SEAL,CKKS,4096,1,1,3,1,after_add,2.31515e-05,2.59935e-06,correct,measured
SEAL,CKKS,4096,1,1,3,2,after_multiply_1,1.6572e-05,1.89843e-06,correct,measured
SEAL,CKKS,4096,1,1,3,3,after_relinearize_1,1.6572e-05,1.89843e-06,correct,measured
SEAL,CKKS,4096,1,1,3,4,after_rescale_1,0.00045702,5.76727e-05,correct,measured
SEAL,CKKS,4096,1,1,4,0,fresh,1.92367e-05,1.77145e-06,correct,measured
SEAL,CKKS,4096,1,1,4,1,after_add,1.86915e-05,2.53299e-06,correct,measured
SEAL,CKKS,4096,1,1,4,2,after_multiply_1,2.08794e-05,1.87965e-06,correct,measured
SEAL,CKKS,4096,1,1,4,3,after_relinearize_1,2.08794e-05,1.87965e-06,correct,measured
SEAL,CKKS,4096,1,1,4,4,after_rescale_1,0.000619064,5.67284e-05,correct,measured
SEAL,CKKS,4096,1,1,5,0,fresh,1.37927e-05,1.77864e-06,correct,measured
SEAL,CKKS,4096,1,1,5,1,after_add,2.28861e-05,2.55547e-06,correct,measured
SEAL,CKKS,4096,1,1,5,2,after_multiply_1,1.82844e-05,1.94958e-06,correct,measured
SEAL,CKKS,4096,1,1,5,3,after_relinearize_1,1.82844e-05,1.94958e-06,correct,measured
SEAL,CKKS,4096,1,1,5,4,after_rescale_1,0.000548837,5.84584e-05,correct,measured
SEAL,CKKS,4096,1,1,6,0,fresh,1.30222e-05,1.79934e-06,correct,measured
SEAL,CKKS,4096,1,1,6,1,after_add,2.49408e-05,2.52662e-06,correct,measured
SEAL,CKKS,4096,1,1,6,2,after_multiply_1,2.21584e-05,1.90763e-06,correct,measured
SEAL,CKKS,4096,1,1,6,3,after_relinearize_1,2.21584e-05,1.90763e-06,correct,measured
SEAL,CKKS,4096,1,1,6,4,after_rescale_1,0.000436753,5.64617e-05,correct,measured
SEAL,CKKS,4096,1,1,7,0,fresh,1.54901e-05,1.79891e-06,correct,measured
SEAL,CKKS,4096,1,1,7,1,after_add,2.13138e-05,2.49704e-06,correct,measured
SEAL,CKKS,4096,1,1,7,2,after_multiply_1,1.99976e-05,1.9361e-06,correct,measured
SEAL,CKKS,4096,1,1,7,3,after_relinearize_1,1.99976e-05,1.9361e-06,correct,measured
SEAL,CKKS,4096,1,1,7,4,after_rescale_1,0.000347684,5.75567e-05,correct,measured
SEAL,CKKS,4096,1,1,8,0,fresh,1.68885e-05,1.77632e-06,correct,measured
SEAL,CKKS,4096,1,1,8,1,after_add,2.0171e-05,2.51375e-06,correct,measured
SEAL,CKKS,4096,1,1,8,2,after_multiply_1,2.04124e-05,1.83709e-06,correct,measured
SEAL,CKKS,4096,1,1,8,3,after_relinearize_1,2.04124e-05,1.83709e-06,correct,measured
SEAL,CKKS,4096,1,1,8,4,after_rescale_1,0.000432776,5.69384e-05,correct,measured
SEAL,CKKS,4096,1,1,9,0,fresh,1.37187e-05,1.79354e-06,correct,measured
SEAL,CKKS,4096,1,1,9,1,after_add,2.18476e-05,2.51958e-06,correct,measured
SEAL,CKKS,4096,1,1,9,2,after_multiply_1,2.5458e-05,1.9606e-06,correct,measured
SEAL,CKKS,4096,1,1,9,3,after_relinearize_1,2.5458e-05,1.9606e-06,correct,measured
SEAL,CKKS,4096,1,1,9,4,after_rescale_1,0.000520771,6.00952e-05,correct,measured
