library,scheme,N,category,grid_depth,trial,step_index,step_name,max_abs_error,mean_abs_error,status
SEAL,CKKS,4096,5,0,0,0,fresh,5.52643,0.93668,measured
SEAL,CKKS,4096,5,0,0,1,after_add,9.16242,1.32594,measured
SEAL,CKKS,4096,5,0,1,0,fresh,7.19324,0.932712,measured
SEAL,CKKS,4096,5,0,1,1,after_add,8.60673,1.32095,measured
SEAL,CKKS,4096,5,0,2,0,fresh,7.66295,0.961278,measured
SEAL,CKKS,4096,5,0,2,1,after_add,15.0091,1.34151,measured
SEAL,CKKS,4096,5,0,3,0,fresh,6.45272,0.940395,measured
SEAL,CKKS,4096,5,0,3,1,after_add,10.8053,1.32617,measured
SEAL,CKKS,4096,5,0,4,0,fresh,7.31473,0.946742,measured
SEAL,CKKS,4096,5,0,4,1,after_add,11.6021,1.34227,measured
SEAL,CKKS,4096,5,0,5,0,fresh,7.81897,0.963248,measured
SEAL,CKKS,4096,5,0,5,1,after_add,9.61098,1.36074,measured
SEAL,CKKS,4096,5,0,6,0,fresh,6.68654,0.957298,measured
SEAL,CKKS,4096,5,0,6,1,after_add,10.0489,1.34664,measured
SEAL,CKKS,4096,5,0,7,0,fresh,7.20361,0.949992,measured
SEAL,CKKS,4096,5,0,7,1,after_add,9.00006,1.32419,measured
SEAL,CKKS,4096,5,0,8,0,fresh,6.6411,0.962779,measured
SEAL,CKKS,4096,5,0,8,1,after_add,11.6156,1.40181,measured
SEAL,CKKS,4096,5,0,9,0,fresh,6.80455,0.964482,measured
SEAL,CKKS,4096,5,0,9,1,after_add,9.18713,1.3456,measured
