library,scheme,N,category,grid_depth,trial,step_index,step_name,max_abs_error,mean_abs_error,status
SEAL,BFV,2048,1,0,,,,,,"skipped_not_applicable_bfv"
SEAL,BFV,2048,3,0,,,,,,"skipped_not_applicable_bfv"
SEAL,BFV,2048,5,0,,,,,,"skipped_not_applicable_bfv"
SEAL,BFV,4096,1,1,,,,,,"skipped_not_applicable_bfv"
SEAL,BFV,4096,3,0,,,,,,"skipped_not_applicable_bfv"
SEAL,BFV,4096,5,0,,,,,,"skipped_not_applicable_bfv"
SEAL,BFV,8192,1,2,,,,,,"skipped_not_applicable_bfv"
SEAL,BFV,8192,3,1,,,,,,"skipped_not_applicable_bfv"
SEAL,BFV,8192,5,0,,,,,,"skipped_not_applicable_bfv"
SEAL,BGV,2048,1,0,,,,,,"skipped_not_applicable_bfv"
SEAL,BGV,2048,3,0,,,,,,"skipped_not_applicable_bfv"
SEAL,BGV,2048,5,0,,,,,,"skipped_not_applicable_bfv"
SEAL,BGV,4096,1,1,,,,,,"skipped_not_applicable_bfv"
SEAL,BGV,4096,3,0,,,,,,"skipped_not_applicable_bfv"
SEAL,BGV,4096,5,0,,,,,,"skipped_not_applicable_bfv"
SEAL,BGV,8192,1,2,,,,,,"skipped_not_applicable_bfv"
SEAL,BGV,8192,3,1,,,,,,"skipped_not_applicable_bfv"
SEAL,BGV,8192,5,0,,,,,,"skipped_not_applicable_bfv"
SEAL,CKKS,2048,1,0,0,0,fresh,7.48841,0.987563,measured
SEAL,CKKS,2048,1,0,0,1,after_add,9.31362,1.39322,measured
SEAL,CKKS,2048,1,0,1,0,fresh,8.89729,0.918306,measured
SEAL,CKKS,2048,1,0,1,1,after_add,9.62451,1.29632,measured
SEAL,CKKS,2048,1,0,2,0,fresh,7.84314,0.918566,measured
SEAL,CKKS,2048,1,0,2,1,after_add,9.4418,1.2476,measured
SEAL,CKKS,2048,1,0,3,0,fresh,5.85794,0.920705,measured
SEAL,CKKS,2048,1,0,3,1,after_add,10.0594,1.32912,measured
SEAL,CKKS,2048,1,0,4,0,fresh,7.39845,0.913897,measured
SEAL,CKKS,2048,1,0,4,1,after_add,8.4829,1.2102,measured
SEAL,CKKS,2048,1,0,5,0,fresh,6.6746,0.976241,measured
SEAL,CKKS,2048,1,0,5,1,after_add,8.53696,1.29916,measured
SEAL,CKKS,2048,1,0,6,0,fresh,7.30407,0.925715,measured
SEAL,CKKS,2048,1,0,6,1,after_add,11.7981,1.36119,measured
SEAL,CKKS,2048,1,0,7,0,fresh,6.81328,0.927302,measured
SEAL,CKKS,2048,1,0,7,1,after_add,9.57289,1.31765,measured
SEAL,CKKS,2048,1,0,8,0,fresh,7.50266,0.962821,measured
SEAL,CKKS,2048,1,0,8,1,after_add,8.12908,1.41164,measured
SEAL,CKKS,2048,1,0,9,0,fresh,8.50311,0.925736,measured
SEAL,CKKS,2048,1,0,9,1,after_add,12.0841,1.30957,measured
SEAL,CKKS,2048,3,0,0,0,fresh,144.021,15.3611,measured
SEAL,CKKS,2048,3,0,0,1,after_add,166.865,21.2773,measured
SEAL,CKKS,2048,3,0,1,0,fresh,106.295,15.329,measured
SEAL,CKKS,2048,3,0,1,1,after_add,140.278,21.3527,measured
SEAL,CKKS,2048,3,0,2,0,fresh,108.754,14.4263,measured
SEAL,CKKS,2048,3,0,2,1,after_add,190.273,21.1684,measured
SEAL,CKKS,2048,3,0,3,0,fresh,119.155,14.518,measured
SEAL,CKKS,2048,3,0,3,1,after_add,170.362,20.7998,measured
SEAL,CKKS,2048,3,0,4,0,fresh,91.096,14.5394,measured
SEAL,CKKS,2048,3,0,4,1,after_add,129.801,20.8474,measured
SEAL,CKKS,2048,3,0,5,0,fresh,137.48,14.3051,measured
SEAL,CKKS,2048,3,0,5,1,after_add,157.134,20.2162,measured
SEAL,CKKS,2048,3,0,6,0,fresh,94.6186,14.8994,measured
SEAL,CKKS,2048,3,0,6,1,after_add,179.649,21.3198,measured
SEAL,CKKS,2048,3,0,7,0,fresh,100.832,14.613,measured
SEAL,CKKS,2048,3,0,7,1,after_add,130.991,21.0404,measured
SEAL,CKKS,2048,3,0,8,0,fresh,99.7882,15.1787,measured
