library,scheme,N,category,poly_modulus_degree,coeff_modulus_chain,secret_distribution,error_distribution,batching_enabled,slots_used,plain_modulus,initial_scale,rescaling_policy,precision_criterion,status
SEAL,BFV,2048,1,2048,"26+26",uniform_ternary,centered_binomial_sigma_3.2,true,2048,12289,,"","",measured
SEAL,BFV,2048,3,2048,"17+17",uniform_ternary,centered_binomial_sigma_3.2,true,2048,1032193,,"","",measured
SEAL,BFV,2048,5,2048,"26",uniform_ternary,centered_binomial_sigma_3.2,true,2048,12289,,"","",measured
SEAL,BFV,4096,1,4096,"33+33+34",uniform_ternary,centered_binomial_sigma_3.2,true,4096,1032193,,"","",measured
SEAL,BFV,4096,3,4096,"34+34",uniform_ternary,centered_binomial_sigma_3.2,true,4096,1032193,,"","",measured
SEAL,BFV,4096,5,4096,"27+28",uniform_ternary,centered_binomial_sigma_3.2,true,4096,40961,,"","",measured
SEAL,BFV,8192,1,8192,"60+40+40+60",uniform_ternary,centered_binomial_sigma_3.2,true,8192,1032193,,"","",measured
SEAL,BFV,8192,3,8192,"46+47+47",uniform_ternary,centered_binomial_sigma_3.2,true,8192,1032193,,"","",measured
SEAL,BFV,8192,5,8192,"54+54",uniform_ternary,centered_binomial_sigma_3.2,true,8192,1032193,,"","",measured
SEAL,BGV,2048,1,2048,"26+26",uniform_ternary,centered_binomial_sigma_3.2,true,2048,12289,,"","",measured
SEAL,BGV,2048,3,2048,"17+17",uniform_ternary,centered_binomial_sigma_3.2,true,2048,1032193,,"","",measured
SEAL,BGV,2048,5,2048,"26",uniform_ternary,centered_binomial_sigma_3.2,true,2048,12289,,"","",measured
SEAL,BGV,4096,1,4096,"33+33+34",uniform_ternary,centered_binomial_sigma_3.2,true,4096,1032193,,"","",measured
SEAL,BGV,4096,3,4096,"34+34",uniform_ternary,centered_binomial_sigma_3.2,true,4096,1032193,,"","",measured
SEAL,BGV,4096,5,4096,"27+28",uniform_ternary,centered_binomial_sigma_3.2,true,4096,40961,,"","",measured
SEAL,BGV,8192,1,8192,"60+40+40+60",uniform_ternary,centered_binomial_sigma_3.2,true,8192,1032193,,"","",measured
SEAL,BGV,8192,3,8192,"46+47+47",uniform_ternary,centered_binomial_sigma_3.2,true,8192,1032193,,"","",measured
SEAL,BGV,8192,5,8192,"54+54",uniform_ternary,centered_binomial_sigma_3.2,true,8192,1032193,,"","",measured
SEAL,CKKS,2048,1,2048,"26+26",uniform_ternary,centered_binomial_sigma_3.2,true,1024,,16777216.000000,"manual, after every multiply -- applies to the ckks_error trace ONLY; the six timed CKKS operations never rescale, to isolate raw per-op cost","none fixed; raw max_abs_error/mean_abs_error reported per step (see --operation=ckks_error)",measured
SEAL,CKKS,2048,3,2048,"17+17",uniform_ternary,centered_binomial_sigma_3.2,true,1024,,32768.000000,"manual, after every multiply -- applies to the ckks_error trace ONLY; the six timed CKKS operations never rescale, to isolate raw per-op cost","none fixed; raw max_abs_error/mean_abs_error reported per step (see --operation=ckks_error)",measured
SEAL,CKKS,2048,5,2048,"26",uniform_ternary,centered_binomial_sigma_3.2,true,1024,,256.000000,"manual, after every multiply -- applies to the ckks_error trace ONLY; the six timed CKKS operations never rescale, to isolate raw per-op cost","none fixed; raw max_abs_error/mean_abs_error reported per step (see --operation=ckks_error)",measured
SEAL,CKKS,4096,1,4096,"33+33+34",uniform_ternary,centered_binomial_sigma_3.2,true,2048,,268435456.000000,"manual, after every multiply -- applies to the ckks_error trace ONLY; the six timed CKKS operations never rescale, to isolate raw per-op cost","none fixed; raw max_abs_error/mean_abs_error reported per step (see --operation=ckks_error)",measured
SEAL,CKKS,4096,3,4096,"34+34",uniform_ternary,centered_binomial_sigma_3.2,true,2048,,4294967296.000000,"manual, after every multiply -- applies to the ckks_error trace ONLY; the six timed CKKS operations never rescale, to isolate raw per-op cost","none fixed; raw max_abs_error/mean_abs_error reported per step (see --operation=ckks_error)",measured
SEAL,CKKS,4096,5,4096,"27+28",uniform_ternary,centered_binomial_sigma_3.2,true,2048,,16777216.000000,"manual, after every multiply -- applies to the ckks_error trace ONLY; the six timed CKKS operations never rescale, to isolate raw per-op cost","none fixed; raw max_abs_error/mean_abs_error reported per step (see --operation=ckks_error)",measured
SEAL,CKKS,8192,1,8192,"60+40+40+60",uniform_ternary,centered_binomial_sigma_3.2,true,4096,,1099511627776.000000,"manual, after every multiply -- applies to the ckks_error trace ONLY; the six timed CKKS operations never rescale, to isolate raw per-op cost","none fixed; raw max_abs_error/mean_abs_error reported per step (see --operation=ckks_error)",measured
SEAL,CKKS,8192,3,8192,"46+47+47",uniform_ternary,centered_binomial_sigma_3.2,true,4096,,1099511627776.000000,"manual, after every multiply -- applies to the ckks_error trace ONLY; the six timed CKKS operations never rescale, to isolate raw per-op cost","none fixed; raw max_abs_error/mean_abs_error reported per step (see --operation=ckks_error)",measured
SEAL,CKKS,8192,5,8192,"54+54",uniform_ternary,centered_binomial_sigma_3.2,true,4096,,1099511627776.000000,"manual, after every multiply -- applies to the ckks_error trace ONLY; the six timed CKKS operations never rescale, to isolate raw per-op cost","none fixed; raw max_abs_error/mean_abs_error reported per step (see --operation=ckks_error)",measured
