library,scheme,N,category,grid_depth,effective_depth,trial,step_index,step_name,noise_budget_bits,correctness,status
SEAL,BFV,2048,1,0,0,0,0,fresh,6,correct,measured
SEAL,BFV,2048,1,0,0,0,1,after_add,5,correct,measured
SEAL,BFV,2048,1,0,0,1,0,fresh,6,correct,measured
SEAL,BFV,2048,1,0,0,1,1,after_add,5,correct,measured
SEAL,BFV,2048,1,0,0,2,0,fresh,6,correct,measured
SEAL,BFV,2048,1,0,0,2,1,after_add,5,correct,measured
SEAL,BFV,2048,1,0,0,3,0,fresh,6,correct,measured
SEAL,BFV,2048,1,0,0,3,1,after_add,5,correct,measured
SEAL,BFV,2048,1,0,0,4,0,fresh,5,correct,measured
SEAL,BFV,2048,1,0,0,4,1,after_add,5,correct,measured
SEAL,BFV,2048,1,0,0,5,0,fresh,6,correct,measured
SEAL,BFV,2048,1,0,0,5,1,after_add,5,correct,measured
SEAL,BFV,2048,1,0,0,6,0,fresh,6,correct,measured
SEAL,BFV,2048,1,0,0,6,1,after_add,5,correct,measured
SEAL,BFV,2048,1,0,0,7,0,fresh,6,correct,measured
SEAL,BFV,2048,1,0,0,7,1,after_add,5,correct,measured
SEAL,BFV,2048,1,0,0,8,0,fresh,6,correct,measured
SEAL,BFV,2048,1,0,0,8,1,after_add,5,correct,measured
SEAL,BFV,2048,1,0,0,9,0,fresh,6,correct,measured
SEAL,BFV,2048,1,0,0,9,1,after_add,5,correct,measured
SEAL,BFV,2048,3,0,0,0,0,fresh,3,correct,measured
SEAL,BFV,2048,3,0,0,0,1,after_add,3,correct,measured
SEAL,BFV,2048,3,0,0,1,0,fresh,3,correct,measured
SEAL,BFV,2048,3,0,0,1,1,after_add,3,correct,measured
SEAL,BFV,2048,3,0,0,2,0,fresh,3,correct,measured
SEAL,BFV,2048,3,0,0,2,1,after_add,3,correct,measured
SEAL,BFV,2048,3,0,0,3,0,fresh,3,correct,measured
SEAL,BFV,2048,3,0,0,3,1,after_add,3,correct,measured
SEAL,BFV,2048,3,0,0,4,0,fresh,3,correct,measured
SEAL,BFV,2048,3,0,0,4,1,after_add,3,correct,measured
SEAL,BFV,2048,3,0,0,5,0,fresh,3,correct,measured
SEAL,BFV,2048,3,0,0,5,1,after_add,3,correct,measured
SEAL,BFV,2048,3,0,0,6,0,fresh,4,correct,measured
SEAL,BFV,2048,3,0,0,6,1,after_add,3,correct,measured
SEAL,BFV,2048,3,0,0,7,0,fresh,3,correct,measured
SEAL,BFV,2048,3,0,0,7,1,after_add,3,correct,measured
SEAL,BFV,2048,3,0,0,8,0,fresh,3,correct,measured
SEAL,BFV,2048,3,0,0,8,1,after_add,3,correct,measured
SEAL,BFV,2048,3,0,0,9,0,fresh,3,correct,measured
SEAL,BFV,2048,3,0,0,9,1,after_add,3,correct,measured
SEAL,BFV,2048,5,0,0,0,0,fresh,1,correct,measured
SEAL,BFV,2048,5,0,0,0,1,after_add,1,correct,measured
SEAL,BFV,2048,5,0,0,1,0,fresh,2,correct,measured
SEAL,BFV,2048,5,0,0,1,1,after_add,1,correct,measured
SEAL,BFV,2048,5,0,0,2,0,fresh,2,correct,measured
SEAL,BFV,2048,5,0,0,2,1,after_add,1,correct,measured
SEAL,BFV,2048,5,0,0,3,0,fresh,2,correct,measured
SEAL,BFV,2048,5,0,0,3,1,after_add,1,correct,measured
SEAL,BFV,2048,5,0,0,4,0,fresh,2,correct,measured
SEAL,BFV,2048,5,0,0,4,1,after_add,1,correct,measured
SEAL,BFV,2048,5,0,0,5,0,fresh,2,correct,measured
SEAL,BFV,2048,5,0,0,5,1,after_add,1,correct,measured
SEAL,BFV,2048,5,0,0,6,0,fresh,2,correct,measured
SEAL,BFV,2048,5,0,0,6,1,after_add,1,correct,measured
SEAL,BFV,2048,5,0,0,7,0,fresh,1,correct,measured
SEAL,BFV,2048,5,0,0,7,1,after_add,1,correct,measured
SEAL,BFV,2048,5,0,0,8,0,fresh,2,correct,measured
SEAL,BFV,2048,5,0,0,8,1,after_add,1,correct,measured
SEAL,BFV,2048,5,0,0,9,0,fresh,2,correct,measured
SEAL,BFV,2048,5,0,0,9,1,after_add,1,correct,measured
SEAL,BFV,4096,1,1,1,0,0,fresh,39,correct,measured
SEAL,BFV,4096,1,1,1,0,1,after_add,38,correct,measured
SEAL,BFV,4096,1,1,1,0,2,after_multiply_1,8,correct,measured
SEAL,BFV,4096,1,1,1,0,3,after_relinearize_1,8,correct,measured
SEAL,BFV,4096,1,1,1,1,0,fresh,39,correct,measured
SEAL,BFV,4096,1,1,1,1,1,after_add,38,correct,measured
SEAL,BFV,4096,1,1,1,1,2,after_multiply_1,8,correct,measured
SEAL,BFV,4096,1,1,1,1,3,after_relinearize_1,8,correct,measured
SEAL,BFV,4096,1,1,1,2,0,fresh,39,correct,measured
SEAL,BFV,4096,1,1,1,2,1,after_add,38,correct,measured
SEAL,BFV,4096,1,1,1,2,2,after_multiply_1,8,correct,measured
