library,scheme,N,category,artifact,size_bytes,status
SEAL,BFV,2048,1,ciphertext,32881,measured
SEAL,BFV,2048,1,public_key,65649,measured
SEAL,BFV,2048,1,secret_key,32856,measured
SEAL,BFV,2048,1,relin_keys,0,skipped_depth0
SEAL,BFV,2048,3,ciphertext,65649,measured
SEAL,BFV,2048,3,public_key,65649,measured
SEAL,BFV,2048,3,secret_key,32856,measured
SEAL,BFV,2048,3,relin_keys,0,skipped_depth0
SEAL,BFV,4096,1,ciphertext,131185,measured
SEAL,BFV,4096,1,public_key,196721,measured
SEAL,BFV,4096,1,secret_key,98392,measured
SEAL,BFV,4096,1,relin_keys,393506,measured
SEAL,BFV,4096,3,ciphertext,65649,measured
SEAL,BFV,4096,3,public_key,131185,measured
SEAL,BFV,4096,3,secret_key,65624,measured
SEAL,BFV,4096,3,relin_keys,0,skipped_depth0
SEAL,BFV,4096,5,ciphertext,65649,measured
SEAL,BFV,4096,5,public_key,131185,measured
SEAL,BFV,4096,5,secret_key,65624,measured
SEAL,BFV,4096,5,relin_keys,0,skipped_depth0
SEAL,BFV,8192,1,ciphertext,393329,measured
SEAL,BFV,8192,1,public_key,524401,measured
SEAL,BFV,8192,1,secret_key,262232,measured
SEAL,BFV,8192,1,relin_keys,1573267,measured
SEAL,BFV,8192,3,ciphertext,262257,measured
SEAL,BFV,8192,3,public_key,393329,measured
SEAL,BFV,8192,3,secret_key,196696,measured
SEAL,BFV,8192,3,relin_keys,786722,measured
SEAL,BFV,8192,5,ciphertext,131185,measured
SEAL,BFV,8192,5,public_key,262257,measured
SEAL,BFV,8192,5,secret_key,131160,measured
SEAL,BFV,8192,5,relin_keys,0,skipped_depth0
SEAL,BGV,2048,1,ciphertext,32881,measured
SEAL,BGV,2048,1,public_key,65649,measured
SEAL,BGV,2048,1,secret_key,32856,measured
SEAL,BGV,2048,1,relin_keys,0,skipped_depth0
SEAL,BGV,2048,3,ciphertext,65649,measured
SEAL,BGV,2048,3,public_key,65649,measured
SEAL,BGV,2048,3,secret_key,32856,measured
SEAL,BGV,2048,3,relin_keys,0,skipped_depth0
SEAL,BGV,4096,1,ciphertext,131185,measured
SEAL,BGV,4096,1,public_key,196721,measured
SEAL,BGV,4096,1,secret_key,98392,measured
SEAL,BGV,4096,1,relin_keys,393506,measured
SEAL,BGV,4096,3,ciphertext,65649,measured
SEAL,BGV,4096,3,public_key,131185,measured
SEAL,BGV,4096,3,secret_key,65624,measured
SEAL,BGV,4096,3,relin_keys,0,skipped_depth0
SEAL,BGV,4096,5,ciphertext,65649,measured
SEAL,BGV,4096,5,public_key,131185,measured
SEAL,BGV,4096,5,secret_key,65624,measured
SEAL,BGV,4096,5,relin_keys,0,skipped_depth0
SEAL,BGV,8192,1,ciphertext,393329,measured
SEAL,BGV,8192,1,public_key,524401,measured
SEAL,BGV,8192,1,secret_key,262232,measured
SEAL,BGV,8192,1,relin_keys,1573267,measured
SEAL,BGV,8192,3,ciphertext,262257,measured
SEAL,BGV,8192,3,public_key,393329,measured
SEAL,BGV,8192,3,secret_key,196696,measured
SEAL,BGV,8192,3,relin_keys,786722,measured
SEAL,BGV,8192,5,ciphertext,131185,measured
SEAL,BGV,8192,5,public_key,262257,measured
SEAL,BGV,8192,5,secret_key,131160,measured
SEAL,BGV,8192,5,relin_keys,0,skipped_depth0
SEAL,CKKS,2048,1,ciphertext,32881,measured
SEAL,CKKS,2048,1,public_key,65649,measured
SEAL,CKKS,2048,1,secret_key,32856,measured
SEAL,CKKS,2048,1,relin_keys,0,skipped_depth0
SEAL,CKKS,2048,3,ciphertext,32881,measured
SEAL,CKKS,2048,3,public_key,65649,measured
SEAL,CKKS,2048,3,secret_key,32856,measured
SEAL,CKKS,2048,3,relin_keys,0,skipped_depth0
SEAL,CKKS,4096,1,ciphertext,131185,measured
SEAL,CKKS,4096,1,public_key,196721,measured
SEAL,CKKS,4096,1,secret_key,98392,measured
SEAL,CKKS,4096,1,relin_keys,393506,measured
SEAL,CKKS,4096,3,ciphertext,65649,measured
SEAL,CKKS,4096,3,public_key,131185,measured
SEAL,CKKS,4096,3,secret_key,65624,measured
SEAL,CKKS,4096,3,relin_keys,0,skipped_depth0
SEAL,CKKS,4096,5,ciphertext,65649,measured
SEAL,CKKS,4096,5,public_key,131185,measured
SEAL,CKKS,4096,5,secret_key,65624,measured
SEAL,CKKS,4096,5,relin_keys,0,skipped_depth0
SEAL,CKKS,8192,1,ciphertext,393329,measured
SEAL,CKKS,8192,1,public_key,524401,measured
SEAL,CKKS,8192,1,secret_key,262232,measured
SEAL,CKKS,8192,1,relin_keys,1573267,measured
SEAL,CKKS,8192,3,ciphertext,262257,measured
SEAL,CKKS,8192,3,public_key,393329,measured
SEAL,CKKS,8192,3,secret_key,196696,measured
SEAL,CKKS,8192,3,relin_keys,786722,measured
SEAL,CKKS,8192,5,ciphertext,131185,measured
SEAL,CKKS,8192,5,public_key,262257,measured
SEAL,CKKS,8192,5,secret_key,131160,measured
SEAL,CKKS,8192,5,relin_keys,0,skipped_depth0
