library,scheme,N,category,operation,fill_pct,n_real,slot_count,iteration,latency_ms,status
SEAL,BFV,8192,1,add,1,8192,8192,0,0.203672,warmup
SEAL,BFV,8192,1,add,1,8192,8192,1,0.04777,warmup
SEAL,BFV,8192,1,add,1,8192,8192,2,0.048471,warmup
SEAL,BFV,8192,1,add,1,8192,8192,3,0.058019,warmup
SEAL,BFV,8192,1,add,1,8192,8192,4,0.049312,warmup
SEAL,BFV,8192,1,add,1,8192,8192,5,0.047359,measured
SEAL,BFV,8192,1,add,1,8192,8192,6,0.049533,measured
SEAL,BFV,8192,1,add,1,8192,8192,7,0.049293,measured
SEAL,BFV,8192,1,add,1,8192,8192,8,0.050836,measured
SEAL,BFV,8192,1,add,1,8192,8192,9,0.049473,measured
SEAL,BFV,8192,1,add,1,8192,8192,10,0.04776,measured
SEAL,BFV,8192,1,add,1,8192,8192,11,0.053781,measured
SEAL,BFV,8192,1,add,1,8192,8192,12,0.049964,measured
SEAL,BFV,8192,1,add,1,8192,8192,13,0.050074,measured
SEAL,BFV,8192,1,add,1,8192,8192,14,0.062918,measured
SEAL,BFV,8192,1,add,1,8192,8192,15,0.049724,measured
SEAL,BFV,8192,1,add,1,8192,8192,16,0.048,measured
SEAL,BFV,8192,1,add,1,8192,8192,17,0.04774,measured
SEAL,BFV,8192,1,add,1,8192,8192,18,0.051878,measured
SEAL,BFV,8192,1,add,1,8192,8192,19,0.052398,measured
SEAL,BFV,8192,1,add,1,8192,8192,20,0.047218,measured
SEAL,BFV,8192,1,add,1,8192,8192,21,0.047299,measured
SEAL,BFV,8192,1,add,1,8192,8192,22,0.059291,measured
SEAL,BFV,8192,1,add,1,8192,8192,23,0.054743,measured
SEAL,BFV,8192,1,add,1,8192,8192,24,0.052038,measured
SEAL,BFV,8192,1,add,1,8192,8192,25,0.04818,measured
SEAL,BFV,8192,1,add,1,8192,8192,26,0.04792,measured
SEAL,BFV,8192,1,add,1,8192,8192,27,0.052509,measured
SEAL,BFV,8192,1,add,1,8192,8192,28,0.04778,measured
SEAL,BFV,8192,1,add,1,8192,8192,29,0.052589,measured
SEAL,BFV,8192,1,add,1,8192,8192,30,0.048702,measured
SEAL,BFV,8192,1,add,1,8192,8192,31,0.04837,measured
SEAL,BFV,8192,1,add,1,8192,8192,32,0.0482,measured
SEAL,BFV,8192,1,add,1,8192,8192,33,0.047499,measured
SEAL,BFV,8192,1,add,1,8192,8192,34,0.052619,measured
SEAL,BFV,8192,1,add,1,8192,8192,35,0.04762,measured
SEAL,BFV,8192,1,add,1,8192,8192,36,0.047419,measured
SEAL,BFV,8192,1,add,1,8192,8192,37,0.078898,measured
SEAL,BFV,8192,1,add,1,8192,8192,38,0.059191,measured
SEAL,BFV,8192,1,add,1,8192,8192,39,0.050374,measured
SEAL,BFV,8192,1,add,1,8192,8192,40,0.049082,measured
SEAL,BFV,8192,1,add,1,8192,8192,41,0.048541,measured
SEAL,BFV,8192,1,add,1,8192,8192,42,0.04763,measured
SEAL,BFV,8192,1,add,1,8192,8192,43,0.070112,measured
SEAL,BFV,8192,1,add,1,8192,8192,44,0.051667,measured
SEAL,BFV,8192,1,add,1,8192,8192,45,0.048451,measured
SEAL,BFV,8192,1,add,1,8192,8192,46,0.04762,measured
SEAL,BFV,8192,1,add,1,8192,8192,47,0.04787,measured
SEAL,BFV,8192,1,add,1,8192,8192,48,0.04762,measured
SEAL,BFV,8192,1,add,1,8192,8192,49,0.052168,measured
SEAL,BFV,8192,1,add,1,8192,8192,50,0.04809,measured
SEAL,BFV,8192,1,add,1,8192,8192,51,0.047829,measured
SEAL,BFV,8192,1,add,1,8192,8192,52,0.065493,measured
SEAL,BFV,8192,1,add,1,8192,8192,53,0.049103,measured
SEAL,BFV,8192,1,add,1,8192,8192,54,0.066445,measured
SEAL,BFV,8192,1,add,1,8192,8192,55,0.054152,measured
SEAL,BFV,8192,1,add,1,8192,8192,56,0.04819,measured
SEAL,BFV,8192,1,add,1,8192,8192,57,0.052969,measured
SEAL,BFV,8192,1,add,1,8192,8192,58,0.04777,measured
SEAL,BFV,8192,1,add,1,8192,8192,59,0.051988,measured
SEAL,BFV,8192,1,add,1,8192,8192,60,0.047679,measured
SEAL,BFV,8192,1,add,1,8192,8192,61,0.047479,measured
SEAL,BFV,8192,1,add,1,8192,8192,62,0.047509,measured
SEAL,BFV,8192,1,add,1,8192,8192,63,0.04792,measured
SEAL,BFV,8192,1,add,1,8192,8192,64,0.05316,measured
SEAL,BFV,8192,1,add,1,8192,8192,65,0.048191,measured
SEAL,BFV,8192,1,add,1,8192,8192,66,0.048411,measured
SEAL,BFV,8192,1,add,1,8192,8192,67,0.04802,measured
SEAL,BFV,8192,1,add,1,8192,8192,68,0.066044,measured
SEAL,BFV,8192,1,add,1,8192,8192,69,0.05351,measured
SEAL,BFV,8192,1,add,1,8192,8192,70,0.048841,measured
SEAL,BFV,8192,1,add,1,8192,8192,71,0.047639,measured
SEAL,BFV,8192,1,add,1,8192,8192,72,0.047319,measured
SEAL,BFV,8192,1,add,1,8192,8192,73,0.046978,measured
SEAL,BFV,8192,1,add,1,8192,8192,74,0.056837,measured
SEAL,BFV,8192,1,add,1,8192,8192,75,0.049272,measured
SEAL,BFV,8192,1,add,1,8192,8192,76,0.048401,measured
SEAL,BFV,8192,1,add,1,8192,8192,77,0.04786,measured
SEAL,BFV,8192,1,add,1,8192,8192,78,0.047449,measured
SEAL,BFV,8192,1,add,1,8192,8192,79,0.060002,measured
SEAL,BFV,8192,1,add,1,8192,8192,80,0.051617,measured
SEAL,BFV,8192,1,add,1,8192,8192,81,0.04811,measured
SEAL,BFV,8192,1,add,1,8192,8192,82,0.04793,measured
SEAL,BFV,8192,1,add,1,8192,8192,83,0.047629,measured
SEAL,BFV,8192,1,add,1,8192,8192,84,0.04815,measured
SEAL,BFV,8192,1,add,1,8192,8192,85,0.049834,measured
SEAL,BFV,8192,1,add,1,8192,8192,86,0.05873,measured
SEAL,BFV,8192,1,add,1,8192,8192,87,0.048051,measured
SEAL,BFV,8192,1,add,1,8192,8192,88,0.047589,measured
SEAL,BFV,8192,1,add,1,8192,8192,89,0.04822,measured
SEAL,BFV,8192,1,add,1,8192,8192,90,0.052369,measured
SEAL,BFV,8192,1,add,1,8192,8192,91,0.047559,measured
SEAL,BFV,8192,1,add,1,8192,8192,92,0.067126,measured
SEAL,BFV,8192,1,add,1,8192,8192,93,0.047449,measured
SEAL,BFV,8192,1,add,1,8192,8192,94,0.04767,measured
SEAL,BFV,8192,1,add,1,8192,8192,95,0.051347,measured
SEAL,BFV,8192,1,add,1,8192,8192,96,0.04791,measured
SEAL,BFV,8192,1,add,1,8192,8192,97,0.047359,measured
SEAL,BFV,8192,1,add,1,8192,8192,98,0.047399,measured
SEAL,BFV,8192,1,add,1,8192,8192,99,0.056116,measured
SEAL,BFV,8192,1,add,1,8192,8192,100,0.055734,measured
SEAL,BFV,8192,1,add,1,8192,8192,101,0.047689,measured
SEAL,BFV,8192,1,add,1,8192,8192,102,0.04779,measured
