library,scheme,N,category,operation,fill_pct,n_real,slot_count,iteration,latency_ms,status
SEAL,BFV,8192,1,add,0,1,8192,0,0.226208,warmup
SEAL,BFV,8192,1,add,0,1,8192,1,0.047368,warmup
SEAL,BFV,8192,1,add,0,1,8192,2,0.04846,warmup
SEAL,BFV,8192,1,add,0,1,8192,3,0.053489,warmup
SEAL,BFV,8192,1,add,0,1,8192,4,0.056665,warmup
SEAL,BFV,8192,1,add,0,1,8192,5,0.073496,measured
SEAL,BFV,8192,1,add,0,1,8192,6,0.047287,measured
SEAL,BFV,8192,1,add,0,1,8192,7,0.050524,measured
SEAL,BFV,8192,1,add,0,1,8192,8,0.093152,measured
SEAL,BFV,8192,1,add,0,1,8192,9,0.057787,measured
SEAL,BFV,8192,1,add,0,1,8192,10,0.04866,measured
SEAL,BFV,8192,1,add,0,1,8192,11,0.058788,measured
SEAL,BFV,8192,1,add,0,1,8192,12,0.047047,measured
SEAL,BFV,8192,1,add,0,1,8192,13,0.069298,measured
SEAL,BFV,8192,1,add,0,1,8192,14,0.069508,measured
SEAL,BFV,8192,1,add,0,1,8192,15,0.060472,measured
SEAL,BFV,8192,1,add,0,1,8192,16,0.054221,measured
SEAL,BFV,8192,1,add,0,1,8192,17,0.04855,measured
SEAL,BFV,8192,1,add,0,1,8192,18,0.067545,measured
SEAL,BFV,8192,1,add,0,1,8192,19,0.063548,measured
SEAL,BFV,8192,1,add,0,1,8192,20,0.05952,measured
SEAL,BFV,8192,1,add,0,1,8192,21,0.047016,measured
SEAL,BFV,8192,1,add,0,1,8192,22,0.050503,measured
SEAL,BFV,8192,1,add,0,1,8192,23,0.095035,measured
SEAL,BFV,8192,1,add,0,1,8192,24,0.050032,measured
SEAL,BFV,8192,1,add,0,1,8192,25,0.050413,measured
SEAL,BFV,8192,1,add,0,1,8192,26,0.047998,measured
SEAL,BFV,8192,1,add,0,1,8192,27,0.051776,measured
SEAL,BFV,8192,1,add,0,1,8192,28,0.054982,measured
SEAL,BFV,8192,1,add,0,1,8192,29,0.077534,measured
SEAL,BFV,8192,1,add,0,1,8192,30,0.061133,measured
SEAL,BFV,8192,1,add,0,1,8192,31,0.056084,measured
SEAL,BFV,8192,1,add,0,1,8192,32,0.047809,measured
SEAL,BFV,8192,1,add,0,1,8192,33,0.063858,measured
SEAL,BFV,8192,1,add,0,1,8192,34,0.05416,measured
SEAL,BFV,8192,1,add,0,1,8192,35,0.048089,measured
SEAL,BFV,8192,1,add,0,1,8192,36,0.05382,measured
SEAL,BFV,8192,1,add,0,1,8192,37,0.048389,measured
SEAL,BFV,8192,1,add,0,1,8192,38,0.061583,measured
SEAL,BFV,8192,1,add,0,1,8192,39,0.048129,measured
SEAL,BFV,8192,1,add,0,1,8192,40,0.059219,measured
SEAL,BFV,8192,1,add,0,1,8192,41,0.047648,measured
SEAL,BFV,8192,1,add,0,1,8192,42,0.04865,measured
SEAL,BFV,8192,1,add,0,1,8192,43,0.118198,measured
SEAL,BFV,8192,1,add,0,1,8192,44,0.055643,measured
SEAL,BFV,8192,1,add,0,1,8192,45,0.052628,measured
SEAL,BFV,8192,1,add,0,1,8192,46,0.049161,measured
SEAL,BFV,8192,1,add,0,1,8192,47,0.051595,measured
SEAL,BFV,8192,1,add,0,1,8192,48,0.058759,measured
SEAL,BFV,8192,1,add,0,1,8192,49,0.051025,measured
SEAL,BFV,8192,1,add,0,1,8192,50,0.062486,measured
SEAL,BFV,8192,1,add,0,1,8192,51,0.052758,measured
SEAL,BFV,8192,1,add,0,1,8192,52,0.050102,measured
SEAL,BFV,8192,1,add,0,1,8192,53,0.074077,measured
SEAL,BFV,8192,1,add,0,1,8192,54,0.052887,measured
SEAL,BFV,8192,1,add,0,1,8192,55,0.047327,measured
SEAL,BFV,8192,1,add,0,1,8192,56,0.050093,measured
SEAL,BFV,8192,1,add,0,1,8192,57,0.049853,measured
SEAL,BFV,8192,1,add,0,1,8192,58,0.060251,measured
SEAL,BFV,8192,1,add,0,1,8192,59,0.048901,measured
SEAL,BFV,8192,1,add,0,1,8192,60,0.049421,measured
SEAL,BFV,8192,1,add,0,1,8192,61,0.056664,measured
SEAL,BFV,8192,1,add,0,1,8192,62,0.057256,measured
SEAL,BFV,8192,1,add,0,1,8192,63,0.058207,measured
SEAL,BFV,8192,1,add,0,1,8192,64,0.048319,measured
SEAL,BFV,8192,1,add,0,1,8192,65,0.056264,measured
SEAL,BFV,8192,1,add,0,1,8192,66,0.0487,measured
SEAL,BFV,8192,1,add,0,1,8192,67,0.055142,measured
SEAL,BFV,8192,1,add,0,1,8192,68,0.056144,measured
SEAL,BFV,8192,1,add,0,1,8192,69,0.052336,measured
SEAL,BFV,8192,1,add,0,1,8192,70,0.054251,measured
SEAL,BFV,8192,1,add,0,1,8192,71,0.047538,measured
SEAL,BFV,8192,1,add,0,1,8192,72,0.055943,measured
SEAL,BFV,8192,1,add,0,1,8192,73,0.067285,measured
SEAL,BFV,8192,1,add,0,1,8192,74,0.054281,measured
SEAL,BFV,8192,1,add,0,1,8192,75,0.047317,measured
SEAL,BFV,8192,1,add,0,1,8192,76,0.048189,measured
SEAL,BFV,8192,1,add,0,1,8192,77,0.064309,measured
SEAL,BFV,8192,1,add,0,1,8192,78,0.055382,measured
SEAL,BFV,8192,1,add,0,1,8192,79,0.060001,measured
SEAL,BFV,8192,1,add,0,1,8192,80,0.046917,measured
SEAL,BFV,8192,1,add,0,1,8192,81,0.077483,measured
SEAL,BFV,8192,1,add,0,1,8192,82,0.073956,measured
SEAL,BFV,8192,1,add,0,1,8192,83,0.06455,measured
SEAL,BFV,8192,1,add,0,1,8192,84,0.048259,measured
SEAL,BFV,8192,1,add,0,1,8192,85,0.04874,measured
SEAL,BFV,8192,1,add,0,1,8192,86,0.047908,measured
SEAL,BFV,8192,1,add,0,1,8192,87,0.078806,measured
SEAL,BFV,8192,1,add,0,1,8192,88,0.072234,measured
SEAL,BFV,8192,1,add,0,1,8192,89,0.046817,measured
SEAL,BFV,8192,1,add,0,1,8192,90,0.052317,measured
SEAL,BFV,8192,1,add,0,1,8192,91,0.051846,measured
SEAL,BFV,8192,1,add,0,1,8192,92,0.058589,measured
SEAL,BFV,8192,1,add,0,1,8192,93,0.049211,measured
SEAL,BFV,8192,1,add,0,1,8192,94,0.05405,measured
SEAL,BFV,8192,1,add,0,1,8192,95,0.046736,measured
SEAL,BFV,8192,1,add,0,1,8192,96,0.050143,measured
SEAL,BFV,8192,1,add,0,1,8192,97,0.067064,measured
SEAL,BFV,8192,1,add,0,1,8192,98,0.052707,measured
SEAL,BFV,8192,1,add,0,1,8192,99,0.050233,measured
SEAL,BFV,8192,1,add,0,1,8192,100,0.048079,measured
SEAL,BFV,8192,1,add,0,1,8192,101,0.050624,measured
SEAL,BFV,8192,1,add,0,1,8192,102,0.057576,measured
SEAL,BFV,8192,1,add,0,1,8192,103,0.051696,measured
SEAL,BFV,8192,1,add,0,1,8192,104,0.049511,measured
