library,scheme,N,category,operation,fill_pct,n_real,slot_count,iteration,latency_ms,status
SEAL,BFV,8192,1,encrypt,1,8192,8192,0,2.5585,warmup
SEAL,BFV,8192,1,encrypt,1,8192,8192,1,2.34569,warmup
SEAL,BFV,8192,1,encrypt,1,8192,8192,2,2.15294,warmup
SEAL,BFV,8192,1,encrypt,1,8192,8192,3,2.1165,warmup
SEAL,BFV,8192,1,encrypt,1,8192,8192,4,2.12902,warmup
SEAL,BFV,8192,1,encrypt,1,8192,8192,5,2.13019,measured
SEAL,BFV,8192,1,encrypt,1,8192,8192,6,2.14094,measured
SEAL,BFV,8192,1,encrypt,1,8192,8192,7,2.1833,measured
SEAL,BFV,8192,1,encrypt,1,8192,8192,8,2.25551,measured
SEAL,BFV,8192,1,encrypt,1,8192,8192,9,2.226,measured
SEAL,BFV,8192,1,encrypt,1,8192,8192,10,2.21315,measured
SEAL,BFV,8192,1,encrypt,1,8192,8192,11,2.22323,measured
SEAL,BFV,8192,1,encrypt,1,8192,8192,12,2.23002,measured
SEAL,BFV,8192,1,encrypt,1,8192,8192,13,2.21643,measured
SEAL,BFV,8192,1,encrypt,1,8192,8192,14,2.22322,measured
SEAL,BFV,8192,1,encrypt,1,8192,8192,15,2.18701,measured
SEAL,BFV,8192,1,encrypt,1,8192,8192,16,2.19186,measured
SEAL,BFV,8192,1,encrypt,1,8192,8192,17,2.22453,measured
SEAL,BFV,8192,1,encrypt,1,8192,8192,18,2.22761,measured
SEAL,BFV,8192,1,encrypt,1,8192,8192,19,2.23581,measured
SEAL,BFV,8192,1,encrypt,1,8192,8192,20,2.23192,measured
SEAL,BFV,8192,1,encrypt,1,8192,8192,21,2.19922,measured
SEAL,BFV,8192,1,encrypt,1,8192,8192,22,2.19833,measured
SEAL,BFV,8192,1,encrypt,1,8192,8192,23,2.40784,measured
SEAL,BFV,8192,1,encrypt,1,8192,8192,24,2.39892,measured
SEAL,BFV,8192,1,encrypt,1,8192,8192,25,2.19022,measured
SEAL,BFV,8192,1,encrypt,1,8192,8192,26,2.19686,measured
SEAL,BFV,8192,1,encrypt,1,8192,8192,27,2.24246,measured
SEAL,BFV,8192,1,encrypt,1,8192,8192,28,2.26125,measured
SEAL,BFV,8192,1,encrypt,1,8192,8192,29,2.19931,measured
SEAL,BFV,8192,1,encrypt,1,8192,8192,30,2.21719,measured
SEAL,BFV,8192,1,encrypt,1,8192,8192,31,2.17993,measured
SEAL,BFV,8192,1,encrypt,1,8192,8192,32,2.22406,measured
SEAL,BFV,8192,1,encrypt,1,8192,8192,33,2.1795,measured
SEAL,BFV,8192,1,encrypt,1,8192,8192,34,2.18973,measured
SEAL,BFV,8192,1,encrypt,1,8192,8192,35,2.2776,measured
SEAL,BFV,8192,1,encrypt,1,8192,8192,36,2.25428,measured
SEAL,BFV,8192,1,encrypt,1,8192,8192,37,2.25857,measured
SEAL,BFV,8192,1,encrypt,1,8192,8192,38,2.22255,measured
SEAL,BFV,8192,1,encrypt,1,8192,8192,39,2.20424,measured
SEAL,BFV,8192,1,encrypt,1,8192,8192,40,2.20058,measured
SEAL,BFV,8192,1,encrypt,1,8192,8192,41,2.19306,measured
SEAL,BFV,8192,1,encrypt,1,8192,8192,42,2.20768,measured
SEAL,BFV,8192,1,encrypt,1,8192,8192,43,2.18416,measured
SEAL,BFV,8192,1,encrypt,1,8192,8192,44,2.19711,measured
SEAL,BFV,8192,1,encrypt,1,8192,8192,45,2.21129,measured
SEAL,BFV,8192,1,encrypt,1,8192,8192,46,2.24666,measured
