library,scheme,N,category,operation,fill_pct,n_real,slot_count,iteration,latency_ms,status
SEAL,BFV,8192,1,encrypt,0,1,8192,0,2.50509,warmup
SEAL,BFV,8192,1,encrypt,0,1,8192,1,2.16376,warmup
SEAL,BFV,8192,1,encrypt,0,1,8192,2,2.05974,warmup
SEAL,BFV,8192,1,encrypt,0,1,8192,3,2.07593,warmup
SEAL,BFV,8192,1,encrypt,0,1,8192,4,2.06782,warmup
SEAL,BFV,8192,1,encrypt,0,1,8192,5,2.07778,measured
SEAL,BFV,8192,1,encrypt,0,1,8192,6,2.09365,measured
SEAL,BFV,8192,1,encrypt,0,1,8192,7,2.10477,measured
SEAL,BFV,8192,1,encrypt,0,1,8192,8,2.09197,measured
SEAL,BFV,8192,1,encrypt,0,1,8192,9,2.08491,measured
SEAL,BFV,8192,1,encrypt,0,1,8192,10,2.09091,measured
SEAL,BFV,8192,1,encrypt,0,1,8192,11,2.07888,measured
SEAL,BFV,8192,1,encrypt,0,1,8192,12,2.09136,measured
SEAL,BFV,8192,1,encrypt,0,1,8192,13,2.10602,measured
SEAL,BFV,8192,1,encrypt,0,1,8192,14,2.0857,measured
SEAL,BFV,8192,1,encrypt,0,1,8192,15,2.09214,measured
SEAL,BFV,8192,1,encrypt,0,1,8192,16,2.09401,measured
SEAL,BFV,8192,1,encrypt,0,1,8192,17,2.10973,measured
SEAL,BFV,8192,1,encrypt,0,1,8192,18,2.10731,measured
SEAL,BFV,8192,1,encrypt,0,1,8192,19,2.10104,measured
SEAL,BFV,8192,1,encrypt,0,1,8192,20,2.09755,measured
SEAL,BFV,8192,1,encrypt,0,1,8192,21,2.09372,measured
SEAL,BFV,8192,1,encrypt,0,1,8192,22,2.09523,measured
SEAL,BFV,8192,1,encrypt,0,1,8192,23,2.11288,measured
SEAL,BFV,8192,1,encrypt,0,1,8192,24,2.1001,measured
SEAL,BFV,8192,1,encrypt,0,1,8192,25,2.09213,measured
SEAL,BFV,8192,1,encrypt,0,1,8192,26,2.09903,measured
SEAL,BFV,8192,1,encrypt,0,1,8192,27,2.09086,measured
SEAL,BFV,8192,1,encrypt,0,1,8192,28,2.0959,measured
SEAL,BFV,8192,1,encrypt,0,1,8192,29,2.14362,measured
SEAL,BFV,8192,1,encrypt,0,1,8192,30,2.11963,measured
SEAL,BFV,8192,1,encrypt,0,1,8192,31,2.11658,measured
SEAL,BFV,8192,1,encrypt,0,1,8192,32,2.11502,measured
SEAL,BFV,8192,1,encrypt,0,1,8192,33,2.12027,measured
SEAL,BFV,8192,1,encrypt,0,1,8192,34,2.11475,measured
SEAL,BFV,8192,1,encrypt,0,1,8192,35,2.12602,measured
SEAL,BFV,8192,1,encrypt,0,1,8192,36,2.12228,measured
SEAL,BFV,8192,1,encrypt,0,1,8192,37,2.12913,measured
SEAL,BFV,8192,1,encrypt,0,1,8192,38,2.10678,measured
SEAL,BFV,8192,1,encrypt,0,1,8192,39,2.11611,measured
SEAL,BFV,8192,1,encrypt,0,1,8192,40,2.1203,measured
SEAL,BFV,8192,1,encrypt,0,1,8192,41,2.10454,measured
SEAL,BFV,8192,1,encrypt,0,1,8192,42,2.1097,measured
SEAL,BFV,8192,1,encrypt,0,1,8192,43,2.13731,measured
SEAL,BFV,8192,1,encrypt,0,1,8192,44,2.15125,measured
SEAL,BFV,8192,1,encrypt,0,1,8192,45,2.11669,measured
SEAL,BFV,8192,1,encrypt,0,1,8192,46,2.13716,measured
SEAL,BFV,8192,1,encrypt,0,1,8192,47,2.11497,measured
SEAL,BFV,8192,1,encrypt,0,1,8192,48,2.09931,measured
SEAL,BFV,8192,1,encrypt,0,1,8192,49,2.1175,measured
SEAL,BFV,8192,1,encrypt,0,1,8192,50,2.13314,measured
SEAL,BFV,8192,1,encrypt,0,1,8192,51,2.11639,measured
SEAL,BFV,8192,1,encrypt,0,1,8192,52,2.13819,measured
SEAL,BFV,8192,1,encrypt,0,1,8192,53,2.11434,measured
SEAL,BFV,8192,1,encrypt,0,1,8192,54,2.117,measured
SEAL,BFV,8192,1,encrypt,0,1,8192,55,2.12432,measured
SEAL,BFV,8192,1,encrypt,0,1,8192,56,2.11464,measured
SEAL,BFV,8192,1,encrypt,0,1,8192,57,2.11258,measured
SEAL,BFV,8192,1,encrypt,0,1,8192,58,2.10496,measured
SEAL,BFV,8192,1,encrypt,0,1,8192,59,2.14077,measured
SEAL,BFV,8192,1,encrypt,0,1,8192,60,2.12726,measured
SEAL,BFV,8192,1,encrypt,0,1,8192,61,2.10471,measured
SEAL,BFV,8192,1,encrypt,0,1,8192,62,2.10559,measured
SEAL,BFV,8192,1,encrypt,0,1,8192,63,2.10588,measured
SEAL,BFV,8192,1,encrypt,0,1,8192,64,2.12109,measured
SEAL,BFV,8192,1,encrypt,0,1,8192,65,2.11666,measured
SEAL,BFV,8192,1,encrypt,0,1,8192,66,2.1134,measured
SEAL,BFV,8192,1,encrypt,0,1,8192,67,2.0966,measured
SEAL,BFV,8192,1,encrypt,0,1,8192,68,2.08817,measured
SEAL,BFV,8192,1,encrypt,0,1,8192,69,2.10165,measured
SEAL,BFV,8192,1,encrypt,0,1,8192,70,2.12188,measured
SEAL,BFV,8192,1,encrypt,0,1,8192,71,2.10804,measured
SEAL,BFV,8192,1,encrypt,0,1,8192,72,2.11151,measured
SEAL,BFV,8192,1,encrypt,0,1,8192,73,2.09475,measured
SEAL,BFV,8192,1,encrypt,0,1,8192,74,2.11638,measured
SEAL,BFV,8192,1,encrypt,0,1,8192,75,2.12295,measured
SEAL,BFV,8192,1,encrypt,0,1,8192,76,2.12091,measured
SEAL,BFV,8192,1,encrypt,0,1,8192,77,2.08683,measured
SEAL,BFV,8192,1,encrypt,0,1,8192,78,2.08967,measured
SEAL,BFV,8192,1,encrypt,0,1,8192,79,2.10837,measured
SEAL,BFV,8192,1,encrypt,0,1,8192,80,2.15034,measured
SEAL,BFV,8192,1,encrypt,0,1,8192,81,2.11847,measured
SEAL,BFV,8192,1,encrypt,0,1,8192,82,2.10251,measured
SEAL,BFV,8192,1,encrypt,0,1,8192,83,2.09619,measured
SEAL,BFV,8192,1,encrypt,0,1,8192,84,2.1137,measured
SEAL,BFV,8192,1,encrypt,0,1,8192,85,2.16667,measured
SEAL,BFV,8192,1,encrypt,0,1,8192,86,2.09948,measured
SEAL,BFV,8192,1,encrypt,0,1,8192,87,2.11147,measured
SEAL,BFV,8192,1,encrypt,0,1,8192,88,2.1086,measured
SEAL,BFV,8192,1,encrypt,0,1,8192,89,2.11675,measured
SEAL,BFV,8192,1,encrypt,0,1,8192,90,2.09433,measured
SEAL,BFV,8192,1,encrypt,0,1,8192,91,2.0857,measured
SEAL,BFV,8192,1,encrypt,0,1,8192,92,2.18223,measured
SEAL,BFV,8192,1,encrypt,0,1,8192,93,2.13436,measured
SEAL,BFV,8192,1,encrypt,0,1,8192,94,2.11006,measured
SEAL,BFV,8192,1,encrypt,0,1,8192,95,2.12026,measured
SEAL,BFV,8192,1,encrypt,0,1,8192,96,2.11294,measured
SEAL,BFV,8192,1,encrypt,0,1,8192,97,2.10608,measured
SEAL,BFV,8192,1,encrypt,0,1,8192,98,2.10117,measured
SEAL,BFV,8192,1,encrypt,0,1,8192,99,2.08657,measured
SEAL,BFV,8192,1,encrypt,0,1,8192,100,2.11079,measured
SEAL,BFV,8192,1,encrypt,0,1,8192,101,2.13013,measured
SEAL,BFV,8192,1,encrypt,0,1,8192,102,2.11045,measured
SEAL,BFV,8192,1,encrypt,0,1,8192,103,2.13425,measured
SEAL,BFV,8192,1,encrypt,0,1,8192,104,2.0927,measured
