library,scheme,N,category,operation,fill_pct,n_real,slot_count,iteration,latency_ms,status
SEAL,BFV,8192,1,multiply,1,8192,8192,0,8.64604,warmup
SEAL,BFV,8192,1,multiply,1,8192,8192,1,8.20402,warmup
SEAL,BFV,8192,1,multiply,1,8192,8192,2,8.24044,warmup
SEAL,BFV,8192,1,multiply,1,8192,8192,3,8.21197,warmup
SEAL,BFV,8192,1,multiply,1,8192,8192,4,8.25158,warmup
SEAL,BFV,8192,1,multiply,1,8192,8192,5,8.20209,measured
SEAL,BFV,8192,1,multiply,1,8192,8192,6,8.24488,measured
SEAL,BFV,8192,1,multiply,1,8192,8192,7,8.16239,measured
SEAL,BFV,8192,1,multiply,1,8192,8192,8,8.13907,measured
SEAL,BFV,8192,1,multiply,1,8192,8192,9,8.22532,measured
SEAL,BFV,8192,1,multiply,1,8192,8192,10,8.13073,measured
SEAL,BFV,8192,1,multiply,1,8192,8192,11,8.17708,measured
SEAL,BFV,8192,1,multiply,1,8192,8192,12,8.07308,measured
SEAL,BFV,8192,1,multiply,1,8192,8192,13,8.38742,measured
SEAL,BFV,8192,1,multiply,1,8192,8192,14,8.44237,measured
SEAL,BFV,8192,1,multiply,1,8192,8192,15,8.34392,measured
SEAL,BFV,8192,1,multiply,1,8192,8192,16,8.24854,measured
SEAL,BFV,8192,1,multiply,1,8192,8192,17,8.29461,measured
SEAL,BFV,8192,1,multiply,1,8192,8192,18,8.59791,measured
SEAL,BFV,8192,1,multiply,1,8192,8192,19,8.19145,measured
SEAL,BFV,8192,1,multiply,1,8192,8192,20,8.29543,measured
SEAL,BFV,8192,1,multiply,1,8192,8192,21,8.31264,measured
SEAL,BFV,8192,1,multiply,1,8192,8192,22,8.34553,measured
SEAL,BFV,8192,1,multiply,1,8192,8192,23,8.28272,measured
SEAL,BFV,8192,1,multiply,1,8192,8192,24,8.17695,measured
SEAL,BFV,8192,1,multiply,1,8192,8192,25,8.19674,measured
SEAL,BFV,8192,1,multiply,1,8192,8192,26,8.1576,measured
SEAL,BFV,8192,1,multiply,1,8192,8192,27,8.20919,measured
SEAL,BFV,8192,1,multiply,1,8192,8192,28,8.14895,measured
SEAL,BFV,8192,1,multiply,1,8192,8192,29,8.11553,measured
SEAL,BFV,8192,1,multiply,1,8192,8192,30,8.12669,measured
SEAL,BFV,8192,1,multiply,1,8192,8192,31,8.10285,measured
SEAL,BFV,8192,1,multiply,1,8192,8192,32,8.2015,measured
SEAL,BFV,8192,1,multiply,1,8192,8192,33,8.05422,measured
SEAL,BFV,8192,1,multiply,1,8192,8192,34,8.08668,measured
SEAL,BFV,8192,1,multiply,1,8192,8192,35,8.15132,measured
SEAL,BFV,8192,1,multiply,1,8192,8192,36,8.11353,measured
SEAL,BFV,8192,1,multiply,1,8192,8192,37,8.08538,measured
SEAL,BFV,8192,1,multiply,1,8192,8192,38,8.17674,measured
SEAL,BFV,8192,1,multiply,1,8192,8192,39,8.15368,measured
SEAL,BFV,8192,1,multiply,1,8192,8192,40,8.20664,measured
SEAL,BFV,8192,1,multiply,1,8192,8192,41,8.16079,measured
SEAL,BFV,8192,1,multiply,1,8192,8192,42,8.14594,measured
SEAL,BFV,8192,1,multiply,1,8192,8192,43,8.28804,measured
SEAL,BFV,8192,1,multiply,1,8192,8192,44,8.29945,measured
SEAL,BFV,8192,1,multiply,1,8192,8192,45,8.45798,measured
SEAL,BFV,8192,1,multiply,1,8192,8192,46,8.18649,measured
SEAL,BFV,8192,1,multiply,1,8192,8192,47,8.17505,measured
SEAL,BFV,8192,1,multiply,1,8192,8192,48,8.43798,measured
SEAL,BFV,8192,1,multiply,1,8192,8192,49,8.3009,measured
SEAL,BFV,8192,1,multiply,1,8192,8192,50,8.13597,measured
SEAL,BFV,8192,1,multiply,1,8192,8192,51,8.11063,measured
SEAL,BFV,8192,1,multiply,1,8192,8192,52,8.16394,measured
SEAL,BFV,8192,1,multiply,1,8192,8192,53,8.15818,measured
SEAL,BFV,8192,1,multiply,1,8192,8192,54,8.18961,measured
SEAL,BFV,8192,1,multiply,1,8192,8192,55,8.19053,measured
SEAL,BFV,8192,1,multiply,1,8192,8192,56,8.15519,measured
SEAL,BFV,8192,1,multiply,1,8192,8192,57,8.14916,measured
SEAL,BFV,8192,1,multiply,1,8192,8192,58,8.21012,measured
SEAL,BFV,8192,1,multiply,1,8192,8192,59,8.33695,measured
SEAL,BFV,8192,1,multiply,1,8192,8192,60,8.23434,measured
SEAL,BFV,8192,1,multiply,1,8192,8192,61,8.18219,measured
SEAL,BFV,8192,1,multiply,1,8192,8192,62,8.16738,measured
SEAL,BFV,8192,1,multiply,1,8192,8192,63,8.18686,measured
SEAL,BFV,8192,1,multiply,1,8192,8192,64,8.17648,measured
SEAL,BFV,8192,1,multiply,1,8192,8192,65,8.10242,measured
SEAL,BFV,8192,1,multiply,1,8192,8192,66,8.18787,measured
SEAL,BFV,8192,1,multiply,1,8192,8192,67,8.94107,measured
SEAL,BFV,8192,1,multiply,1,8192,8192,68,8.3115,measured
SEAL,BFV,8192,1,multiply,1,8192,8192,69,8.28189,measured
SEAL,BFV,8192,1,multiply,1,8192,8192,70,8.16863,measured
SEAL,BFV,8192,1,multiply,1,8192,8192,71,8.17723,measured
SEAL,BFV,8192,1,multiply,1,8192,8192,72,8.20095,measured
SEAL,BFV,8192,1,multiply,1,8192,8192,73,8.20849,measured
SEAL,BFV,8192,1,multiply,1,8192,8192,74,8.15419,measured
SEAL,BFV,8192,1,multiply,1,8192,8192,75,8.14263,measured
SEAL,BFV,8192,1,multiply,1,8192,8192,76,8.09171,measured
SEAL,BFV,8192,1,multiply,1,8192,8192,77,8.28569,measured
SEAL,BFV,8192,1,multiply,1,8192,8192,78,8.08849,measured
SEAL,BFV,8192,1,multiply,1,8192,8192,79,8.13796,measured
SEAL,BFV,8192,1,multiply,1,8192,8192,80,8.0736,measured
SEAL,BFV,8192,1,multiply,1,8192,8192,81,8.06256,measured
SEAL,BFV,8192,1,multiply,1,8192,8192,82,8.42709,measured
SEAL,BFV,8192,1,multiply,1,8192,8192,83,8.31487,measured
SEAL,BFV,8192,1,multiply,1,8192,8192,84,8.24336,measured
SEAL,BFV,8192,1,multiply,1,8192,8192,85,8.13186,measured
SEAL,BFV,8192,1,multiply,1,8192,8192,86,8.28954,measured
SEAL,BFV,8192,1,multiply,1,8192,8192,87,8.11918,measured
SEAL,BFV,8192,1,multiply,1,8192,8192,88,8.16532,measured
SEAL,BFV,8192,1,multiply,1,8192,8192,89,8.07709,measured
SEAL,BFV,8192,1,multiply,1,8192,8192,90,8.23401,measured
SEAL,BFV,8192,1,multiply,1,8192,8192,91,8.36718,measured
SEAL,BFV,8192,1,multiply,1,8192,8192,92,8.1939,measured
SEAL,BFV,8192,1,multiply,1,8192,8192,93,8.14235,measured
SEAL,BFV,8192,1,multiply,1,8192,8192,94,8.12344,measured
SEAL,BFV,8192,1,multiply,1,8192,8192,95,8.28646,measured
SEAL,BFV,8192,1,multiply,1,8192,8192,96,8.14695,measured
SEAL,BFV,8192,1,multiply,1,8192,8192,97,8.28637,measured
SEAL,BFV,8192,1,multiply,1,8192,8192,98,8.20684,measured
SEAL,BFV,8192,1,multiply,1,8192,8192,99,8.21321,measured
SEAL,BFV,8192,1,multiply,1,8192,8192,100,8.23576,measured
SEAL,BFV,8192,1,multiply,1,8192,8192,101,8.12219,measured
SEAL,BFV,8192,1,multiply,1,8192,8192,102,8.15197,measured
SEAL,BFV,8192,1,multiply,1,8192,8192,103,8.08233,measured
SEAL,BFV,8192,1,multiply,1,8192,8192,104,8.21913,measured
