library,scheme,N,category,operation,fill_pct,n_real,slot_count,iteration,latency_ms,status
SEAL,BFV,8192,1,multiply,0,1,8192,0,8.28774,warmup
SEAL,BFV,8192,1,multiply,0,1,8192,1,7.84885,warmup
SEAL,BFV,8192,1,multiply,0,1,8192,2,8.00562,warmup
SEAL,BFV,8192,1,multiply,0,1,8192,3,7.82722,warmup
SEAL,BFV,8192,1,multiply,0,1,8192,4,8.06266,warmup
SEAL,BFV,8192,1,multiply,0,1,8192,5,7.88298,measured
SEAL,BFV,8192,1,multiply,0,1,8192,6,7.97351,measured
SEAL,BFV,8192,1,multiply,0,1,8192,7,7.91795,measured
SEAL,BFV,8192,1,multiply,0,1,8192,8,7.91007,measured
SEAL,BFV,8192,1,multiply,0,1,8192,9,7.97986,measured
SEAL,BFV,8192,1,multiply,0,1,8192,10,7.95683,measured
SEAL,BFV,8192,1,multiply,0,1,8192,11,7.99265,measured
SEAL,BFV,8192,1,multiply,0,1,8192,12,7.85834,measured
SEAL,BFV,8192,1,multiply,0,1,8192,13,7.95256,measured
SEAL,BFV,8192,1,multiply,0,1,8192,14,7.79208,measured
SEAL,BFV,8192,1,multiply,0,1,8192,15,8.04783,measured
SEAL,BFV,8192,1,multiply,0,1,8192,16,7.73848,measured
SEAL,BFV,8192,1,multiply,0,1,8192,17,7.96265,measured
SEAL,BFV,8192,1,multiply,0,1,8192,18,7.77904,measured
SEAL,BFV,8192,1,multiply,0,1,8192,19,7.78369,measured
SEAL,BFV,8192,1,multiply,0,1,8192,20,7.73538,measured
SEAL,BFV,8192,1,multiply,0,1,8192,21,7.76016,measured
SEAL,BFV,8192,1,multiply,0,1,8192,22,7.7981,measured
SEAL,BFV,8192,1,multiply,0,1,8192,23,7.76161,measured
SEAL,BFV,8192,1,multiply,0,1,8192,24,7.86832,measured
SEAL,BFV,8192,1,multiply,0,1,8192,25,7.7561,measured
SEAL,BFV,8192,1,multiply,0,1,8192,26,7.90271,measured
SEAL,BFV,8192,1,multiply,0,1,8192,27,7.76057,measured
SEAL,BFV,8192,1,multiply,0,1,8192,28,7.77361,measured
SEAL,BFV,8192,1,multiply,0,1,8192,29,7.72262,measured
