library,scheme,N,category,operation,fill_pct,n_real,slot_count,iteration,latency_ms,status
SEAL,BGV,8192,1,add,0.1,819,8192,0,0.212944,warmup
SEAL,BGV,8192,1,add,0.1,819,8192,1,0.057576,warmup
SEAL,BGV,8192,1,add,0.1,819,8192,2,0.063518,warmup
SEAL,BGV,8192,1,add,0.1,819,8192,3,0.058779,warmup
SEAL,BGV,8192,1,add,0.1,819,8192,4,0.050643,warmup
SEAL,BGV,8192,1,add,0.1,819,8192,5,0.056835,measured
SEAL,BGV,8192,1,add,0.1,819,8192,6,0.082613,measured
SEAL,BGV,8192,1,add,0.1,819,8192,7,0.060883,measured
SEAL,BGV,8192,1,add,0.1,819,8192,8,0.067374,measured
SEAL,BGV,8192,1,add,0.1,819,8192,9,0.062746,measured
SEAL,BGV,8192,1,add,0.1,819,8192,10,0.067164,measured
SEAL,BGV,8192,1,add,0.1,819,8192,11,0.063588,measured
SEAL,BGV,8192,1,add,0.1,819,8192,12,0.064659,measured
SEAL,BGV,8192,1,add,0.1,819,8192,13,0.058719,measured
SEAL,BGV,8192,1,add,0.1,819,8192,14,0.07047,measured
SEAL,BGV,8192,1,add,0.1,819,8192,15,0.065271,measured
SEAL,BGV,8192,1,add,0.1,819,8192,16,0.05942,measured
SEAL,BGV,8192,1,add,0.1,819,8192,17,0.053589,measured
SEAL,BGV,8192,1,add,0.1,819,8192,18,0.084737,measured
SEAL,BGV,8192,1,add,0.1,819,8192,19,0.076251,measured
SEAL,BGV,8192,1,add,0.1,819,8192,20,0.098131,measured
SEAL,BGV,8192,1,add,0.1,819,8192,21,0.075429,measured
SEAL,BGV,8192,1,add,0.1,819,8192,22,0.066263,measured
SEAL,BGV,8192,1,add,0.1,819,8192,23,0.062195,measured
SEAL,BGV,8192,1,add,0.1,819,8192,24,0.057486,measured
SEAL,BGV,8192,1,add,0.1,819,8192,25,0.100206,measured
SEAL,BGV,8192,1,add,0.1,819,8192,26,0.055122,measured
SEAL,BGV,8192,1,add,0.1,819,8192,27,0.052567,measured
SEAL,BGV,8192,1,add,0.1,819,8192,28,0.069859,measured
SEAL,BGV,8192,1,add,0.1,819,8192,29,0.073917,measured
SEAL,BGV,8192,1,add,0.1,819,8192,30,0.064029,measured
SEAL,BGV,8192,1,add,0.1,819,8192,31,0.062776,measured
SEAL,BGV,8192,1,add,0.1,819,8192,32,0.06478,measured
SEAL,BGV,8192,1,add,0.1,819,8192,33,0.061795,measured
SEAL,BGV,8192,1,add,0.1,819,8192,34,0.055242,measured
SEAL,BGV,8192,1,add,0.1,819,8192,35,0.115804,measured
SEAL,BGV,8192,1,add,0.1,819,8192,36,0.055823,measured
SEAL,BGV,8192,1,add,0.1,819,8192,37,0.063718,measured
SEAL,BGV,8192,1,add,0.1,819,8192,38,0.060272,measured
SEAL,BGV,8192,1,add,0.1,819,8192,39,0.058969,measured
SEAL,BGV,8192,1,add,0.1,819,8192,40,0.062726,measured
SEAL,BGV,8192,1,add,0.1,819,8192,41,0.055662,measured
SEAL,BGV,8192,1,add,0.1,819,8192,42,0.063387,measured
SEAL,BGV,8192,1,add,0.1,819,8192,43,0.110354,measured
SEAL,BGV,8192,1,add,0.1,819,8192,44,0.051425,measured
SEAL,BGV,8192,1,add,0.1,819,8192,45,0.094195,measured
SEAL,BGV,8192,1,add,0.1,819,8192,46,0.056405,measured
SEAL,BGV,8192,1,add,0.1,819,8192,47,0.084536,measured
SEAL,BGV,8192,1,add,0.1,819,8192,48,0.073495,measured
SEAL,BGV,8192,1,add,0.1,819,8192,49,0.064149,measured
SEAL,BGV,8192,1,add,0.1,819,8192,50,0.057547,measured
SEAL,BGV,8192,1,add,0.1,819,8192,51,0.051816,measured
SEAL,BGV,8192,1,add,0.1,819,8192,52,0.079267,measured
SEAL,BGV,8192,1,add,0.1,819,8192,53,0.053118,measured
SEAL,BGV,8192,1,add,0.1,819,8192,54,0.055372,measured
SEAL,BGV,8192,1,add,0.1,819,8192,55,0.073285,measured
SEAL,BGV,8192,1,add,0.1,819,8192,56,0.05934,measured
SEAL,BGV,8192,1,add,0.1,819,8192,57,0.062696,measured
SEAL,BGV,8192,1,add,0.1,819,8192,58,0.058729,measured
SEAL,BGV,8192,1,add,0.1,819,8192,59,0.067965,measured
SEAL,BGV,8192,1,add,0.1,819,8192,60,0.053179,measured
SEAL,BGV,8192,1,add,0.1,819,8192,61,0.064259,measured
