library,scheme,N,category,operation,fill_pct,n_real,slot_count,iteration,latency_ms,status
SEAL,BGV,8192,1,encrypt,0.1,819,8192,0,3.54656,warmup
SEAL,BGV,8192,1,encrypt,0.1,819,8192,1,3.17488,warmup
SEAL,BGV,8192,1,encrypt,0.1,819,8192,2,3.08185,warmup
SEAL,BGV,8192,1,encrypt,0.1,819,8192,3,3.10138,warmup
SEAL,BGV,8192,1,encrypt,0.1,819,8192,4,3.09701,warmup
SEAL,BGV,8192,1,encrypt,0.1,819,8192,5,3.09113,measured
SEAL,BGV,8192,1,encrypt,0.1,819,8192,6,3.10107,measured
SEAL,BGV,8192,1,encrypt,0.1,819,8192,7,3.1091,measured
SEAL,BGV,8192,1,encrypt,0.1,819,8192,8,3.17369,measured
SEAL,BGV,8192,1,encrypt,0.1,819,8192,9,3.18814,measured
SEAL,BGV,8192,1,encrypt,0.1,819,8192,10,3.15821,measured
SEAL,BGV,8192,1,encrypt,0.1,819,8192,11,3.18208,measured
SEAL,BGV,8192,1,encrypt,0.1,819,8192,12,3.17221,measured
SEAL,BGV,8192,1,encrypt,0.1,819,8192,13,3.16839,measured
SEAL,BGV,8192,1,encrypt,0.1,819,8192,14,3.13962,measured
SEAL,BGV,8192,1,encrypt,0.1,819,8192,15,3.17581,measured
SEAL,BGV,8192,1,encrypt,0.1,819,8192,16,3.19235,measured
SEAL,BGV,8192,1,encrypt,0.1,819,8192,17,3.24804,measured
SEAL,BGV,8192,1,encrypt,0.1,819,8192,18,3.1486,measured
SEAL,BGV,8192,1,encrypt,0.1,819,8192,19,3.16443,measured
SEAL,BGV,8192,1,encrypt,0.1,819,8192,20,3.18815,measured
SEAL,BGV,8192,1,encrypt,0.1,819,8192,21,3.13063,measured
SEAL,BGV,8192,1,encrypt,0.1,819,8192,22,3.1898,measured
SEAL,BGV,8192,1,encrypt,0.1,819,8192,23,3.15713,measured
SEAL,BGV,8192,1,encrypt,0.1,819,8192,24,3.17546,measured
SEAL,BGV,8192,1,encrypt,0.1,819,8192,25,3.14821,measured
SEAL,BGV,8192,1,encrypt,0.1,819,8192,26,3.16347,measured
SEAL,BGV,8192,1,encrypt,0.1,819,8192,27,3.18373,measured
SEAL,BGV,8192,1,encrypt,0.1,819,8192,28,3.13886,measured
SEAL,BGV,8192,1,encrypt,0.1,819,8192,29,3.16888,measured
SEAL,BGV,8192,1,encrypt,0.1,819,8192,30,3.18665,measured
SEAL,BGV,8192,1,encrypt,0.1,819,8192,31,3.1585,measured
SEAL,BGV,8192,1,encrypt,0.1,819,8192,32,3.15653,measured
SEAL,BGV,8192,1,encrypt,0.1,819,8192,33,3.14196,measured
SEAL,BGV,8192,1,encrypt,0.1,819,8192,34,3.1705,measured
SEAL,BGV,8192,1,encrypt,0.1,819,8192,35,3.12206,measured
SEAL,BGV,8192,1,encrypt,0.1,819,8192,36,3.14789,measured
SEAL,BGV,8192,1,encrypt,0.1,819,8192,37,3.20815,measured
SEAL,BGV,8192,1,encrypt,0.1,819,8192,38,3.144,measured
SEAL,BGV,8192,1,encrypt,0.1,819,8192,39,3.16886,measured
SEAL,BGV,8192,1,encrypt,0.1,819,8192,40,3.14756,measured
SEAL,BGV,8192,1,encrypt,0.1,819,8192,41,3.1635,measured
SEAL,BGV,8192,1,encrypt,0.1,819,8192,42,3.17779,measured
SEAL,BGV,8192,1,encrypt,0.1,819,8192,43,3.13426,measured
SEAL,BGV,8192,1,encrypt,0.1,819,8192,44,3.1403,measured
SEAL,BGV,8192,1,encrypt,0.1,819,8192,45,3.19059,measured
SEAL,BGV,8192,1,encrypt,0.1,819,8192,46,3.14219,measured
SEAL,BGV,8192,1,encrypt,0.1,819,8192,47,3.18332,measured
SEAL,BGV,8192,1,encrypt,0.1,819,8192,48,3.14316,measured
SEAL,BGV,8192,1,encrypt,0.1,819,8192,49,3.1918,measured
SEAL,BGV,8192,1,encrypt,0.1,819,8192,50,3.15185,measured
SEAL,BGV,8192,1,encrypt,0.1,819,8192,51,3.13844,measured
SEAL,BGV,8192,1,encrypt,0.1,819,8192,52,3.15409,measured
SEAL,BGV,8192,1,encrypt,0.1,819,8192,53,3.14345,measured
SEAL,BGV,8192,1,encrypt,0.1,819,8192,54,3.15406,measured
SEAL,BGV,8192,1,encrypt,0.1,819,8192,55,3.17845,measured
SEAL,BGV,8192,1,encrypt,0.1,819,8192,56,3.16068,measured
SEAL,BGV,8192,1,encrypt,0.1,819,8192,57,3.16773,measured
SEAL,BGV,8192,1,encrypt,0.1,819,8192,58,3.17654,measured
SEAL,BGV,8192,1,encrypt,0.1,819,8192,59,3.16215,measured
SEAL,BGV,8192,1,encrypt,0.1,819,8192,60,3.16252,measured
SEAL,BGV,8192,1,encrypt,0.1,819,8192,61,3.13648,measured
SEAL,BGV,8192,1,encrypt,0.1,819,8192,62,3.37004,measured
SEAL,BGV,8192,1,encrypt,0.1,819,8192,63,3.19042,measured
SEAL,BGV,8192,1,encrypt,0.1,819,8192,64,3.14882,measured
SEAL,BGV,8192,1,encrypt,0.1,819,8192,65,3.17432,measured
SEAL,BGV,8192,1,encrypt,0.1,819,8192,66,3.14432,measured
SEAL,BGV,8192,1,encrypt,0.1,819,8192,67,3.14365,measured
SEAL,BGV,8192,1,encrypt,0.1,819,8192,68,3.14725,measured
SEAL,BGV,8192,1,encrypt,0.1,819,8192,69,3.18246,measured
