library,scheme,N,category,operation,fill_pct,n_real,slot_count,iteration,latency_ms,status
SEAL,BGV,8192,1,encrypt,0,1,8192,0,3.59673,warmup
SEAL,BGV,8192,1,encrypt,0,1,8192,1,3.24415,warmup
SEAL,BGV,8192,1,encrypt,0,1,8192,2,3.09653,warmup
SEAL,BGV,8192,1,encrypt,0,1,8192,3,3.14542,warmup
SEAL,BGV,8192,1,encrypt,0,1,8192,4,3.11676,warmup
SEAL,BGV,8192,1,encrypt,0,1,8192,5,3.39674,measured
SEAL,BGV,8192,1,encrypt,0,1,8192,6,3.24792,measured
SEAL,BGV,8192,1,encrypt,0,1,8192,7,3.26224,measured
SEAL,BGV,8192,1,encrypt,0,1,8192,8,3.29557,measured
SEAL,BGV,8192,1,encrypt,0,1,8192,9,3.25196,measured
SEAL,BGV,8192,1,encrypt,0,1,8192,10,3.23085,measured
SEAL,BGV,8192,1,encrypt,0,1,8192,11,3.30803,measured
SEAL,BGV,8192,1,encrypt,0,1,8192,12,3.33273,measured
SEAL,BGV,8192,1,encrypt,0,1,8192,13,3.24638,measured
SEAL,BGV,8192,1,encrypt,0,1,8192,14,3.20783,measured
SEAL,BGV,8192,1,encrypt,0,1,8192,15,3.25533,measured
SEAL,BGV,8192,1,encrypt,0,1,8192,16,3.24189,measured
SEAL,BGV,8192,1,encrypt,0,1,8192,17,3.22581,measured
SEAL,BGV,8192,1,encrypt,0,1,8192,18,3.30334,measured
SEAL,BGV,8192,1,encrypt,0,1,8192,19,3.28353,measured
SEAL,BGV,8192,1,encrypt,0,1,8192,20,3.21297,measured
SEAL,BGV,8192,1,encrypt,0,1,8192,21,3.24208,measured
SEAL,BGV,8192,1,encrypt,0,1,8192,22,3.21513,measured
SEAL,BGV,8192,1,encrypt,0,1,8192,23,3.23431,measured
SEAL,BGV,8192,1,encrypt,0,1,8192,24,3.20949,measured
SEAL,BGV,8192,1,encrypt,0,1,8192,25,3.29739,measured
SEAL,BGV,8192,1,encrypt,0,1,8192,26,3.29547,measured
SEAL,BGV,8192,1,encrypt,0,1,8192,27,3.22111,measured
SEAL,BGV,8192,1,encrypt,0,1,8192,28,3.26811,measured
SEAL,BGV,8192,1,encrypt,0,1,8192,29,3.21001,measured
SEAL,BGV,8192,1,encrypt,0,1,8192,30,3.22655,measured
SEAL,BGV,8192,1,encrypt,0,1,8192,31,3.20983,measured
SEAL,BGV,8192,1,encrypt,0,1,8192,32,3.20042,measured
SEAL,BGV,8192,1,encrypt,0,1,8192,33,3.22782,measured
SEAL,BGV,8192,1,encrypt,0,1,8192,34,3.20628,measured
SEAL,BGV,8192,1,encrypt,0,1,8192,35,3.20593,measured
SEAL,BGV,8192,1,encrypt,0,1,8192,36,3.20983,measured
SEAL,BGV,8192,1,encrypt,0,1,8192,37,3.19279,measured
SEAL,BGV,8192,1,encrypt,0,1,8192,38,3.2527,measured
SEAL,BGV,8192,1,encrypt,0,1,8192,39,3.29695,measured
SEAL,BGV,8192,1,encrypt,0,1,8192,40,3.33697,measured
SEAL,BGV,8192,1,encrypt,0,1,8192,41,3.29286,measured
SEAL,BGV,8192,1,encrypt,0,1,8192,42,3.2603,measured
SEAL,BGV,8192,1,encrypt,0,1,8192,43,3.27323,measured
SEAL,BGV,8192,1,encrypt,0,1,8192,44,3.28633,measured
SEAL,BGV,8192,1,encrypt,0,1,8192,45,3.2562,measured
SEAL,BGV,8192,1,encrypt,0,1,8192,46,3.39726,measured
SEAL,BGV,8192,1,encrypt,0,1,8192,47,3.26912,measured
SEAL,BGV,8192,1,encrypt,0,1,8192,48,3.25135,measured
SEAL,BGV,8192,1,encrypt,0,1,8192,49,3.25178,measured
SEAL,BGV,8192,1,encrypt,0,1,8192,50,3.23087,measured
SEAL,BGV,8192,1,encrypt,0,1,8192,51,3.23624,measured
SEAL,BGV,8192,1,encrypt,0,1,8192,52,3.26234,measured
SEAL,BGV,8192,1,encrypt,0,1,8192,53,3.45229,measured
SEAL,BGV,8192,1,encrypt,0,1,8192,54,3.26911,measured
SEAL,BGV,8192,1,encrypt,0,1,8192,55,3.26359,measured
SEAL,BGV,8192,1,encrypt,0,1,8192,56,3.30942,measured
SEAL,BGV,8192,1,encrypt,0,1,8192,57,3.3021,measured
SEAL,BGV,8192,1,encrypt,0,1,8192,58,3.30522,measured
SEAL,BGV,8192,1,encrypt,0,1,8192,59,3.29407,measured
SEAL,BGV,8192,1,encrypt,0,1,8192,60,3.38659,measured
SEAL,BGV,8192,1,encrypt,0,1,8192,61,3.27872,measured
SEAL,BGV,8192,1,encrypt,0,1,8192,62,3.24529,measured
SEAL,BGV,8192,1,encrypt,0,1,8192,63,3.27684,measured
SEAL,BGV,8192,1,encrypt,0,1,8192,64,3.23955,measured
SEAL,BGV,8192,1,encrypt,0,1,8192,65,3.29943,measured
SEAL,BGV,8192,1,encrypt,0,1,8192,66,3.38311,measured
SEAL,BGV,8192,1,encrypt,0,1,8192,67,3.4103,measured
SEAL,BGV,8192,1,encrypt,0,1,8192,68,3.31027,measured
SEAL,BGV,8192,1,encrypt,0,1,8192,69,3.31125,measured
SEAL,BGV,8192,1,encrypt,0,1,8192,70,3.26776,measured
SEAL,BGV,8192,1,encrypt,0,1,8192,71,3.27566,measured
SEAL,BGV,8192,1,encrypt,0,1,8192,72,3.29056,measured
SEAL,BGV,8192,1,encrypt,0,1,8192,73,3.3268,measured
SEAL,BGV,8192,1,encrypt,0,1,8192,74,3.29497,measured
SEAL,BGV,8192,1,encrypt,0,1,8192,75,3.26712,measured
SEAL,BGV,8192,1,encrypt,0,1,8192,76,3.24888,measured
