library,scheme,N,category,operation,fill_pct,n_real,slot_count,iteration,latency_ms,status
SEAL,BGV,8192,1,multiply,0,1,8192,0,0.618073,warmup
SEAL,BGV,8192,1,multiply,0,1,8192,1,0.4701,warmup
SEAL,BGV,8192,1,multiply,0,1,8192,2,0.45441,warmup
SEAL,BGV,8192,1,multiply,0,1,8192,3,0.45472,warmup
SEAL,BGV,8192,1,multiply,0,1,8192,4,0.475249,warmup
SEAL,BGV,8192,1,multiply,0,1,8192,5,0.467444,measured
SEAL,BGV,8192,1,multiply,0,1,8192,6,0.483905,measured
SEAL,BGV,8192,1,multiply,0,1,8192,7,0.480158,measured
SEAL,BGV,8192,1,multiply,0,1,8192,8,0.474567,measured
SEAL,BGV,8192,1,multiply,0,1,8192,9,0.448049,measured
SEAL,BGV,8192,1,multiply,0,1,8192,10,0.462986,measured
SEAL,BGV,8192,1,multiply,0,1,8192,11,0.511105,measured
SEAL,BGV,8192,1,multiply,0,1,8192,12,0.465971,measured
SEAL,BGV,8192,1,multiply,0,1,8192,13,0.455131,measured
SEAL,BGV,8192,1,multiply,0,1,8192,14,0.467765,measured
SEAL,BGV,8192,1,multiply,0,1,8192,15,0.449952,measured
SEAL,BGV,8192,1,multiply,0,1,8192,16,0.452396,measured
SEAL,BGV,8192,1,multiply,0,1,8192,17,0.595471,measured
SEAL,BGV,8192,1,multiply,0,1,8192,18,0.438742,measured
SEAL,BGV,8192,1,multiply,0,1,8192,19,0.45937,measured
SEAL,BGV,8192,1,multiply,0,1,8192,20,0.460652,measured
SEAL,BGV,8192,1,multiply,0,1,8192,21,0.434554,measured
SEAL,BGV,8192,1,multiply,0,1,8192,22,0.472594,measured
SEAL,BGV,8192,1,multiply,0,1,8192,23,0.457616,measured
SEAL,BGV,8192,1,multiply,0,1,8192,24,0.450303,measured
SEAL,BGV,8192,1,multiply,0,1,8192,25,0.512468,measured
SEAL,BGV,8192,1,multiply,0,1,8192,26,0.463968,measured
SEAL,BGV,8192,1,multiply,0,1,8192,27,0.490086,measured
SEAL,BGV,8192,1,multiply,0,1,8192,28,0.465441,measured
SEAL,BGV,8192,1,multiply,0,1,8192,29,0.475389,measured
SEAL,BGV,8192,1,multiply,0,1,8192,30,0.496017,measured
SEAL,BGV,8192,1,multiply,0,1,8192,31,0.458247,measured
SEAL,BGV,8192,1,multiply,0,1,8192,32,0.474156,measured
SEAL,BGV,8192,1,multiply,0,1,8192,33,0.455102,measured
SEAL,BGV,8192,1,multiply,0,1,8192,34,0.469017,measured
SEAL,BGV,8192,1,multiply,0,1,8192,35,0.468276,measured
SEAL,BGV,8192,1,multiply,0,1,8192,36,0.485878,measured
SEAL,BGV,8192,1,multiply,0,1,8192,37,0.464238,measured
SEAL,BGV,8192,1,multiply,0,1,8192,38,0.457246,measured
SEAL,BGV,8192,1,multiply,0,1,8192,39,0.493623,measured
SEAL,BGV,8192,1,multiply,0,1,8192,40,0.454681,measured
SEAL,BGV,8192,1,multiply,0,1,8192,41,0.45435,measured
SEAL,BGV,8192,1,multiply,0,1,8192,42,0.458468,measured
SEAL,BGV,8192,1,multiply,0,1,8192,43,0.479356,measured
SEAL,BGV,8192,1,multiply,0,1,8192,44,0.470811,measured
SEAL,BGV,8192,1,multiply,0,1,8192,45,0.459149,measured
SEAL,BGV,8192,1,multiply,0,1,8192,46,0.472383,measured
SEAL,BGV,8192,1,multiply,0,1,8192,47,0.468436,measured
SEAL,BGV,8192,1,multiply,0,1,8192,48,0.452467,measured
SEAL,BGV,8192,1,multiply,0,1,8192,49,0.52452,measured
SEAL,BGV,8192,1,multiply,0,1,8192,50,0.483484,measured
SEAL,BGV,8192,1,multiply,0,1,8192,51,0.463366,measured
SEAL,BGV,8192,1,multiply,0,1,8192,52,0.528547,measured
SEAL,BGV,8192,1,multiply,0,1,8192,53,0.459811,measured
SEAL,BGV,8192,1,multiply,0,1,8192,54,0.45949,measured
SEAL,BGV,8192,1,multiply,0,1,8192,55,0.493803,measured
SEAL,BGV,8192,1,multiply,0,1,8192,56,0.494194,measured
SEAL,BGV,8192,1,multiply,0,1,8192,57,0.489585,measured
SEAL,BGV,8192,1,multiply,0,1,8192,58,0.488373,measured
SEAL,BGV,8192,1,multiply,0,1,8192,59,0.476201,measured
SEAL,BGV,8192,1,multiply,0,1,8192,60,0.454139,measured
SEAL,BGV,8192,1,multiply,0,1,8192,61,0.500655,measured
