library,scheme,N,category,operation,fill_pct,n_real,slot_count,iteration,latency_ms,status
SEAL,CKKS,8192,1,encrypt,0.5,2048,4096,0,3.40683,warmup
SEAL,CKKS,8192,1,encrypt,0.5,2048,4096,1,2.98747,warmup
SEAL,CKKS,8192,1,encrypt,0.5,2048,4096,2,2.71792,warmup
SEAL,CKKS,8192,1,encrypt,0.5,2048,4096,3,2.89285,warmup
SEAL,CKKS,8192,1,encrypt,0.5,2048,4096,4,2.87711,warmup
SEAL,CKKS,8192,1,encrypt,0.5,2048,4096,5,2.87883,measured
SEAL,CKKS,8192,1,encrypt,0.5,2048,4096,6,2.90269,measured
SEAL,CKKS,8192,1,encrypt,0.5,2048,4096,7,2.84279,measured
SEAL,CKKS,8192,1,encrypt,0.5,2048,4096,8,2.84717,measured
SEAL,CKKS,8192,1,encrypt,0.5,2048,4096,9,2.85727,measured
SEAL,CKKS,8192,1,encrypt,0.5,2048,4096,10,2.85158,measured
SEAL,CKKS,8192,1,encrypt,0.5,2048,4096,11,2.84652,measured
SEAL,CKKS,8192,1,encrypt,0.5,2048,4096,12,2.81273,measured
SEAL,CKKS,8192,1,encrypt,0.5,2048,4096,13,2.83238,measured
SEAL,CKKS,8192,1,encrypt,0.5,2048,4096,14,2.78584,measured
SEAL,CKKS,8192,1,encrypt,0.5,2048,4096,15,2.8212,measured
SEAL,CKKS,8192,1,encrypt,0.5,2048,4096,16,2.82669,measured
SEAL,CKKS,8192,1,encrypt,0.5,2048,4096,17,2.78948,measured
SEAL,CKKS,8192,1,encrypt,0.5,2048,4096,18,2.77849,measured
SEAL,CKKS,8192,1,encrypt,0.5,2048,4096,19,2.83578,measured
SEAL,CKKS,8192,1,encrypt,0.5,2048,4096,20,2.81711,measured
SEAL,CKKS,8192,1,encrypt,0.5,2048,4096,21,2.87741,measured
SEAL,CKKS,8192,1,encrypt,0.5,2048,4096,22,2.78321,measured
SEAL,CKKS,8192,1,encrypt,0.5,2048,4096,23,2.78914,measured
SEAL,CKKS,8192,1,encrypt,0.5,2048,4096,24,2.77683,measured
SEAL,CKKS,8192,1,encrypt,0.5,2048,4096,25,2.77595,measured
SEAL,CKKS,8192,1,encrypt,0.5,2048,4096,26,2.76836,measured
SEAL,CKKS,8192,1,encrypt,0.5,2048,4096,27,2.76618,measured
SEAL,CKKS,8192,1,encrypt,0.5,2048,4096,28,2.7908,measured
SEAL,CKKS,8192,1,encrypt,0.5,2048,4096,29,2.7442,measured
SEAL,CKKS,8192,1,encrypt,0.5,2048,4096,30,2.77538,measured
SEAL,CKKS,8192,1,encrypt,0.5,2048,4096,31,2.75321,measured
SEAL,CKKS,8192,1,encrypt,0.5,2048,4096,32,2.74985,measured
SEAL,CKKS,8192,1,encrypt,0.5,2048,4096,33,2.73311,measured
SEAL,CKKS,8192,1,encrypt,0.5,2048,4096,34,2.76977,measured
SEAL,CKKS,8192,1,encrypt,0.5,2048,4096,35,2.76192,measured
SEAL,CKKS,8192,1,encrypt,0.5,2048,4096,36,2.74628,measured
SEAL,CKKS,8192,1,encrypt,0.5,2048,4096,37,2.76555,measured
SEAL,CKKS,8192,1,encrypt,0.5,2048,4096,38,2.76684,measured
SEAL,CKKS,8192,1,encrypt,0.5,2048,4096,39,2.75016,measured
SEAL,CKKS,8192,1,encrypt,0.5,2048,4096,40,2.7604,measured
SEAL,CKKS,8192,1,encrypt,0.5,2048,4096,41,2.74664,measured
SEAL,CKKS,8192,1,encrypt,0.5,2048,4096,42,2.74688,measured
SEAL,CKKS,8192,1,encrypt,0.5,2048,4096,43,2.74274,measured
SEAL,CKKS,8192,1,encrypt,0.5,2048,4096,44,2.77537,measured
SEAL,CKKS,8192,1,encrypt,0.5,2048,4096,45,2.79722,measured
SEAL,CKKS,8192,1,encrypt,0.5,2048,4096,46,2.7455,measured
SEAL,CKKS,8192,1,encrypt,0.5,2048,4096,47,2.81107,measured
SEAL,CKKS,8192,1,encrypt,0.5,2048,4096,48,2.81654,measured
SEAL,CKKS,8192,1,encrypt,0.5,2048,4096,49,2.82489,measured
SEAL,CKKS,8192,1,encrypt,0.5,2048,4096,50,2.77733,measured
SEAL,CKKS,8192,1,encrypt,0.5,2048,4096,51,2.80461,measured
SEAL,CKKS,8192,1,encrypt,0.5,2048,4096,52,2.83889,measured
SEAL,CKKS,8192,1,encrypt,0.5,2048,4096,53,2.82469,measured
SEAL,CKKS,8192,1,encrypt,0.5,2048,4096,54,2.77117,measured
SEAL,CKKS,8192,1,encrypt,0.5,2048,4096,55,2.81321,measured
SEAL,CKKS,8192,1,encrypt,0.5,2048,4096,56,2.82429,measured
SEAL,CKKS,8192,1,encrypt,0.5,2048,4096,57,2.82022,measured
SEAL,CKKS,8192,1,encrypt,0.5,2048,4096,58,2.79872,measured
SEAL,CKKS,8192,1,encrypt,0.5,2048,4096,59,3.12751,measured
SEAL,CKKS,8192,1,encrypt,0.5,2048,4096,60,2.98161,measured
SEAL,CKKS,8192,1,encrypt,0.5,2048,4096,61,2.84546,measured
SEAL,CKKS,8192,1,encrypt,0.5,2048,4096,62,2.81374,measured
SEAL,CKKS,8192,1,encrypt,0.5,2048,4096,63,2.79724,measured
SEAL,CKKS,8192,1,encrypt,0.5,2048,4096,64,2.83624,measured
SEAL,CKKS,8192,1,encrypt,0.5,2048,4096,65,2.81969,measured
SEAL,CKKS,8192,1,encrypt,0.5,2048,4096,66,2.7756,measured
SEAL,CKKS,8192,1,encrypt,0.5,2048,4096,67,2.94869,measured
SEAL,CKKS,8192,1,encrypt,0.5,2048,4096,68,2.82558,measured
SEAL,CKKS,8192,1,encrypt,0.5,2048,4096,69,2.8006,measured
SEAL,CKKS,8192,1,encrypt,0.5,2048,4096,70,2.85186,measured
SEAL,CKKS,8192,1,encrypt,0.5,2048,4096,71,2.79962,measured
SEAL,CKKS,8192,1,encrypt,0.5,2048,4096,72,2.8225,measured
SEAL,CKKS,8192,1,encrypt,0.5,2048,4096,73,2.78936,measured
SEAL,CKKS,8192,1,encrypt,0.5,2048,4096,74,2.9203,measured
SEAL,CKKS,8192,1,encrypt,0.5,2048,4096,75,2.87302,measured
SEAL,CKKS,8192,1,encrypt,0.5,2048,4096,76,2.79385,measured
SEAL,CKKS,8192,1,encrypt,0.5,2048,4096,77,2.89253,measured
SEAL,CKKS,8192,1,encrypt,0.5,2048,4096,78,2.83624,measured
SEAL,CKKS,8192,1,encrypt,0.5,2048,4096,79,2.80252,measured
SEAL,CKKS,8192,1,encrypt,0.5,2048,4096,80,2.79341,measured
SEAL,CKKS,8192,1,encrypt,0.5,2048,4096,81,2.74061,measured
SEAL,CKKS,8192,1,encrypt,0.5,2048,4096,82,2.79021,measured
SEAL,CKKS,8192,1,encrypt,0.5,2048,4096,83,2.91533,measured
SEAL,CKKS,8192,1,encrypt,0.5,2048,4096,84,2.87496,measured
SEAL,CKKS,8192,1,encrypt,0.5,2048,4096,85,2.80133,measured
SEAL,CKKS,8192,1,encrypt,0.5,2048,4096,86,2.84813,measured
SEAL,CKKS,8192,1,encrypt,0.5,2048,4096,87,2.80218,measured
SEAL,CKKS,8192,1,encrypt,0.5,2048,4096,88,2.80801,measured
SEAL,CKKS,8192,1,encrypt,0.5,2048,4096,89,2.88225,measured
SEAL,CKKS,8192,1,encrypt,0.5,2048,4096,90,2.85081,measured
SEAL,CKKS,8192,1,encrypt,0.5,2048,4096,91,2.80768,measured
SEAL,CKKS,8192,1,encrypt,0.5,2048,4096,92,2.79118,measured
SEAL,CKKS,8192,1,encrypt,0.5,2048,4096,93,2.80152,measured
SEAL,CKKS,8192,1,encrypt,0.5,2048,4096,94,2.95047,measured
SEAL,CKKS,8192,1,encrypt,0.5,2048,4096,95,2.80632,measured
SEAL,CKKS,8192,1,encrypt,0.5,2048,4096,96,2.79156,measured
SEAL,CKKS,8192,1,encrypt,0.5,2048,4096,97,2.78106,measured
SEAL,CKKS,8192,1,encrypt,0.5,2048,4096,98,2.79195,measured
SEAL,CKKS,8192,1,encrypt,0.5,2048,4096,99,2.97018,measured
SEAL,CKKS,8192,1,encrypt,0.5,2048,4096,100,2.7909,measured
SEAL,CKKS,8192,1,encrypt,0.5,2048,4096,101,2.78937,measured
SEAL,CKKS,8192,1,encrypt,0.5,2048,4096,102,2.83471,measured
SEAL,CKKS,8192,1,encrypt,0.5,2048,4096,103,2.79278,measured
SEAL,CKKS,8192,1,encrypt,0.5,2048,4096,104,2.93931,measured
