library,scheme,N,category,operation,fill_pct,n_real,slot_count,iteration,latency_ms,status
SEAL,CKKS,8192,1,encrypt,0,1,4096,0,3.12216,warmup
SEAL,CKKS,8192,1,encrypt,0,1,4096,1,2.74766,warmup
SEAL,CKKS,8192,1,encrypt,0,1,4096,2,2.69999,warmup
SEAL,CKKS,8192,1,encrypt,0,1,4096,3,2.72393,warmup
SEAL,CKKS,8192,1,encrypt,0,1,4096,4,2.75856,warmup
SEAL,CKKS,8192,1,encrypt,0,1,4096,5,2.79202,measured
SEAL,CKKS,8192,1,encrypt,0,1,4096,6,2.79593,measured
SEAL,CKKS,8192,1,encrypt,0,1,4096,7,2.80062,measured
SEAL,CKKS,8192,1,encrypt,0,1,4096,8,2.79191,measured
SEAL,CKKS,8192,1,encrypt,0,1,4096,9,2.78714,measured
SEAL,CKKS,8192,1,encrypt,0,1,4096,10,2.78439,measured
SEAL,CKKS,8192,1,encrypt,0,1,4096,11,2.76824,measured
SEAL,CKKS,8192,1,encrypt,0,1,4096,12,2.7664,measured
SEAL,CKKS,8192,1,encrypt,0,1,4096,13,2.78734,measured
SEAL,CKKS,8192,1,encrypt,0,1,4096,14,2.78524,measured
SEAL,CKKS,8192,1,encrypt,0,1,4096,15,2.79942,measured
SEAL,CKKS,8192,1,encrypt,0,1,4096,16,2.82554,measured
SEAL,CKKS,8192,1,encrypt,0,1,4096,17,2.82463,measured
SEAL,CKKS,8192,1,encrypt,0,1,4096,18,2.7861,measured
SEAL,CKKS,8192,1,encrypt,0,1,4096,19,2.76986,measured
SEAL,CKKS,8192,1,encrypt,0,1,4096,20,2.7958,measured
SEAL,CKKS,8192,1,encrypt,0,1,4096,21,2.78328,measured
SEAL,CKKS,8192,1,encrypt,0,1,4096,22,2.77625,measured
SEAL,CKKS,8192,1,encrypt,0,1,4096,23,2.76997,measured
SEAL,CKKS,8192,1,encrypt,0,1,4096,24,2.78987,measured
SEAL,CKKS,8192,1,encrypt,0,1,4096,25,2.78208,measured
SEAL,CKKS,8192,1,encrypt,0,1,4096,26,2.7669,measured
SEAL,CKKS,8192,1,encrypt,0,1,4096,27,2.7345,measured
SEAL,CKKS,8192,1,encrypt,0,1,4096,28,2.78781,measured
SEAL,CKKS,8192,1,encrypt,0,1,4096,29,2.76262,measured
SEAL,CKKS,8192,1,encrypt,0,1,4096,30,3.17537,measured
SEAL,CKKS,8192,1,encrypt,0,1,4096,31,3.51873,measured
