library,scheme,N,category,operation,fill_pct,n_real,slot_count,iteration,latency_ms,status
SEAL,CKKS,8192,1,multiply,1,4096,4096,0,0.864148,warmup
SEAL,CKKS,8192,1,multiply,1,4096,4096,1,0.476051,warmup
SEAL,CKKS,8192,1,multiply,1,4096,4096,2,0.485117,warmup
SEAL,CKKS,8192,1,multiply,1,4096,4096,3,0.485618,warmup
SEAL,CKKS,8192,1,multiply,1,4096,4096,4,0.480658,warmup
SEAL,CKKS,8192,1,multiply,1,4096,4096,5,0.490798,measured
SEAL,CKKS,8192,1,multiply,1,4096,4096,6,0.491679,measured
SEAL,CKKS,8192,1,multiply,1,4096,4096,7,0.530791,measured
SEAL,CKKS,8192,1,multiply,1,4096,4096,8,0.480529,measured
SEAL,CKKS,8192,1,multiply,1,4096,4096,9,0.490918,measured
SEAL,CKKS,8192,1,multiply,1,4096,4096,10,0.465831,measured
SEAL,CKKS,8192,1,multiply,1,4096,4096,11,0.467254,measured
SEAL,CKKS,8192,1,multiply,1,4096,4096,12,0.509242,measured
SEAL,CKKS,8192,1,multiply,1,4096,4096,13,0.493693,measured
SEAL,CKKS,8192,1,multiply,1,4096,4096,14,0.489275,measured
SEAL,CKKS,8192,1,multiply,1,4096,4096,15,0.483504,measured
SEAL,CKKS,8192,1,multiply,1,4096,4096,16,0.482122,measured
SEAL,CKKS,8192,1,multiply,1,4096,4096,17,0.462746,measured
SEAL,CKKS,8192,1,multiply,1,4096,4096,18,0.457877,measured
SEAL,CKKS,8192,1,multiply,1,4096,4096,19,0.524339,measured
SEAL,CKKS,8192,1,multiply,1,4096,4096,20,0.457366,measured
SEAL,CKKS,8192,1,multiply,1,4096,4096,21,0.481039,measured
SEAL,CKKS,8192,1,multiply,1,4096,4096,22,0.482973,measured
SEAL,CKKS,8192,1,multiply,1,4096,4096,23,0.468897,measured
SEAL,CKKS,8192,1,multiply,1,4096,4096,24,0.463828,measured
SEAL,CKKS,8192,1,multiply,1,4096,4096,25,0.451335,measured
SEAL,CKKS,8192,1,multiply,1,4096,4096,26,0.469949,measured
SEAL,CKKS,8192,1,multiply,1,4096,4096,27,0.459119,measured
