library,scheme,N,category,operation,fill_pct,n_real,slot_count,iteration,latency_ms,status
SEAL,CKKS,8192,1,multiply,0,1,4096,0,0.93038,warmup
SEAL,CKKS,8192,1,multiply,0,1,4096,1,0.452967,warmup
SEAL,CKKS,8192,1,multiply,0,1,4096,2,0.471342,warmup
SEAL,CKKS,8192,1,multiply,0,1,4096,3,0.478044,warmup
SEAL,CKKS,8192,1,multiply,0,1,4096,4,0.473856,warmup
SEAL,CKKS,8192,1,multiply,0,1,4096,5,0.460853,measured
SEAL,CKKS,8192,1,multiply,0,1,4096,6,0.478285,measured
SEAL,CKKS,8192,1,multiply,0,1,4096,7,0.496848,measured
SEAL,CKKS,8192,1,multiply,0,1,4096,8,0.476341,measured
SEAL,CKKS,8192,1,multiply,0,1,4096,9,0.590181,measured
SEAL,CKKS,8192,1,multiply,0,1,4096,10,0.495285,measured
SEAL,CKKS,8192,1,multiply,0,1,4096,11,0.460953,measured
SEAL,CKKS,8192,1,multiply,0,1,4096,12,0.47033,measured
SEAL,CKKS,8192,1,multiply,0,1,4096,13,0.515002,measured
SEAL,CKKS,8192,1,multiply,0,1,4096,14,0.464288,measured
SEAL,CKKS,8192,1,multiply,0,1,4096,15,0.463387,measured
SEAL,CKKS,8192,1,multiply,0,1,4096,16,0.507117,measured
SEAL,CKKS,8192,1,multiply,0,1,4096,17,0.485287,measured
SEAL,CKKS,8192,1,multiply,0,1,4096,18,0.480588,measured
SEAL,CKKS,8192,1,multiply,0,1,4096,19,0.480398,measured
SEAL,CKKS,8192,1,multiply,0,1,4096,20,0.47107,measured
SEAL,CKKS,8192,1,multiply,0,1,4096,21,0.466463,measured
SEAL,CKKS,8192,1,multiply,0,1,4096,22,0.488604,measured
SEAL,CKKS,8192,1,multiply,0,1,4096,23,0.497009,measured
SEAL,CKKS,8192,1,multiply,0,1,4096,24,0.496047,measured
SEAL,CKKS,8192,1,multiply,0,1,4096,25,0.475559,measured
SEAL,CKKS,8192,1,multiply,0,1,4096,26,0.488894,measured
SEAL,CKKS,8192,1,multiply,0,1,4096,27,0.47605,measured
SEAL,CKKS,8192,1,multiply,0,1,4096,28,0.465801,measured
SEAL,CKKS,8192,1,multiply,0,1,4096,29,0.478605,measured
SEAL,CKKS,8192,1,multiply,0,1,4096,30,0.472284,measured
SEAL,CKKS,8192,1,multiply,0,1,4096,31,0.45454,measured
SEAL,CKKS,8192,1,multiply,0,1,4096,32,0.500084,measured
SEAL,CKKS,8192,1,multiply,0,1,4096,33,0.531944,measured
SEAL,CKKS,8192,1,multiply,0,1,4096,34,0.455362,measured
SEAL,CKKS,8192,1,multiply,0,1,4096,35,0.452436,measured
SEAL,CKKS,8192,1,multiply,0,1,4096,36,0.479717,measured
SEAL,CKKS,8192,1,multiply,0,1,4096,37,0.45439,measured
SEAL,CKKS,8192,1,multiply,0,1,4096,38,0.466032,measured
SEAL,CKKS,8192,1,multiply,0,1,4096,39,0.475219,measured
