library,scheme,N,category,operation,batch_size,iteration,latency_ms,status
SEAL,CKKS,8192,1,multiply,1,0,0.415548,warmup
SEAL,CKKS,8192,1,multiply,1,1,0.41187,warmup
SEAL,CKKS,8192,1,multiply,1,2,0.4118,warmup
SEAL,CKKS,8192,1,multiply,1,3,0.414923,warmup
SEAL,CKKS,8192,1,multiply,1,4,0.41484,warmup
SEAL,CKKS,8192,1,multiply,1,5,0.414913,measured
SEAL,CKKS,8192,1,multiply,1,6,0.414969,measured
SEAL,CKKS,8192,1,multiply,1,7,0.415525,measured
SEAL,CKKS,8192,1,multiply,1,8,0.414821,measured
SEAL,CKKS,8192,1,multiply,1,9,0.414909,measured
SEAL,CKKS,8192,1,multiply,1,10,0.414538,measured
SEAL,CKKS,8192,1,multiply,1,11,0.416201,measured
SEAL,CKKS,8192,1,multiply,1,12,0.415087,measured
SEAL,CKKS,8192,1,multiply,1,13,0.41679,measured
SEAL,CKKS,8192,1,multiply,1,14,0.411873,measured
SEAL,CKKS,8192,1,multiply,1,15,0.416699,measured
SEAL,CKKS,8192,1,multiply,1,16,0.420139,measured
SEAL,CKKS,8192,1,multiply,1,17,0.412178,measured
SEAL,CKKS,8192,1,multiply,1,18,0.41385,measured
SEAL,CKKS,8192,1,multiply,1,19,0.418295,measured
SEAL,CKKS,8192,1,multiply,1,20,0.412102,measured
SEAL,CKKS,8192,1,multiply,1,21,0.410251,measured
SEAL,CKKS,8192,1,multiply,1,22,0.419568,measured
SEAL,CKKS,8192,1,multiply,1,23,0.411983,measured
SEAL,CKKS,8192,1,multiply,1,24,0.412216,measured
