library,scheme,N,category,operation,batch_size,iteration,latency_ms,status
SEAL,BFV,16384,3,keygen,1,0,167.037,warmup
SEAL,BFV,16384,3,keygen,1,1,142.664,warmup
SEAL,BFV,16384,3,keygen,1,2,145.368,warmup
SEAL,BFV,16384,3,keygen,1,3,143.635,warmup
SEAL,BFV,16384,3,keygen,1,4,148.142,warmup
SEAL,BFV,16384,3,keygen,1,5,145.462,measured
SEAL,BFV,16384,3,keygen,1,6,146.898,measured
SEAL,BFV,16384,3,keygen,1,7,145.259,measured
SEAL,BFV,16384,3,keygen,1,8,146.909,measured
SEAL,BFV,16384,3,keygen,1,9,146.877,measured
SEAL,BFV,16384,3,keygen,1,10,146.702,measured
SEAL,BFV,16384,3,keygen,1,11,146.515,measured
SEAL,BFV,16384,3,keygen,1,12,145.163,measured
SEAL,BFV,16384,3,keygen,1,13,145.733,measured
SEAL,BFV,16384,3,keygen,1,14,140.788,measured
SEAL,BFV,16384,3,keygen,1,15,139.992,measured
SEAL,BFV,16384,3,keygen,1,16,143.976,measured
SEAL,BFV,16384,3,keygen,1,17,146.028,measured
SEAL,BFV,16384,3,keygen,1,18,142.02,measured
SEAL,BFV,16384,3,keygen,1,19,140.718,measured
SEAL,BFV,16384,3,keygen,1,20,140.408,measured
SEAL,BFV,16384,3,keygen,1,21,143.125,measured
SEAL,BFV,16384,3,keygen,1,22,141.898,measured
SEAL,BFV,16384,3,keygen,1,23,141.27,measured
SEAL,BFV,16384,3,keygen,1,24,141.935,measured
SEAL,BFV,16384,3,keygen,1,25,142.933,measured
SEAL,BFV,16384,3,keygen,1,26,142.547,measured
SEAL,BFV,16384,3,keygen,1,27,143.815,measured
SEAL,BFV,16384,3,keygen,1,28,140.228,measured
SEAL,BFV,16384,3,keygen,1,29,139.827,measured
SEAL,BFV,16384,3,keygen,1,30,140.584,measured
SEAL,BFV,16384,3,keygen,1,31,141.34,measured
SEAL,BFV,16384,3,keygen,1,32,143.796,measured
SEAL,BFV,16384,3,keygen,1,33,144.914,measured
SEAL,BFV,16384,3,keygen,1,34,142.388,measured
SEAL,BFV,16384,3,keygen,1,35,141.035,measured
SEAL,BFV,16384,3,keygen,1,36,141.603,measured
SEAL,BFV,16384,3,keygen,1,37,140.592,measured
SEAL,BFV,16384,3,keygen,1,38,142.877,measured
SEAL,BFV,16384,3,keygen,1,39,143.891,measured
SEAL,BFV,16384,3,keygen,1,40,143.722,measured
SEAL,BFV,16384,3,keygen,1,41,143.559,measured
SEAL,BFV,16384,3,keygen,1,42,145.054,measured
SEAL,BFV,16384,3,keygen,1,43,140.224,measured
SEAL,BFV,16384,3,keygen,1,44,143.53,measured
SEAL,BFV,16384,3,keygen,1,45,140.362,measured
SEAL,BFV,16384,3,keygen,1,46,139.641,measured
SEAL,BFV,16384,3,keygen,1,47,142.13,measured
SEAL,BFV,16384,3,keygen,1,48,142.667,measured
SEAL,BFV,16384,3,keygen,1,49,142.978,measured
SEAL,BFV,16384,3,keygen,1,50,145.867,measured
SEAL,BFV,16384,3,keygen,1,51,140.371,measured
SEAL,BFV,16384,3,keygen,1,52,142,measured
SEAL,BFV,16384,3,keygen,1,53,142.701,measured
SEAL,BFV,16384,3,keygen,1,54,142.135,measured
SEAL,BFV,16384,3,keygen,1,55,140.229,measured
SEAL,BFV,16384,3,keygen,1,56,144.76,measured
SEAL,BFV,16384,3,keygen,1,57,143.545,measured
SEAL,BFV,16384,3,keygen,1,58,147.43,measured
SEAL,BFV,16384,3,keygen,1,59,140.489,measured
SEAL,BFV,16384,3,keygen,1,60,141.789,measured
SEAL,BFV,16384,3,keygen,1,61,142.596,measured
SEAL,BFV,16384,3,keygen,1,62,141.65,measured
SEAL,BFV,16384,3,keygen,1,63,142.421,measured
SEAL,BFV,16384,3,keygen,1,64,144.49,measured
SEAL,BFV,16384,3,keygen,1,65,143.914,measured
SEAL,BFV,16384,3,keygen,1,66,145.124,measured
SEAL,BFV,16384,3,keygen,1,67,140.681,measured
SEAL,BFV,16384,3,keygen,1,68,141.74,measured
SEAL,BFV,16384,3,keygen,1,69,143.031,measured
SEAL,BFV,16384,3,keygen,1,70,141.131,measured
SEAL,BFV,16384,3,keygen,1,71,144.574,measured
SEAL,BFV,16384,3,keygen,1,72,146.387,measured
SEAL,BFV,16384,3,keygen,1,73,145.645,measured
SEAL,BFV,16384,3,keygen,1,74,143.344,measured
SEAL,BFV,16384,3,keygen,1,75,145.433,measured
SEAL,BFV,16384,3,keygen,1,76,142.565,measured
SEAL,BFV,16384,3,keygen,1,77,143.163,measured
SEAL,BFV,16384,3,keygen,1,78,140.844,measured
SEAL,BFV,16384,3,keygen,1,79,141.751,measured
SEAL,BFV,16384,3,keygen,1,80,141.403,measured
SEAL,BFV,16384,3,keygen,1,81,144.218,measured
SEAL,BFV,16384,3,keygen,1,82,145.589,measured
SEAL,BFV,16384,3,keygen,1,83,144.008,measured
SEAL,BFV,16384,3,keygen,1,84,140.914,measured
SEAL,BFV,16384,3,keygen,1,85,142.653,measured
SEAL,BFV,16384,3,keygen,1,86,143.286,measured
SEAL,BFV,16384,3,keygen,1,87,144.386,measured
SEAL,BFV,16384,3,keygen,1,88,141.431,measured
SEAL,BFV,16384,3,keygen,1,89,143.386,measured
SEAL,BFV,16384,3,keygen,1,90,145.697,measured
SEAL,BFV,16384,3,keygen,1,91,142.874,measured
SEAL,BFV,16384,3,keygen,1,92,141.197,measured
SEAL,BFV,16384,3,keygen,1,93,142.85,measured
SEAL,BFV,16384,3,keygen,1,94,145.181,measured
