library,scheme,N,category,operation,batch_size,iteration,latency_ms,status
SEAL,BFV,2048,1,add,1,0,0.00494574,warmup
SEAL,BFV,2048,1,add,1,1,0.00606867,warmup
SEAL,BFV,2048,1,add,1,2,0.00493262,warmup
SEAL,BFV,2048,1,add,1,3,0.00468154,warmup
SEAL,BFV,2048,1,add,1,4,0.00489415,warmup
SEAL,BFV,2048,1,add,1,5,0.00506597,measured
SEAL,BFV,2048,1,add,1,6,0.00473074,measured
SEAL,BFV,2048,1,add,1,7,0.00491929,measured
SEAL,BFV,2048,1,add,1,8,0.00478724,measured
SEAL,BFV,2048,1,add,1,9,0.00496408,measured
SEAL,BFV,2048,1,add,1,10,0.00468125,measured
SEAL,BFV,2048,1,add,1,11,0.00459148,measured
SEAL,BFV,2048,1,add,1,12,0.0049723,measured
SEAL,BFV,2048,1,add,1,13,0.00474817,measured
SEAL,BFV,2048,1,add,1,14,0.00469047,measured
SEAL,BFV,2048,1,add,1,15,0.00515996,measured
SEAL,BFV,2048,1,add,1,16,0.00497921,measured
SEAL,BFV,2048,1,add,1,17,0.00459267,measured
SEAL,BFV,2048,1,add,1,18,0.00486529,measured
SEAL,BFV,2048,1,add,1,19,0.0053985,measured
SEAL,BFV,2048,1,add,1,20,0.00463977,measured
SEAL,BFV,2048,1,add,1,21,0.00454129,measured
SEAL,BFV,2048,1,add,1,22,0.00485167,measured
SEAL,BFV,2048,1,add,1,23,0.00488964,measured
SEAL,BFV,2048,1,add,1,24,0.0049726,measured
SEAL,BFV,2048,1,add,1,25,0.00480979,measured
SEAL,BFV,2048,1,add,1,26,0.00465359,measured
SEAL,BFV,2048,1,add,1,27,0.00491108,measured
SEAL,BFV,2048,1,add,1,28,0.0047636,measured
SEAL,BFV,2048,1,add,1,29,0.00446083,measured
SEAL,BFV,2048,1,add,1,30,0.00648135,measured
SEAL,BFV,2048,1,add,1,31,0.00459127,measured
SEAL,BFV,2048,1,add,1,32,0.00486179,measured
SEAL,BFV,2048,1,add,1,33,0.00453988,measured
SEAL,BFV,2048,1,add,1,34,0.00459278,measured
SEAL,BFV,2048,1,add,1,35,0.00459869,measured
SEAL,BFV,2048,1,add,1,36,0.00495476,measured
SEAL,BFV,2048,1,add,1,37,0.00490256,measured
SEAL,BFV,2048,1,add,1,38,0.0047613,measured
SEAL,BFV,2048,1,add,1,39,0.00458286,measured
SEAL,BFV,2048,1,add,1,40,0.00540622,measured
SEAL,BFV,2048,1,add,1,41,0.00458566,measured
SEAL,BFV,2048,1,add,1,42,0.00469557,measured
SEAL,BFV,2048,1,add,1,43,0.00468546,measured
SEAL,BFV,2048,1,add,1,44,0.00467092,measured
SEAL,BFV,2048,1,add,1,45,0.00444511,measured
SEAL,BFV,2048,1,add,1,46,0.00482452,measured
SEAL,BFV,2048,1,add,1,47,0.00473726,measured
SEAL,BFV,2048,1,add,1,48,0.0049779,measured
SEAL,BFV,2048,1,add,1,49,0.00480308,measured
SEAL,BFV,2048,1,add,1,50,0.00495928,measured
SEAL,BFV,2048,1,add,1,51,0.005346,measured
SEAL,BFV,2048,1,add,1,52,0.00833215,measured
SEAL,BFV,2048,1,add,1,53,0.00487011,measured
SEAL,BFV,2048,1,add,1,54,0.00526465,measured
SEAL,BFV,2048,1,add,1,55,0.00501708,measured
SEAL,BFV,2048,1,add,1,56,0.00690054,measured
SEAL,BFV,2048,1,add,1,57,0.0048653,measured
SEAL,BFV,2048,1,add,1,58,0.00469507,measured
SEAL,BFV,2048,1,add,1,59,0.00493612,measured
SEAL,BFV,2048,1,add,1,60,0.00529941,measured
SEAL,BFV,2048,1,add,1,61,0.0049744,measured
SEAL,BFV,2048,1,add,1,62,0.00457344,measured
SEAL,BFV,2048,1,add,1,63,0.0048685,measured
SEAL,BFV,2048,1,add,1,64,0.00478374,measured
SEAL,BFV,2048,1,add,1,65,0.00459889,measured
SEAL,BFV,2048,1,add,1,66,0.00448688,measured
SEAL,BFV,2048,1,add,1,67,0.00504013,measured
SEAL,BFV,2048,1,add,1,68,0.00454238,measured
SEAL,BFV,2048,1,add,1,69,0.00474788,measured
SEAL,BFV,2048,1,add,1,70,0.00443739,measured
SEAL,BFV,2048,1,add,1,71,0.00481209,measured
SEAL,BFV,2048,1,add,1,72,0.00443318,measured
SEAL,BFV,2048,1,add,1,73,0.00480648,measured
SEAL,BFV,2048,1,add,1,74,0.0047639,measured
SEAL,BFV,2048,1,add,1,75,0.00471861,measured
SEAL,BFV,2048,1,add,1,76,0.00504793,measured
SEAL,BFV,2048,1,add,1,77,0.00567683,measured
SEAL,BFV,2048,1,add,1,78,0.00491198,measured
SEAL,BFV,2048,1,add,1,79,0.00482902,measured
SEAL,BFV,2048,1,add,1,80,0.00452395,measured
SEAL,BFV,2048,1,add,1,81,0.004656,measured
SEAL,BFV,2048,1,add,1,82,0.00484195,measured
SEAL,BFV,2048,1,add,1,83,0.00462885,measured
SEAL,BFV,2048,1,add,1,84,0.00495005,measured
SEAL,BFV,2048,1,add,1,85,0.00463386,measured
SEAL,BFV,2048,1,add,1,86,0.00490607,measured
SEAL,BFV,2048,1,add,1,87,0.00482492,measured
SEAL,BFV,2048,1,add,1,88,0.00468356,measured
SEAL,BFV,2048,1,add,1,89,0.00469407,measured
SEAL,BFV,2048,1,add,1,90,0.00540892,measured
SEAL,BFV,2048,1,add,1,91,0.00511828,measured
SEAL,BFV,2048,1,add,1,92,0.00472893,measured
SEAL,BFV,2048,1,add,1,93,0.00459549,measured
SEAL,BFV,2048,1,add,1,94,0.00491219,measured
SEAL,BFV,2048,1,add,1,95,0.00456734,measured
SEAL,BFV,2048,1,add,1,96,0.00464829,measured
SEAL,BFV,2048,1,add,1,97,0.00452365,measured
SEAL,BFV,2048,1,add,1,98,0.00485267,measured
