library,scheme,N,category,operation,batch_size,iteration,latency_ms,status
SEAL,BFV,2048,3,encrypt,1,0,0.370037,warmup
SEAL,BFV,2048,3,encrypt,1,1,0.397655,warmup
SEAL,BFV,2048,3,encrypt,1,2,0.396235,warmup
SEAL,BFV,2048,3,encrypt,1,3,0.357561,warmup
SEAL,BFV,2048,3,encrypt,1,4,0.35804,warmup
SEAL,BFV,2048,3,encrypt,1,5,0.357194,measured
SEAL,BFV,2048,3,encrypt,1,6,0.360183,measured
SEAL,BFV,2048,3,encrypt,1,7,0.356246,measured
SEAL,BFV,2048,3,encrypt,1,8,0.356444,measured
SEAL,BFV,2048,3,encrypt,1,9,0.359538,measured
SEAL,BFV,2048,3,encrypt,1,10,0.358687,measured
SEAL,BFV,2048,3,encrypt,1,11,0.356984,measured
SEAL,BFV,2048,3,encrypt,1,12,0.35786,measured
SEAL,BFV,2048,3,encrypt,1,13,0.357629,measured
SEAL,BFV,2048,3,encrypt,1,14,0.355611,measured
SEAL,BFV,2048,3,encrypt,1,15,0.356849,measured
SEAL,BFV,2048,3,encrypt,1,16,0.356689,measured
SEAL,BFV,2048,3,encrypt,1,17,0.356499,measured
SEAL,BFV,2048,3,encrypt,1,18,0.358654,measured
SEAL,BFV,2048,3,encrypt,1,19,0.35572,measured
SEAL,BFV,2048,3,encrypt,1,20,0.353141,measured
SEAL,BFV,2048,3,encrypt,1,21,0.355399,measured
SEAL,BFV,2048,3,encrypt,1,22,0.354307,measured
SEAL,BFV,2048,3,encrypt,1,23,0.35488,measured
SEAL,BFV,2048,3,encrypt,1,24,0.353379,measured
SEAL,BFV,2048,3,encrypt,1,25,0.355801,measured
SEAL,BFV,2048,3,encrypt,1,26,0.354463,measured
SEAL,BFV,2048,3,encrypt,1,27,0.356585,measured
SEAL,BFV,2048,3,encrypt,1,28,0.355778,measured
SEAL,BFV,2048,3,encrypt,1,29,0.355917,measured
SEAL,BFV,2048,3,encrypt,1,30,0.355852,measured
SEAL,BFV,2048,3,encrypt,1,31,0.356037,measured
SEAL,BFV,2048,3,encrypt,1,32,0.355423,measured
SEAL,BFV,2048,3,encrypt,1,33,0.354408,measured
SEAL,BFV,2048,3,encrypt,1,34,0.354316,measured
SEAL,BFV,2048,3,encrypt,1,35,0.35371,measured
SEAL,BFV,2048,3,encrypt,1,36,0.353569,measured
SEAL,BFV,2048,3,encrypt,1,37,0.354941,measured
SEAL,BFV,2048,3,encrypt,1,38,0.354867,measured
SEAL,BFV,2048,3,encrypt,1,39,0.356575,measured
SEAL,BFV,2048,3,encrypt,1,40,0.355843,measured
SEAL,BFV,2048,3,encrypt,1,41,0.356465,measured
SEAL,BFV,2048,3,encrypt,1,42,0.354665,measured
SEAL,BFV,2048,3,encrypt,1,43,0.355477,measured
SEAL,BFV,2048,3,encrypt,1,44,0.353525,measured
SEAL,BFV,2048,3,encrypt,1,45,0.356486,measured
SEAL,BFV,2048,3,encrypt,1,46,0.35406,measured
SEAL,BFV,2048,3,encrypt,1,47,0.355115,measured
SEAL,BFV,2048,3,encrypt,1,48,0.35501,measured
SEAL,BFV,2048,3,encrypt,1,49,0.354964,measured
SEAL,BFV,2048,3,encrypt,1,50,0.353998,measured
SEAL,BFV,2048,3,encrypt,1,51,0.354647,measured
SEAL,BFV,2048,3,encrypt,1,52,0.35566,measured
SEAL,BFV,2048,3,encrypt,1,53,0.355529,measured
SEAL,BFV,2048,3,encrypt,1,54,0.355378,measured
SEAL,BFV,2048,3,encrypt,1,55,0.355727,measured
SEAL,BFV,2048,3,encrypt,1,56,0.355728,measured
SEAL,BFV,2048,3,encrypt,1,57,0.354649,measured
SEAL,BFV,2048,3,encrypt,1,58,0.354277,measured
SEAL,BFV,2048,3,encrypt,1,59,0.353944,measured
SEAL,BFV,2048,3,encrypt,1,60,0.371313,measured
SEAL,BFV,2048,3,encrypt,1,61,0.359074,measured
SEAL,BFV,2048,3,encrypt,1,62,0.354822,measured
SEAL,BFV,2048,3,encrypt,1,63,0.35452,measured
SEAL,BFV,2048,3,encrypt,1,64,0.353949,measured
SEAL,BFV,2048,3,encrypt,1,65,0.353902,measured
SEAL,BFV,2048,3,encrypt,1,66,0.355319,measured
SEAL,BFV,2048,3,encrypt,1,67,0.3566,measured
SEAL,BFV,2048,3,encrypt,1,68,0.356098,measured
SEAL,BFV,2048,3,encrypt,1,69,0.357298,measured
SEAL,BFV,2048,3,encrypt,1,70,0.35561,measured
