library,scheme,N,category,operation,batch_size,iteration,latency_ms,status
SEAL,BFV,2048,5,add,1,0,0.00551313,warmup
SEAL,BFV,2048,5,add,1,1,0.00689971,warmup
SEAL,BFV,2048,5,add,1,2,0.00518477,warmup
SEAL,BFV,2048,5,add,1,3,0.00774282,warmup
SEAL,BFV,2048,5,add,1,4,0.00530179,warmup
SEAL,BFV,2048,5,add,1,5,0.00526404,measured
SEAL,BFV,2048,5,add,1,6,0.00521952,measured
SEAL,BFV,2048,5,add,1,7,0.00537898,measured
SEAL,BFV,2048,5,add,1,8,0.00523418,measured
SEAL,BFV,2048,5,add,1,9,0.00548548,measured
SEAL,BFV,2048,5,add,1,10,0.00634854,measured
SEAL,BFV,2048,5,add,1,11,0.00515093,measured
SEAL,BFV,2048,5,add,1,12,0.00538542,measured
SEAL,BFV,2048,5,add,1,13,0.00523136,measured
SEAL,BFV,2048,5,add,1,14,0.00528912,measured
SEAL,BFV,2048,5,add,1,15,0.00535941,measured
SEAL,BFV,2048,5,add,1,16,0.00522879,measured
SEAL,BFV,2048,5,add,1,17,0.00533934,measured
SEAL,BFV,2048,5,add,1,18,0.00524736,measured
SEAL,BFV,2048,5,add,1,19,0.00570897,measured
SEAL,BFV,2048,5,add,1,20,0.00527161,measured
SEAL,BFV,2048,5,add,1,21,0.00528779,measured
SEAL,BFV,2048,5,add,1,22,0.00526317,measured
SEAL,BFV,2048,5,add,1,23,0.00528095,measured
SEAL,BFV,2048,5,add,1,24,0.00698807,measured
SEAL,BFV,2048,5,add,1,25,0.0052579,measured
SEAL,BFV,2048,5,add,1,26,0.00538672,measured
SEAL,BFV,2048,5,add,1,27,0.00515385,measured
SEAL,BFV,2048,5,add,1,28,0.0052907,measured
SEAL,BFV,2048,5,add,1,29,0.00534071,measured
SEAL,BFV,2048,5,add,1,30,0.00549573,measured
SEAL,BFV,2048,5,add,1,31,0.00520996,measured
SEAL,BFV,2048,5,add,1,32,0.00525422,measured
SEAL,BFV,2048,5,add,1,33,0.00696151,measured
SEAL,BFV,2048,5,add,1,34,0.00535239,measured
SEAL,BFV,2048,5,add,1,35,0.00521179,measured
SEAL,BFV,2048,5,add,1,36,0.00534708,measured
SEAL,BFV,2048,5,add,1,37,0.00513944,measured
SEAL,BFV,2048,5,add,1,38,0.00549065,measured
SEAL,BFV,2048,5,add,1,39,0.00513844,measured
SEAL,BFV,2048,5,add,1,40,0.00556259,measured
SEAL,BFV,2048,5,add,1,41,0.00549449,measured
SEAL,BFV,2048,5,add,1,42,0.0054107,measured
SEAL,BFV,2048,5,add,1,43,0.00555421,measured
SEAL,BFV,2048,5,add,1,44,0.00556069,measured
SEAL,BFV,2048,5,add,1,45,0.00518972,measured
SEAL,BFV,2048,5,add,1,46,0.00641911,measured
SEAL,BFV,2048,5,add,1,47,0.00528238,measured
SEAL,BFV,2048,5,add,1,48,0.00519695,measured
SEAL,BFV,2048,5,add,1,49,0.00538336,measured
SEAL,BFV,2048,5,add,1,50,0.00525964,measured
SEAL,BFV,2048,5,add,1,51,0.00542206,measured
SEAL,BFV,2048,5,add,1,52,0.00534462,measured
SEAL,BFV,2048,5,add,1,53,0.00521957,measured
SEAL,BFV,2048,5,add,1,54,0.00523936,measured
SEAL,BFV,2048,5,add,1,55,0.00529495,measured
SEAL,BFV,2048,5,add,1,56,0.00538875,measured
SEAL,BFV,2048,5,add,1,57,0.00526431,measured
SEAL,BFV,2048,5,add,1,58,0.00526906,measured
SEAL,BFV,2048,5,add,1,59,0.00515236,measured
SEAL,BFV,2048,5,add,1,60,0.00526714,measured
SEAL,BFV,2048,5,add,1,61,0.00518332,measured
SEAL,BFV,2048,5,add,1,62,0.00526346,measured
SEAL,BFV,2048,5,add,1,63,0.00699114,measured
SEAL,BFV,2048,5,add,1,64,0.00528523,measured
SEAL,BFV,2048,5,add,1,65,0.0052441,measured
SEAL,BFV,2048,5,add,1,66,0.00528645,measured
SEAL,BFV,2048,5,add,1,67,0.00535703,measured
SEAL,BFV,2048,5,add,1,68,0.00709984,measured
SEAL,BFV,2048,5,add,1,69,0.00525298,measured
SEAL,BFV,2048,5,add,1,70,0.00542091,measured
SEAL,BFV,2048,5,add,1,71,0.00523267,measured
SEAL,BFV,2048,5,add,1,72,0.00543509,measured
SEAL,BFV,2048,5,add,1,73,0.00514478,measured
