library,scheme,N,category,operation,batch_size,iteration,latency_ms,status
SEAL,BFV,4096,1,relinearize,1,0,0.581194,warmup
SEAL,BFV,4096,1,relinearize,1,1,0.580286,warmup
SEAL,BFV,4096,1,relinearize,1,2,0.588252,warmup
SEAL,BFV,4096,1,relinearize,1,3,0.581265,warmup
SEAL,BFV,4096,1,relinearize,1,4,0.580413,warmup
SEAL,BFV,4096,1,relinearize,1,5,0.600396,measured
SEAL,BFV,4096,1,relinearize,1,6,0.579911,measured
SEAL,BFV,4096,1,relinearize,1,7,0.578189,measured
SEAL,BFV,4096,1,relinearize,1,8,0.579765,measured
SEAL,BFV,4096,1,relinearize,1,9,0.580182,measured
SEAL,BFV,4096,1,relinearize,1,10,0.586438,measured
SEAL,BFV,4096,1,relinearize,1,11,0.58033,measured
SEAL,BFV,4096,1,relinearize,1,12,0.578983,measured
SEAL,BFV,4096,1,relinearize,1,13,0.580875,measured
SEAL,BFV,4096,1,relinearize,1,14,0.579067,measured
SEAL,BFV,4096,1,relinearize,1,15,0.5813,measured
SEAL,BFV,4096,1,relinearize,1,16,0.59936,measured
SEAL,BFV,4096,1,relinearize,1,17,0.592248,measured
SEAL,BFV,4096,1,relinearize,1,18,0.578362,measured
SEAL,BFV,4096,1,relinearize,1,19,0.580887,measured
SEAL,BFV,4096,1,relinearize,1,20,0.58274,measured
SEAL,BFV,4096,1,relinearize,1,21,0.583551,measured
SEAL,BFV,4096,1,relinearize,1,22,0.582159,measured
SEAL,BFV,4096,1,relinearize,1,23,0.583444,measured
SEAL,BFV,4096,1,relinearize,1,24,0.583421,measured
SEAL,BFV,4096,1,relinearize,1,25,0.584896,measured
SEAL,BFV,4096,1,relinearize,1,26,0.581979,measured
SEAL,BFV,4096,1,relinearize,1,27,0.602008,measured
SEAL,BFV,4096,1,relinearize,1,28,0.632794,measured
SEAL,BFV,4096,1,relinearize,1,29,0.580155,measured
SEAL,BFV,4096,1,relinearize,1,30,0.580226,measured
SEAL,BFV,4096,1,relinearize,1,31,0.578835,measured
SEAL,BFV,4096,1,relinearize,1,32,0.581878,measured
SEAL,BFV,4096,1,relinearize,1,33,0.578007,measured
SEAL,BFV,4096,1,relinearize,1,34,0.58049,measured
SEAL,BFV,4096,1,relinearize,1,35,0.579544,measured
SEAL,BFV,4096,1,relinearize,1,36,0.579046,measured
SEAL,BFV,4096,1,relinearize,1,37,0.578871,measured
SEAL,BFV,4096,1,relinearize,1,38,0.585148,measured
SEAL,BFV,4096,1,relinearize,1,39,0.583476,measured
SEAL,BFV,4096,1,relinearize,1,40,0.582377,measured
SEAL,BFV,4096,1,relinearize,1,41,0.579722,measured
SEAL,BFV,4096,1,relinearize,1,42,0.579376,measured
SEAL,BFV,4096,1,relinearize,1,43,0.579598,measured
SEAL,BFV,4096,1,relinearize,1,44,0.577644,measured
SEAL,BFV,4096,1,relinearize,1,45,0.582572,measured
SEAL,BFV,4096,1,relinearize,1,46,0.582724,measured
SEAL,BFV,4096,1,relinearize,1,47,0.57988,measured
SEAL,BFV,4096,1,relinearize,1,48,0.581254,measured
SEAL,BFV,4096,1,relinearize,1,49,0.593751,measured
SEAL,BFV,4096,1,relinearize,1,50,0.582182,measured
SEAL,BFV,4096,1,relinearize,1,51,0.58207,measured
SEAL,BFV,4096,1,relinearize,1,52,0.58303,measured
SEAL,BFV,4096,1,relinearize,1,53,0.581514,measured
SEAL,BFV,4096,1,relinearize,1,54,0.581056,measured
SEAL,BFV,4096,1,relinearize,1,55,0.577521,measured
SEAL,BFV,4096,1,relinearize,1,56,0.579489,measured
SEAL,BFV,4096,1,relinearize,1,57,0.598071,measured
SEAL,BFV,4096,1,relinearize,1,58,0.579406,measured
SEAL,BFV,4096,1,relinearize,1,59,0.5792,measured
SEAL,BFV,4096,1,relinearize,1,60,0.594904,measured
SEAL,BFV,4096,1,relinearize,1,61,0.581362,measured
SEAL,BFV,4096,1,relinearize,1,62,0.580071,measured
SEAL,BFV,4096,1,relinearize,1,63,0.57897,measured
SEAL,BFV,4096,1,relinearize,1,64,0.579077,measured
SEAL,BFV,4096,1,relinearize,1,65,0.580962,measured
SEAL,BFV,4096,1,relinearize,1,66,0.579199,measured
SEAL,BFV,4096,1,relinearize,1,67,0.587507,measured
SEAL,BFV,4096,1,relinearize,1,68,0.578293,measured
SEAL,BFV,4096,1,relinearize,1,69,0.578644,measured
SEAL,BFV,4096,1,relinearize,1,70,0.579828,measured
SEAL,BFV,4096,1,relinearize,1,71,0.586321,measured
SEAL,BFV,4096,1,relinearize,1,72,0.581324,measured
SEAL,BFV,4096,1,relinearize,1,73,0.584877,measured
SEAL,BFV,4096,1,relinearize,1,74,0.580389,measured
SEAL,BFV,4096,1,relinearize,1,75,0.576648,measured
SEAL,BFV,4096,1,relinearize,1,76,0.582477,measured
SEAL,BFV,4096,1,relinearize,1,77,0.57994,measured
SEAL,BFV,4096,1,relinearize,1,78,0.577419,measured
SEAL,BFV,4096,1,relinearize,1,79,0.582324,measured
SEAL,BFV,4096,1,relinearize,1,80,0.578515,measured
SEAL,BFV,4096,1,relinearize,1,81,0.580014,measured
SEAL,BFV,4096,1,relinearize,1,82,0.576631,measured
SEAL,BFV,4096,1,relinearize,1,83,0.582372,measured
SEAL,BFV,4096,1,relinearize,1,84,0.578367,measured
SEAL,BFV,4096,1,relinearize,1,85,0.581692,measured
SEAL,BFV,4096,1,relinearize,1,86,0.5777,measured
SEAL,BFV,4096,1,relinearize,1,87,0.580401,measured
SEAL,BFV,4096,1,relinearize,1,88,0.578638,measured
SEAL,BFV,4096,1,relinearize,1,89,0.577614,measured
SEAL,BFV,4096,1,relinearize,1,90,0.578584,measured
SEAL,BFV,4096,1,relinearize,1,91,0.577372,measured
SEAL,BFV,4096,1,relinearize,1,92,0.578278,measured
SEAL,BFV,4096,1,relinearize,1,93,0.5768,measured
SEAL,BFV,4096,1,relinearize,1,94,0.580784,measured
SEAL,BFV,4096,1,relinearize,1,95,0.577622,measured
SEAL,BFV,4096,1,relinearize,1,96,0.579305,measured
SEAL,BFV,4096,1,relinearize,1,97,0.577739,measured
SEAL,BFV,4096,1,relinearize,1,98,0.578469,measured
SEAL,BFV,4096,1,relinearize,1,99,0.579334,measured
SEAL,BFV,4096,1,relinearize,1,100,0.577271,measured
SEAL,BFV,4096,1,relinearize,1,101,0.579887,measured
SEAL,BFV,4096,1,relinearize,1,102,0.576997,measured
SEAL,BFV,4096,1,relinearize,1,103,0.577099,measured
SEAL,BFV,4096,1,relinearize,1,104,0.57882,measured
