library,scheme,N,category,operation,batch_size,iteration,latency_ms,status
SEAL,BFV,4096,5,decrypt,1,0,0.161867,warmup
SEAL,BFV,4096,5,decrypt,1,1,0.158992,warmup
SEAL,BFV,4096,5,decrypt,1,2,0.159223,warmup
SEAL,BFV,4096,5,decrypt,1,3,0.158311,warmup
SEAL,BFV,4096,5,decrypt,1,4,0.158571,warmup
SEAL,BFV,4096,5,decrypt,1,5,0.157348,measured
SEAL,BFV,4096,5,decrypt,1,6,0.156493,measured
SEAL,BFV,4096,5,decrypt,1,7,0.157264,measured
SEAL,BFV,4096,5,decrypt,1,8,0.157537,measured
SEAL,BFV,4096,5,decrypt,1,9,0.158595,measured
SEAL,BFV,4096,5,decrypt,1,10,0.158379,measured
SEAL,BFV,4096,5,decrypt,1,11,0.1582,measured
SEAL,BFV,4096,5,decrypt,1,12,0.161204,measured
SEAL,BFV,4096,5,decrypt,1,13,0.161025,measured
SEAL,BFV,4096,5,decrypt,1,14,0.15838,measured
SEAL,BFV,4096,5,decrypt,1,15,0.16759,measured
SEAL,BFV,4096,5,decrypt,1,16,0.160987,measured
SEAL,BFV,4096,5,decrypt,1,17,0.165283,measured
SEAL,BFV,4096,5,decrypt,1,18,0.161307,measured
SEAL,BFV,4096,5,decrypt,1,19,0.158906,measured
SEAL,BFV,4096,5,decrypt,1,20,0.159302,measured
SEAL,BFV,4096,5,decrypt,1,21,0.161608,measured
SEAL,BFV,4096,5,decrypt,1,22,0.160701,measured
SEAL,BFV,4096,5,decrypt,1,23,0.161379,measured
SEAL,BFV,4096,5,decrypt,1,24,0.158845,measured
SEAL,BFV,4096,5,decrypt,1,25,0.161817,measured
SEAL,BFV,4096,5,decrypt,1,26,0.168283,measured
SEAL,BFV,4096,5,decrypt,1,27,0.168786,measured
SEAL,BFV,4096,5,decrypt,1,28,0.162982,measured
SEAL,BFV,4096,5,decrypt,1,29,0.1628,measured
SEAL,BFV,4096,5,decrypt,1,30,0.179087,measured
SEAL,BFV,4096,5,decrypt,1,31,0.176345,measured
SEAL,BFV,4096,5,decrypt,1,32,0.163823,measured
SEAL,BFV,4096,5,decrypt,1,33,0.163677,measured
SEAL,BFV,4096,5,decrypt,1,34,0.165229,measured
SEAL,BFV,4096,5,decrypt,1,35,0.163693,measured
SEAL,BFV,4096,5,decrypt,1,36,0.166739,measured
SEAL,BFV,4096,5,decrypt,1,37,0.16289,measured
SEAL,BFV,4096,5,decrypt,1,38,0.162243,measured
SEAL,BFV,4096,5,decrypt,1,39,0.160058,measured
SEAL,BFV,4096,5,decrypt,1,40,0.160222,measured
SEAL,BFV,4096,5,decrypt,1,41,0.166271,measured
SEAL,BFV,4096,5,decrypt,1,42,0.158026,measured
SEAL,BFV,4096,5,decrypt,1,43,0.162338,measured
SEAL,BFV,4096,5,decrypt,1,44,0.16046,measured
