library,scheme,N,category,operation,batch_size,iteration,latency_ms,status
SEAL,BFV,4096,5,encrypt,1,0,0.663086,warmup
SEAL,BFV,4096,5,encrypt,1,1,0.66423,warmup
SEAL,BFV,4096,5,encrypt,1,2,0.661544,warmup
SEAL,BFV,4096,5,encrypt,1,3,0.66372,warmup
SEAL,BFV,4096,5,encrypt,1,4,0.662297,warmup
SEAL,BFV,4096,5,encrypt,1,5,0.663713,measured
SEAL,BFV,4096,5,encrypt,1,6,0.667863,measured
SEAL,BFV,4096,5,encrypt,1,7,0.66454,measured
SEAL,BFV,4096,5,encrypt,1,8,0.661625,measured
SEAL,BFV,4096,5,encrypt,1,9,0.660439,measured
SEAL,BFV,4096,5,encrypt,1,10,0.659842,measured
SEAL,BFV,4096,5,encrypt,1,11,0.660558,measured
SEAL,BFV,4096,5,encrypt,1,12,0.660735,measured
SEAL,BFV,4096,5,encrypt,1,13,0.664347,measured
SEAL,BFV,4096,5,encrypt,1,14,0.667801,measured
SEAL,BFV,4096,5,encrypt,1,15,0.665959,measured
SEAL,BFV,4096,5,encrypt,1,16,0.662145,measured
SEAL,BFV,4096,5,encrypt,1,17,0.664657,measured
SEAL,BFV,4096,5,encrypt,1,18,0.662485,measured
SEAL,BFV,4096,5,encrypt,1,19,0.662464,measured
SEAL,BFV,4096,5,encrypt,1,20,0.662543,measured
SEAL,BFV,4096,5,encrypt,1,21,0.657714,measured
SEAL,BFV,4096,5,encrypt,1,22,0.660868,measured
SEAL,BFV,4096,5,encrypt,1,23,0.659985,measured
SEAL,BFV,4096,5,encrypt,1,24,0.659993,measured
SEAL,BFV,4096,5,encrypt,1,25,0.660228,measured
SEAL,BFV,4096,5,encrypt,1,26,0.661879,measured
SEAL,BFV,4096,5,encrypt,1,27,0.660732,measured
SEAL,BFV,4096,5,encrypt,1,28,0.66085,measured
SEAL,BFV,4096,5,encrypt,1,29,0.664531,measured
SEAL,BFV,4096,5,encrypt,1,30,0.660865,measured
SEAL,BFV,4096,5,encrypt,1,31,0.660174,measured
SEAL,BFV,4096,5,encrypt,1,32,0.661721,measured
SEAL,BFV,4096,5,encrypt,1,33,0.662628,measured
SEAL,BFV,4096,5,encrypt,1,34,0.662045,measured
SEAL,BFV,4096,5,encrypt,1,35,0.668959,measured
SEAL,BFV,4096,5,encrypt,1,36,0.663479,measured
SEAL,BFV,4096,5,encrypt,1,37,0.658876,measured
SEAL,BFV,4096,5,encrypt,1,38,0.661966,measured
SEAL,BFV,4096,5,encrypt,1,39,0.66191,measured
SEAL,BFV,4096,5,encrypt,1,40,0.660416,measured
SEAL,BFV,4096,5,encrypt,1,41,0.661437,measured
SEAL,BFV,4096,5,encrypt,1,42,0.660255,measured
SEAL,BFV,4096,5,encrypt,1,43,0.676393,measured
SEAL,BFV,4096,5,encrypt,1,44,0.664619,measured
SEAL,BFV,4096,5,encrypt,1,45,0.661666,measured
SEAL,BFV,4096,5,encrypt,1,46,0.661789,measured
SEAL,BFV,4096,5,encrypt,1,47,0.663474,measured
SEAL,BFV,4096,5,encrypt,1,48,0.663615,measured
SEAL,BFV,4096,5,encrypt,1,49,0.664663,measured
SEAL,BFV,4096,5,encrypt,1,50,0.66654,measured
SEAL,BFV,4096,5,encrypt,1,51,0.674449,measured
SEAL,BFV,4096,5,encrypt,1,52,0.666721,measured
SEAL,BFV,4096,5,encrypt,1,53,0.671838,measured
SEAL,BFV,4096,5,encrypt,1,54,0.670218,measured
SEAL,BFV,4096,5,encrypt,1,55,0.666741,measured
SEAL,BFV,4096,5,encrypt,1,56,0.664458,measured
SEAL,BFV,4096,5,encrypt,1,57,0.673934,measured
SEAL,BFV,4096,5,encrypt,1,58,0.672556,measured
SEAL,BFV,4096,5,encrypt,1,59,0.665893,measured
SEAL,BFV,4096,5,encrypt,1,60,0.667015,measured
SEAL,BFV,4096,5,encrypt,1,61,0.66777,measured
SEAL,BFV,4096,5,encrypt,1,62,0.665571,measured
SEAL,BFV,4096,5,encrypt,1,63,0.664985,measured
SEAL,BFV,4096,5,encrypt,1,64,0.662234,measured
SEAL,BFV,4096,5,encrypt,1,65,0.661379,measured
SEAL,BFV,4096,5,encrypt,1,66,0.661504,measured
SEAL,BFV,4096,5,encrypt,1,67,0.65965,measured
SEAL,BFV,4096,5,encrypt,1,68,0.659848,measured
SEAL,BFV,4096,5,encrypt,1,69,0.659963,measured
SEAL,BFV,4096,5,encrypt,1,70,0.661869,measured
SEAL,BFV,4096,5,encrypt,1,71,0.663215,measured
SEAL,BFV,4096,5,encrypt,1,72,0.664318,measured
SEAL,BFV,4096,5,encrypt,1,73,0.663899,measured
SEAL,BFV,4096,5,encrypt,1,74,0.660897,measured
SEAL,BFV,4096,5,encrypt,1,75,0.660034,measured
SEAL,BFV,4096,5,encrypt,1,76,0.659884,measured
SEAL,BFV,4096,5,encrypt,1,77,0.664312,measured
SEAL,BFV,4096,5,encrypt,1,78,0.662537,measured
SEAL,BFV,4096,5,encrypt,1,79,0.65993,measured
SEAL,BFV,4096,5,encrypt,1,80,0.66008,measured
SEAL,BFV,4096,5,encrypt,1,81,0.664522,measured
SEAL,BFV,4096,5,encrypt,1,82,0.663408,measured
SEAL,BFV,4096,5,encrypt,1,83,0.662501,measured
SEAL,BFV,4096,5,encrypt,1,84,0.661565,measured
SEAL,BFV,4096,5,encrypt,1,85,0.669247,measured
SEAL,BFV,4096,5,encrypt,1,86,0.672674,measured
SEAL,BFV,4096,5,encrypt,1,87,0.675121,measured
SEAL,BFV,4096,5,encrypt,1,88,0.67328,measured
SEAL,BFV,4096,5,encrypt,1,89,0.664727,measured
SEAL,BFV,4096,5,encrypt,1,90,0.670649,measured
SEAL,BFV,4096,5,encrypt,1,91,0.663606,measured
