library,scheme,N,category,operation,batch_size,iteration,latency_ms,status
SEAL,BFV,8192,1,keygen,1,0,71.6127,warmup
SEAL,BFV,8192,1,keygen,1,1,66.6636,warmup
SEAL,BFV,8192,1,keygen,1,2,65.9672,warmup
SEAL,BFV,8192,1,keygen,1,3,67.1028,warmup
SEAL,BFV,8192,1,keygen,1,4,67.1233,warmup
SEAL,BFV,8192,1,keygen,1,5,66.6159,measured
SEAL,BFV,8192,1,keygen,1,6,64.9798,measured
SEAL,BFV,8192,1,keygen,1,7,66.4642,measured
SEAL,BFV,8192,1,keygen,1,8,66.2122,measured
SEAL,BFV,8192,1,keygen,1,9,65.6497,measured
SEAL,BFV,8192,1,keygen,1,10,65.0512,measured
SEAL,BFV,8192,1,keygen,1,11,67.0312,measured
SEAL,BFV,8192,1,keygen,1,12,64.8294,measured
SEAL,BFV,8192,1,keygen,1,13,66.2039,measured
SEAL,BFV,8192,1,keygen,1,14,67.4526,measured
SEAL,BFV,8192,1,keygen,1,15,65.6574,measured
SEAL,BFV,8192,1,keygen,1,16,67.2283,measured
SEAL,BFV,8192,1,keygen,1,17,65.0088,measured
SEAL,BFV,8192,1,keygen,1,18,66.9905,measured
SEAL,BFV,8192,1,keygen,1,19,67.1128,measured
SEAL,BFV,8192,1,keygen,1,20,66.3709,measured
SEAL,BFV,8192,1,keygen,1,21,65.1081,measured
SEAL,BFV,8192,1,keygen,1,22,67.14,measured
SEAL,BFV,8192,1,keygen,1,23,65.555,measured
SEAL,BFV,8192,1,keygen,1,24,65.5437,measured
SEAL,BFV,8192,1,keygen,1,25,66.7581,measured
SEAL,BFV,8192,1,keygen,1,26,66.0219,measured
SEAL,BFV,8192,1,keygen,1,27,67.424,measured
SEAL,BFV,8192,1,keygen,1,28,66.1689,measured
SEAL,BFV,8192,1,keygen,1,29,65.6991,measured
SEAL,BFV,8192,1,keygen,1,30,66.4591,measured
SEAL,BFV,8192,1,keygen,1,31,66.445,measured
SEAL,BFV,8192,1,keygen,1,32,65.561,measured
SEAL,BFV,8192,1,keygen,1,33,67.1305,measured
SEAL,BFV,8192,1,keygen,1,34,65.5106,measured
SEAL,BFV,8192,1,keygen,1,35,65.9383,measured
SEAL,BFV,8192,1,keygen,1,36,67.5228,measured
SEAL,BFV,8192,1,keygen,1,37,65.4311,measured
SEAL,BFV,8192,1,keygen,1,38,66.6163,measured
SEAL,BFV,8192,1,keygen,1,39,66.102,measured
SEAL,BFV,8192,1,keygen,1,40,65.8266,measured
SEAL,BFV,8192,1,keygen,1,41,67.2894,measured
