library,scheme,N,category,operation,batch_size,iteration,latency_ms,status
SEAL,BFV,8192,1,multiply,1,0,8.87412,warmup
SEAL,BFV,8192,1,multiply,1,1,8.78313,warmup
SEAL,BFV,8192,1,multiply,1,2,8.77786,warmup
SEAL,BFV,8192,1,multiply,1,3,8.68397,warmup
SEAL,BFV,8192,1,multiply,1,4,8.69665,warmup
SEAL,BFV,8192,1,multiply,1,5,8.80263,measured
SEAL,BFV,8192,1,multiply,1,6,8.75959,measured
SEAL,BFV,8192,1,multiply,1,7,8.78704,measured
SEAL,BFV,8192,1,multiply,1,8,8.74843,measured
SEAL,BFV,8192,1,multiply,1,9,9.03783,measured
SEAL,BFV,8192,1,multiply,1,10,8.70417,measured
SEAL,BFV,8192,1,multiply,1,11,8.7301,measured
SEAL,BFV,8192,1,multiply,1,12,8.91658,measured
SEAL,BFV,8192,1,multiply,1,13,8.75084,measured
SEAL,BFV,8192,1,multiply,1,14,8.77002,measured
SEAL,BFV,8192,1,multiply,1,15,8.74784,measured
SEAL,BFV,8192,1,multiply,1,16,8.69777,measured
SEAL,BFV,8192,1,multiply,1,17,8.69862,measured
SEAL,BFV,8192,1,multiply,1,18,8.69735,measured
SEAL,BFV,8192,1,multiply,1,19,8.68238,measured
SEAL,BFV,8192,1,multiply,1,20,8.78977,measured
SEAL,BFV,8192,1,multiply,1,21,8.72009,measured
SEAL,BFV,8192,1,multiply,1,22,8.78033,measured
SEAL,BFV,8192,1,multiply,1,23,9.27171,measured
SEAL,BFV,8192,1,multiply,1,24,8.69995,measured
SEAL,BFV,8192,1,multiply,1,25,8.84377,measured
SEAL,BFV,8192,1,multiply,1,26,9.00991,measured
SEAL,BFV,8192,1,multiply,1,27,8.73532,measured
SEAL,BFV,8192,1,multiply,1,28,8.71693,measured
SEAL,BFV,8192,1,multiply,1,29,9.9551,measured
SEAL,BFV,8192,1,multiply,1,30,8.88188,measured
SEAL,BFV,8192,1,multiply,1,31,8.74934,measured
SEAL,BFV,8192,1,multiply,1,32,8.68869,measured
SEAL,BFV,8192,1,multiply,1,33,8.67042,measured
SEAL,BFV,8192,1,multiply,1,34,8.9161,measured
SEAL,BFV,8192,1,multiply,1,35,9.69964,measured
SEAL,BFV,8192,1,multiply,1,36,9.90156,measured
SEAL,BFV,8192,1,multiply,1,37,8.72412,measured
SEAL,BFV,8192,1,multiply,1,38,8.71018,measured
SEAL,BFV,8192,1,multiply,1,39,8.72232,measured
SEAL,BFV,8192,1,multiply,1,40,8.71035,measured
SEAL,BFV,8192,1,multiply,1,41,8.95901,measured
SEAL,BFV,8192,1,multiply,1,42,8.69038,measured
SEAL,BFV,8192,1,multiply,1,43,9.37843,measured
SEAL,BFV,8192,1,multiply,1,44,9.1604,measured
SEAL,BFV,8192,1,multiply,1,45,8.72154,measured
SEAL,BFV,8192,1,multiply,1,46,8.69351,measured
SEAL,BFV,8192,1,multiply,1,47,9.31674,measured
SEAL,BFV,8192,1,multiply,1,48,8.7135,measured
SEAL,BFV,8192,1,multiply,1,49,8.7003,measured
SEAL,BFV,8192,1,multiply,1,50,8.67712,measured
SEAL,BFV,8192,1,multiply,1,51,8.65843,measured
SEAL,BFV,8192,1,multiply,1,52,8.67996,measured
SEAL,BFV,8192,1,multiply,1,53,8.69707,measured
SEAL,BFV,8192,1,multiply,1,54,8.70202,measured
SEAL,BFV,8192,1,multiply,1,55,8.68092,measured
SEAL,BFV,8192,1,multiply,1,56,8.687,measured
SEAL,BFV,8192,1,multiply,1,57,8.69419,measured
SEAL,BFV,8192,1,multiply,1,58,9.31217,measured
SEAL,BFV,8192,1,multiply,1,59,8.98751,measured
SEAL,BFV,8192,1,multiply,1,60,8.77084,measured
SEAL,BFV,8192,1,multiply,1,61,8.71654,measured
SEAL,BFV,8192,1,multiply,1,62,8.91359,measured
SEAL,BFV,8192,1,multiply,1,63,8.70379,measured
SEAL,BFV,8192,1,multiply,1,64,8.7014,measured
SEAL,BFV,8192,1,multiply,1,65,8.88547,measured
SEAL,BFV,8192,1,multiply,1,66,9.22237,measured
SEAL,BFV,8192,1,multiply,1,67,8.64372,measured
SEAL,BFV,8192,1,multiply,1,68,8.67735,measured
SEAL,BFV,8192,1,multiply,1,69,8.77903,measured
SEAL,BFV,8192,1,multiply,1,70,8.6938,measured
SEAL,BFV,8192,1,multiply,1,71,8.73283,measured
SEAL,BFV,8192,1,multiply,1,72,8.68013,measured
SEAL,BFV,8192,1,multiply,1,73,8.74573,measured
SEAL,BFV,8192,1,multiply,1,74,8.73217,measured
SEAL,BFV,8192,1,multiply,1,75,8.70269,measured
SEAL,BFV,8192,1,multiply,1,76,8.86686,measured
SEAL,BFV,8192,1,multiply,1,77,9.75289,measured
SEAL,BFV,8192,1,multiply,1,78,8.65981,measured
SEAL,BFV,8192,1,multiply,1,79,8.67124,measured
SEAL,BFV,8192,1,multiply,1,80,8.65086,measured
SEAL,BFV,8192,1,multiply,1,81,8.62382,measured
SEAL,BFV,8192,1,multiply,1,82,8.69511,measured
SEAL,BFV,8192,1,multiply,1,83,8.6558,measured
SEAL,BFV,8192,1,multiply,1,84,8.90434,measured
SEAL,BFV,8192,1,multiply,1,85,9.53205,measured
SEAL,BFV,8192,1,multiply,1,86,8.73354,measured
SEAL,BFV,8192,1,multiply,1,87,8.76717,measured
SEAL,BFV,8192,1,multiply,1,88,8.8039,measured
SEAL,BFV,8192,1,multiply,1,89,8.65736,measured
SEAL,BFV,8192,1,multiply,1,90,8.68476,measured
