library,scheme,N,category,operation,batch_size,iteration,latency_ms,status
SEAL,BFV,8192,1,multiply,1,0,7.8756,warmup
SEAL,BFV,8192,1,multiply,1,1,7.82332,warmup
SEAL,BFV,8192,1,multiply,1,2,7.88305,warmup
SEAL,BFV,8192,1,multiply,1,3,7.81869,warmup
SEAL,BFV,8192,1,multiply,1,4,7.853,warmup
SEAL,BFV,8192,1,multiply,1,5,7.82135,measured
SEAL,BFV,8192,1,multiply,1,6,7.84028,measured
SEAL,BFV,8192,1,multiply,1,7,7.85105,measured
SEAL,BFV,8192,1,multiply,1,8,7.82276,measured
SEAL,BFV,8192,1,multiply,1,9,7.82756,measured
SEAL,BFV,8192,1,multiply,1,10,7.82899,measured
SEAL,BFV,8192,1,multiply,1,11,7.8248,measured
SEAL,BFV,8192,1,multiply,1,12,7.86788,measured
SEAL,BFV,8192,1,multiply,1,13,7.81694,measured
SEAL,BFV,8192,1,multiply,1,14,7.86383,measured
SEAL,BFV,8192,1,multiply,1,15,7.8274,measured
SEAL,BFV,8192,1,multiply,1,16,7.81609,measured
SEAL,BFV,8192,1,multiply,1,17,7.84778,measured
SEAL,BFV,8192,1,multiply,1,18,7.83637,measured
SEAL,BFV,8192,1,multiply,1,19,7.8721,measured
SEAL,BFV,8192,1,multiply,1,20,7.87511,measured
SEAL,BFV,8192,1,multiply,1,21,7.84366,measured
SEAL,BFV,8192,1,multiply,1,22,7.82633,measured
SEAL,BFV,8192,1,multiply,1,23,7.85742,measured
SEAL,BFV,8192,1,multiply,1,24,7.81056,measured
SEAL,BFV,8192,1,multiply,1,25,7.81996,measured
SEAL,BFV,8192,1,multiply,1,26,7.86439,measured
SEAL,BFV,8192,1,multiply,1,27,7.84023,measured
SEAL,BFV,8192,1,multiply,1,28,7.81655,measured
SEAL,BFV,8192,1,multiply,1,29,7.90066,measured
SEAL,BFV,8192,1,multiply,1,30,7.86476,measured
SEAL,BFV,8192,1,multiply,1,31,7.8129,measured
SEAL,BFV,8192,1,multiply,1,32,7.82034,measured
SEAL,BFV,8192,1,multiply,1,33,7.82403,measured
SEAL,BFV,8192,1,multiply,1,34,7.84608,measured
SEAL,BFV,8192,1,multiply,1,35,8.32803,measured
SEAL,BFV,8192,1,multiply,1,36,8.54673,measured
SEAL,BFV,8192,1,multiply,1,37,7.83582,measured
SEAL,BFV,8192,1,multiply,1,38,7.86391,measured
SEAL,BFV,8192,1,multiply,1,39,7.82033,measured
SEAL,BFV,8192,1,multiply,1,40,7.85955,measured
SEAL,BFV,8192,1,multiply,1,41,7.83396,measured
SEAL,BFV,8192,1,multiply,1,42,7.82103,measured
SEAL,BFV,8192,1,multiply,1,43,7.83546,measured
SEAL,BFV,8192,1,multiply,1,44,7.84319,measured
SEAL,BFV,8192,1,multiply,1,45,7.81601,measured
SEAL,BFV,8192,1,multiply,1,46,7.82868,measured
SEAL,BFV,8192,1,multiply,1,47,7.82075,measured
SEAL,BFV,8192,1,multiply,1,48,7.86809,measured
SEAL,BFV,8192,1,multiply,1,49,7.83814,measured
SEAL,BFV,8192,1,multiply,1,50,7.81481,measured
SEAL,BFV,8192,1,multiply,1,51,7.86844,measured
SEAL,BFV,8192,1,multiply,1,52,7.81439,measured
SEAL,BFV,8192,1,multiply,1,53,7.82767,measured
SEAL,BFV,8192,1,multiply,1,54,7.82072,measured
SEAL,BFV,8192,1,multiply,1,55,7.83138,measured
SEAL,BFV,8192,1,multiply,1,56,7.81968,measured
SEAL,BFV,8192,1,multiply,1,57,7.83938,measured
SEAL,BFV,8192,1,multiply,1,58,7.8629,measured
SEAL,BFV,8192,1,multiply,1,59,7.98455,measured
SEAL,BFV,8192,1,multiply,1,60,7.9439,measured
SEAL,BFV,8192,1,multiply,1,61,7.84,measured
SEAL,BFV,8192,1,multiply,1,62,7.81352,measured
