library,scheme,N,category,operation,batch_size,iteration,latency_ms,status
SEAL,BFV,8192,1,relinearize,1,0,1.89366,warmup
SEAL,BFV,8192,1,relinearize,1,1,1.88081,warmup
SEAL,BFV,8192,1,relinearize,1,2,1.88282,warmup
SEAL,BFV,8192,1,relinearize,1,3,1.88037,warmup
SEAL,BFV,8192,1,relinearize,1,4,1.88577,warmup
SEAL,BFV,8192,1,relinearize,1,5,1.87771,measured
SEAL,BFV,8192,1,relinearize,1,6,1.88771,measured
SEAL,BFV,8192,1,relinearize,1,7,1.8926,measured
SEAL,BFV,8192,1,relinearize,1,8,1.87341,measured
SEAL,BFV,8192,1,relinearize,1,9,1.89987,measured
SEAL,BFV,8192,1,relinearize,1,10,1.87488,measured
SEAL,BFV,8192,1,relinearize,1,11,1.88787,measured
SEAL,BFV,8192,1,relinearize,1,12,1.87811,measured
SEAL,BFV,8192,1,relinearize,1,13,1.8939,measured
SEAL,BFV,8192,1,relinearize,1,14,1.87812,measured
SEAL,BFV,8192,1,relinearize,1,15,1.87983,measured
SEAL,BFV,8192,1,relinearize,1,16,1.92698,measured
SEAL,BFV,8192,1,relinearize,1,17,1.88389,measured
SEAL,BFV,8192,1,relinearize,1,18,1.90113,measured
SEAL,BFV,8192,1,relinearize,1,19,1.88025,measured
SEAL,BFV,8192,1,relinearize,1,20,1.92981,measured
SEAL,BFV,8192,1,relinearize,1,21,1.88754,measured
SEAL,BFV,8192,1,relinearize,1,22,1.8898,measured
SEAL,BFV,8192,1,relinearize,1,23,1.87623,measured
SEAL,BFV,8192,1,relinearize,1,24,1.88012,measured
SEAL,BFV,8192,1,relinearize,1,25,1.88833,measured
SEAL,BFV,8192,1,relinearize,1,26,1.8881,measured
SEAL,BFV,8192,1,relinearize,1,27,1.88887,measured
SEAL,BFV,8192,1,relinearize,1,28,1.87658,measured
SEAL,BFV,8192,1,relinearize,1,29,1.91141,measured
SEAL,BFV,8192,1,relinearize,1,30,1.87414,measured
SEAL,BFV,8192,1,relinearize,1,31,1.89283,measured
SEAL,BFV,8192,1,relinearize,1,32,1.88112,measured
SEAL,BFV,8192,1,relinearize,1,33,1.88459,measured
SEAL,BFV,8192,1,relinearize,1,34,1.87507,measured
SEAL,BFV,8192,1,relinearize,1,35,1.8801,measured
SEAL,BFV,8192,1,relinearize,1,36,1.89262,measured
SEAL,BFV,8192,1,relinearize,1,37,1.89841,measured
SEAL,BFV,8192,1,relinearize,1,38,1.88667,measured
SEAL,BFV,8192,1,relinearize,1,39,1.89197,measured
SEAL,BFV,8192,1,relinearize,1,40,1.89201,measured
SEAL,BFV,8192,1,relinearize,1,41,1.87651,measured
SEAL,BFV,8192,1,relinearize,1,42,1.89228,measured
SEAL,BFV,8192,1,relinearize,1,43,1.89461,measured
SEAL,BFV,8192,1,relinearize,1,44,1.88664,measured
SEAL,BFV,8192,1,relinearize,1,45,1.88416,measured
SEAL,BFV,8192,1,relinearize,1,46,1.90799,measured
SEAL,BFV,8192,1,relinearize,1,47,1.87853,measured
SEAL,BFV,8192,1,relinearize,1,48,1.90069,measured
SEAL,BFV,8192,1,relinearize,1,49,1.87239,measured
SEAL,BFV,8192,1,relinearize,1,50,1.87687,measured
SEAL,BFV,8192,1,relinearize,1,51,1.89048,measured
SEAL,BFV,8192,1,relinearize,1,52,1.87865,measured
SEAL,BFV,8192,1,relinearize,1,53,1.89341,measured
SEAL,BFV,8192,1,relinearize,1,54,1.87504,measured
SEAL,BFV,8192,1,relinearize,1,55,1.88745,measured
SEAL,BFV,8192,1,relinearize,1,56,1.87538,measured
SEAL,BFV,8192,1,relinearize,1,57,1.88848,measured
