library,scheme,N,category,operation,batch_size,iteration,latency_ms,status
SEAL,BFV,8192,5,decrypt,1,0,0.319038,warmup
SEAL,BFV,8192,5,decrypt,1,1,0.319725,warmup
SEAL,BFV,8192,5,decrypt,1,2,0.318039,warmup
SEAL,BFV,8192,5,decrypt,1,3,0.316968,warmup
SEAL,BFV,8192,5,decrypt,1,4,0.317585,warmup
SEAL,BFV,8192,5,decrypt,1,5,0.316594,measured
SEAL,BFV,8192,5,decrypt,1,6,0.317102,measured
SEAL,BFV,8192,5,decrypt,1,7,0.317872,measured
SEAL,BFV,8192,5,decrypt,1,8,0.31667,measured
SEAL,BFV,8192,5,decrypt,1,9,0.316785,measured
SEAL,BFV,8192,5,decrypt,1,10,0.316592,measured
SEAL,BFV,8192,5,decrypt,1,11,0.316826,measured
SEAL,BFV,8192,5,decrypt,1,12,0.317457,measured
SEAL,BFV,8192,5,decrypt,1,13,0.316622,measured
SEAL,BFV,8192,5,decrypt,1,14,0.3178,measured
SEAL,BFV,8192,5,decrypt,1,15,0.316677,measured
SEAL,BFV,8192,5,decrypt,1,16,0.316827,measured
SEAL,BFV,8192,5,decrypt,1,17,0.316993,measured
SEAL,BFV,8192,5,decrypt,1,18,0.316876,measured
SEAL,BFV,8192,5,decrypt,1,19,0.334064,measured
SEAL,BFV,8192,5,decrypt,1,20,0.336499,measured
SEAL,BFV,8192,5,decrypt,1,21,0.317461,measured
SEAL,BFV,8192,5,decrypt,1,22,0.316908,measured
SEAL,BFV,8192,5,decrypt,1,23,0.317303,measured
SEAL,BFV,8192,5,decrypt,1,24,0.322568,measured
SEAL,BFV,8192,5,decrypt,1,25,0.316943,measured
SEAL,BFV,8192,5,decrypt,1,26,0.316655,measured
SEAL,BFV,8192,5,decrypt,1,27,0.317624,measured
SEAL,BFV,8192,5,decrypt,1,28,0.317045,measured
SEAL,BFV,8192,5,decrypt,1,29,0.316528,measured
SEAL,BFV,8192,5,decrypt,1,30,0.317065,measured
SEAL,BFV,8192,5,decrypt,1,31,0.321303,measured
SEAL,BFV,8192,5,decrypt,1,32,0.316423,measured
SEAL,BFV,8192,5,decrypt,1,33,0.316411,measured
SEAL,BFV,8192,5,decrypt,1,34,0.31611,measured
SEAL,BFV,8192,5,decrypt,1,35,0.31692,measured
SEAL,BFV,8192,5,decrypt,1,36,0.316773,measured
SEAL,BFV,8192,5,decrypt,1,37,0.316873,measured
SEAL,BFV,8192,5,decrypt,1,38,0.316328,measured
SEAL,BFV,8192,5,decrypt,1,39,0.3166,measured
SEAL,BFV,8192,5,decrypt,1,40,0.316173,measured
SEAL,BFV,8192,5,decrypt,1,41,0.316378,measured
SEAL,BFV,8192,5,decrypt,1,42,0.316523,measured
SEAL,BFV,8192,5,decrypt,1,43,0.316909,measured
SEAL,BFV,8192,5,decrypt,1,44,0.317823,measured
SEAL,BFV,8192,5,decrypt,1,45,0.316047,measured
SEAL,BFV,8192,5,decrypt,1,46,0.316125,measured
SEAL,BFV,8192,5,decrypt,1,47,0.316393,measured
SEAL,BFV,8192,5,decrypt,1,48,0.317331,measured
SEAL,BFV,8192,5,decrypt,1,49,0.316282,measured
SEAL,BFV,8192,5,decrypt,1,50,0.316681,measured
SEAL,BFV,8192,5,decrypt,1,51,0.316366,measured
SEAL,BFV,8192,5,decrypt,1,52,0.316376,measured
SEAL,BFV,8192,5,decrypt,1,53,0.316183,measured
SEAL,BFV,8192,5,decrypt,1,54,0.316668,measured
SEAL,BFV,8192,5,decrypt,1,55,0.31629,measured
SEAL,BFV,8192,5,decrypt,1,56,0.316295,measured
