library,scheme,N,category,operation,batch_size,iteration,latency_ms,status
SEAL,BGV,2048,5,decrypt,1,0,0.0484892,warmup
SEAL,BGV,2048,5,decrypt,1,1,0.0450968,warmup
SEAL,BGV,2048,5,decrypt,1,2,0.0482309,warmup
SEAL,BGV,2048,5,decrypt,1,3,0.0457626,warmup
SEAL,BGV,2048,5,decrypt,1,4,0.0472199,warmup
SEAL,BGV,2048,5,decrypt,1,5,0.0452772,measured
SEAL,BGV,2048,5,decrypt,1,6,0.0485868,measured
SEAL,BGV,2048,5,decrypt,1,7,0.0455275,measured
SEAL,BGV,2048,5,decrypt,1,8,0.0483826,measured
SEAL,BGV,2048,5,decrypt,1,9,0.045342,measured
SEAL,BGV,2048,5,decrypt,1,10,0.0478444,measured
SEAL,BGV,2048,5,decrypt,1,11,0.0455429,measured
SEAL,BGV,2048,5,decrypt,1,12,0.0471519,measured
SEAL,BGV,2048,5,decrypt,1,13,0.0452661,measured
SEAL,BGV,2048,5,decrypt,1,14,0.0462044,measured
SEAL,BGV,2048,5,decrypt,1,15,0.0459821,measured
SEAL,BGV,2048,5,decrypt,1,16,0.0453244,measured
SEAL,BGV,2048,5,decrypt,1,17,0.0466354,measured
SEAL,BGV,2048,5,decrypt,1,18,0.0459195,measured
SEAL,BGV,2048,5,decrypt,1,19,0.0451115,measured
SEAL,BGV,2048,5,decrypt,1,20,0.0465206,measured
SEAL,BGV,2048,5,decrypt,1,21,0.0466134,measured
SEAL,BGV,2048,5,decrypt,1,22,0.0463748,measured
SEAL,BGV,2048,5,decrypt,1,23,0.0460072,measured
SEAL,BGV,2048,5,decrypt,1,24,0.0456666,measured
SEAL,BGV,2048,5,decrypt,1,25,0.051194,measured
SEAL,BGV,2048,5,decrypt,1,26,0.045986,measured
SEAL,BGV,2048,5,decrypt,1,27,0.0495928,measured
SEAL,BGV,2048,5,decrypt,1,28,0.0463858,measured
SEAL,BGV,2048,5,decrypt,1,29,0.0489727,measured
SEAL,BGV,2048,5,decrypt,1,30,0.0456583,measured
SEAL,BGV,2048,5,decrypt,1,31,0.0482939,measured
SEAL,BGV,2048,5,decrypt,1,32,0.045462,measured
SEAL,BGV,2048,5,decrypt,1,33,0.048429,measured
SEAL,BGV,2048,5,decrypt,1,34,0.0448663,measured
SEAL,BGV,2048,5,decrypt,1,35,0.0471841,measured
SEAL,BGV,2048,5,decrypt,1,36,0.0449587,measured
SEAL,BGV,2048,5,decrypt,1,37,0.0467069,measured
SEAL,BGV,2048,5,decrypt,1,38,0.0449164,measured
SEAL,BGV,2048,5,decrypt,1,39,0.0454166,measured
SEAL,BGV,2048,5,decrypt,1,40,0.0456598,measured
SEAL,BGV,2048,5,decrypt,1,41,0.0458458,measured
SEAL,BGV,2048,5,decrypt,1,42,0.0451573,measured
SEAL,BGV,2048,5,decrypt,1,43,0.0453578,measured
SEAL,BGV,2048,5,decrypt,1,44,0.0452091,measured
SEAL,BGV,2048,5,decrypt,1,45,0.0457927,measured
SEAL,BGV,2048,5,decrypt,1,46,0.0454152,measured
SEAL,BGV,2048,5,decrypt,1,47,0.0458767,measured
SEAL,BGV,2048,5,decrypt,1,48,0.0453323,measured
SEAL,BGV,2048,5,decrypt,1,49,0.0499977,measured
SEAL,BGV,2048,5,decrypt,1,50,0.0452476,measured
SEAL,BGV,2048,5,decrypt,1,51,0.0453383,measured
SEAL,BGV,2048,5,decrypt,1,52,0.044906,measured
SEAL,BGV,2048,5,decrypt,1,53,0.0457771,measured
SEAL,BGV,2048,5,decrypt,1,54,0.0454912,measured
SEAL,BGV,2048,5,decrypt,1,55,0.0454935,measured
SEAL,BGV,2048,5,decrypt,1,56,0.0452539,measured
SEAL,BGV,2048,5,decrypt,1,57,0.0452123,measured
SEAL,BGV,2048,5,decrypt,1,58,0.0450625,measured
SEAL,BGV,2048,5,decrypt,1,59,0.0451602,measured
SEAL,BGV,2048,5,decrypt,1,60,0.0451844,measured
SEAL,BGV,2048,5,decrypt,1,61,0.0451598,measured
SEAL,BGV,2048,5,decrypt,1,62,0.0447895,measured
SEAL,BGV,2048,5,decrypt,1,63,0.0450763,measured
SEAL,BGV,2048,5,decrypt,1,64,0.0451251,measured
SEAL,BGV,2048,5,decrypt,1,65,0.0450566,measured
SEAL,BGV,2048,5,decrypt,1,66,0.0458943,measured
SEAL,BGV,2048,5,decrypt,1,67,0.0459333,measured
SEAL,BGV,2048,5,decrypt,1,68,0.048831,measured
SEAL,BGV,2048,5,decrypt,1,69,0.0455394,measured
SEAL,BGV,2048,5,decrypt,1,70,0.0498323,measured
SEAL,BGV,2048,5,decrypt,1,71,0.0460503,measured
SEAL,BGV,2048,5,decrypt,1,72,0.0451006,measured
SEAL,BGV,2048,5,decrypt,1,73,0.0451143,measured
SEAL,BGV,2048,5,decrypt,1,74,0.0448161,measured
SEAL,BGV,2048,5,decrypt,1,75,0.0451882,measured
SEAL,BGV,2048,5,decrypt,1,76,0.0450501,measured
SEAL,BGV,2048,5,decrypt,1,77,0.0452735,measured
SEAL,BGV,2048,5,decrypt,1,78,0.0451225,measured
SEAL,BGV,2048,5,decrypt,1,79,0.044683,measured
SEAL,BGV,2048,5,decrypt,1,80,0.0449409,measured
SEAL,BGV,2048,5,decrypt,1,81,0.0452969,measured
SEAL,BGV,2048,5,decrypt,1,82,0.045418,measured
SEAL,BGV,2048,5,decrypt,1,83,0.0448691,measured
SEAL,BGV,2048,5,decrypt,1,84,0.0450549,measured
SEAL,BGV,2048,5,decrypt,1,85,0.0455977,measured
SEAL,BGV,2048,5,decrypt,1,86,0.0451843,measured
SEAL,BGV,2048,5,decrypt,1,87,0.0459089,measured
SEAL,BGV,2048,5,decrypt,1,88,0.0456799,measured
SEAL,BGV,2048,5,decrypt,1,89,0.0464025,measured
SEAL,BGV,2048,5,decrypt,1,90,0.0457473,measured
SEAL,BGV,2048,5,decrypt,1,91,0.0453657,measured
SEAL,BGV,2048,5,decrypt,1,92,0.0454408,measured
SEAL,BGV,2048,5,decrypt,1,93,0.0452378,measured
SEAL,BGV,2048,5,decrypt,1,94,0.0451684,measured
SEAL,BGV,2048,5,decrypt,1,95,0.0455108,measured
SEAL,BGV,2048,5,decrypt,1,96,0.0451185,measured
SEAL,BGV,2048,5,decrypt,1,97,0.0460928,measured
SEAL,BGV,2048,5,decrypt,1,98,0.0450287,measured
SEAL,BGV,2048,5,decrypt,1,99,0.0490864,measured
SEAL,BGV,2048,5,decrypt,1,100,0.0462887,measured
SEAL,BGV,2048,5,decrypt,1,101,0.0484409,measured
SEAL,BGV,2048,5,decrypt,1,102,0.0454242,measured
SEAL,BGV,2048,5,decrypt,1,103,0.0482923,measured
SEAL,BGV,2048,5,decrypt,1,104,0.0453031,measured
